id,sceneID,icon_way,icon,missionType,taskParam,taskDesc,name,reward,lookupWay,nextID,
1,21Christmas,,Christmas_scene,28,"[""21Christmas""]",UI_21Christmas_task1,,5,0,,
2,21Christmas,,Event1_001WeirdSnowman_task1,31,"[463,1]",UI_21Christmas_task2,,10,0,,
3,21Christmas,,Event1_Generaltask,1,"[103937,60]",UI_21Christmas_task4,,20,1,,
4,21Christmas,,Event1_Sub002WishofSnowman_task1,31,"[461,10]",UI_21Christmas_task5,,30,1,,
5,21Christmas,,Event1_001WeirdSnowman_task3,31,"[37,10]",UI_21Christmas_task3,,30,1,,
6,21Christmas,,Event1_009UpcomingVictory_task2,31,"[467,1]",UI_21Christmas_task6,,10,0,,
7,21Christmas,,item_christmas_gingerbread,2,"[4220,1000]",UI_21Christmas_task7,,30,0,,
8,21Christmas,,Christmas_turntable,32,[1],UI_21Christmas_task8,,15,0,,
100,20220214,,Christmas_scene,28,"[""20220214""]",UI_valentine_task1,,5,0,,
101,20220214,,Event2_003loveflowerbed_icon1,31,"[520,10]",UI_valentine_task2,,35,0,,
102,20220214,,Event2_001Takeachance_icon1,37,[20],UI_valentine_task8,,20,0,,
103,20220214,,Event2_003loveflowerbed_icon2,31,"[512,4]",UI_valentine_task3,,15,0,,
104,20220214,,Event2_008Funnydragon_icon2,31,"[513,4]",UI_valentine_task4,,15,0,,
105,20220214,,building_Valentine22_swing,31,"[514,4]",UI_valentine_task5,,15,0,,
106,20220214,,Event2_011whiteboard_icon1,31,"[515,4]",UI_valentine_task6,,15,0,,
107,20220214,,Event2_002Roseroad_icon1,1,"[104125,100]",UI_valentine_task7,,30,0,,
201,22AdvIsland,,Event3_000AdventureIsland_icon1,28,"[""22AdvIsland""]",UI_22AdvIsland_task1,,5,0,,
202,22AdvIsland,,Description8_005ResearchPaper_sub2,31,"[680,1]",UI_22AdvIsland_task2,,10,0,,
203,22AdvIsland,,Event3_002WeakenedSaul_icon1,31,"[670,10]",UI_22AdvIsland_task3,,30,1,,
204,22AdvIsland,,item_22AdvIsland_juice,2,"[4241,10]",UI_22AdvIsland_task4,,30,1,,
205,22AdvIsland,,Event3_011SubSamaelsWine_icon2,2,"[4242,10]",UI_22AdvIsland_task5,,30,1,,
