id,type,activityId,rankInterval,score,scoreReward,giftIcon,valueType,
1001101,4,1001,"[12,20]",26,"[[30000,2]]",Renwu_Lanlh,,
1001102,4,1001,"[12,20]",58,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1001103,4,1001,"[12,20]",96,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1001104,4,1001,"[12,20]",142,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1001105,4,1001,"[12,20]",192,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1001106,4,1001,"[12,20]",250,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1001201,4,1001,"[21,30]",60,"[[30000,2]]",Renwu_Lanlh,,
1001202,4,1001,"[21,30]",134,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1001203,4,1001,"[21,30]",222,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1001204,4,1001,"[21,30]",326,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1001205,4,1001,"[21,30]",444,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1001206,4,1001,"[21,30]",578,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1001301,4,1001,"[31,40]",98,"[[30000,2]]",Renwu_Lanlh,,
1001302,4,1001,"[31,40]",220,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1001303,4,1001,"[31,40]",366,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1001304,4,1001,"[31,40]",538,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1001305,4,1001,"[31,40]",732,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1001306,4,1001,"[31,40]",952,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1001401,4,1001,"[41,59]",132,"[[30000,2]]",Renwu_Lanlh,,
1001402,4,1001,"[41,59]",296,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1001403,4,1001,"[41,59]",492,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1001404,4,1001,"[41,59]",722,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1001405,4,1001,"[41,59]",984,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1001406,4,1001,"[41,59]",1280,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1002101,4,1002,"[12,20]",44,"[[30000,2]]",Renwu_Lanlh,,
1002102,4,1002,"[12,20]",98,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1002103,4,1002,"[12,20]",162,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1002104,4,1002,"[12,20]",238,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1002105,4,1002,"[12,20]",324,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1002106,4,1002,"[12,20]",422,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1002201,4,1002,"[21,30]",104,"[[30000,2]]",Renwu_Lanlh,,
1002202,4,1002,"[21,30]",234,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1002203,4,1002,"[21,30]",390,"[[30000,5],[1003,15]]",Renwu_Honglh,,
