id,lvid,score,scoreReward,giftIcon,actid,
1,1,150,"[[1003,30]]",Renwu_Lanlh,111,
2,2,350,"[[1002,300]]",Renwu_Zilh,111,
3,3,650,"[[1001,3]]",Renwu_Honglh,111,
4,4,950,"[[34012,5]]",Renwu_Lanlh,111,
5,5,1250,"[[1003,50]]",Renwu_Honglh,111,
6,6,1550,"[[15000,6]]",Renwu_Zilh,111,
7,7,1850,"[[42000,3]]",Renwu_Zilh,111,
8,8,2500,"[[1003,70]]",Renwu_Lanlh,111,
9,9,3150,"[[11001,1]]",Renwu_Honglh,111,
10,10,3800,"[[1001,5]]",Renwu_Zilh,111,
11,11,4450,"[[1002,500]]",Renwu_Zilh,111,
12,12,5100,"[[34012,10]]",Renwu_Zilh,111,
13,13,6100,"[[1003,70]]",Renwu_Lanlh,111,
14,14,7100,"[[15000,8]]",Renwu_Zilh,111,
15,15,8100,"[[1001,25]]",Renwu_Honglh,111,
16,16,9100,"[[27330,1]]",Renwu_Honglh,111,
17,1,150,"[[30000,3]]",Renwu_Lanlh,113,
18,2,350,"[[1002,300]]",Renwu_Zilh,113,
19,3,650,"[[1001,3]]",Renwu_Honglh,113,
20,4,950,"[[2007,3]]",Renwu_Lanlh,113,
21,5,1250,"[[30000,5]]",Renwu_Honglh,113,
22,6,1550,"[[15000,7]]",Renwu_Zilh,113,
23,7,1850,"[[42000,3]]",Renwu_Zilh,113,
24,8,2500,"[[2008,2]]",Renwu_Lanlh,113,
25,9,3150,"[[2007,4]]",Renwu_Honglh,113,
26,10,3800,"[[1001,5]]",Renwu_Zilh,113,
27,11,4450,"[[1002,200]]",Renwu_Zilh,113,
28,12,5100,"[[30000,14]]",Renwu_Zilh,113,
29,13,6100,"[[2007,5]]",Renwu_Lanlh,113,
30,14,7100,"[[15000,8]]",Renwu_Zilh,113,
31,15,8100,"[[1001,25]]",Renwu_Honglh,113,
32,16,9100,"[[75013,1]]",Renwu_Honglh,113,
33,1,150,"[[1003,30]]",Renwu_Lanlh,114,
34,2,350,"[[1002,300]]",Renwu_Zilh,114,
35,3,650,"[[1001,3]]",Renwu_Honglh,114,
36,4,950,"[[34015,5]]",Renwu_Lanlh,114,
37,5,1250,"[[1003,50]]",Renwu_Honglh,114,
38,6,1550,"[[15000,6]]",Renwu_Zilh,114,
39,7,1850,"[[42000,3]]",Renwu_Zilh,114,
40,8,2500,"[[1003,70]]",Renwu_Lanlh,114,
41,9,3150,"[[11001,1]]",Renwu_Honglh,114,
42,10,3800,"[[1001,5]]",Renwu_Zilh,114,
43,11,4450,"[[1002,500]]",Renwu_Zilh,114,
44,12,5100,"[[34015,10]]",Renwu_Zilh,114,
45,13,6100,"[[1003,70]]",Renwu_Lanlh,114,
46,14,7100,"[[15000,8]]",Renwu_Zilh,114,
47,15,8100,"[[1001,25]]",Renwu_Honglh,114,
48,16,9100,"[[1003,100]]",Renwu_Honglh,114,
