id,name,activityText,activityBG,type,unlockLevel,unlockTask,prewarm,startTime,rankEndTime,endTime,sceneID,sceneCloseTime,reward,prewarmUI,prewarmRes,prewarmDesc,taskButtonIcon,eventButtonIcon,rankType,rankConfig,sceneIconShow,rankItem,sceneIds,lowestVersion,forecastWeight,scoreReward,displayReward,ad_image,ending_image,forecastDesc,relationId,dropItemId,productItemId,enterminiscenceId,activitycoin,grandprize,eventmapbpreward,eventmapbpdec,reopeningpartner,factoryIcon,clearID,showImage,isRedEnergy,PartnerShow
1,,,,1,8,,,2023-2-21 19:00:00,,2023-3-21 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
2,,,,1,8,,,2023-3-22 19:00:00,,2023-4-19 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
3,,,,1,8,,,2023-4-19 19:05:00,,2023-5-17 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
4,,,,1,8,,,2023-5-17 19:05:00,,2023-6-14 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
5,,,,1,8,,,2023-6-14 19:05:00,,2023-7-4 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
6,,,,1,8,,,2023-7-4 19:05:00,,2023-7-24 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
7,,,,1,8,,,2023-7-24 19:05:00,,2023-8-13 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
8,,,,1,8,,,2023-8-13 19:05:00,,2023-8-28 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
9,,,,1,8,,,2023-8-28 19:05:00,,2023-9-12 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
10,,,,1,8,,,2023-9-12 19:05:00,,2023-9-27 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
11,,,,1,8,,,2023-9-27 19:05:00,,2023-10-12 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
12,,,,1,8,,,2023-10-12 19:05:00,,2023-10-27 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
13,,,,1,8,,,2023-10-27 19:05:00,,2023-11-11 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
14,,,,1,8,,,2023-11-11 19:05:00,,2023-11-26 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
15,,,,1,8,,,2023-11-26 19:05:00,,2023-12-11 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
16,,,,1,8,,,2023-12-11 19:05:00,,2023-12-26 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
17,,,,1,8,,,2023-12-26 19:05:00,,2024-1-10 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
18,,,,1,8,,,2024-1-10 19:05:00,,2024-2-1 19:00:00,,,,0,,,,,[],[],0,,[],,,,,,,,[],,,,,,,,,,[],,,
