id,mapID,obstacleID,end_desc
11,6,77637,
12,6,77638,
13,6,77639,
14,6,77640,
15,6,77641,
16,6,77642,
17,6,77643,
18,6,77644,
19,6,77645,
20,6,77646,SaveAnimal_end_desc
21,7,79269,
22,7,79270,
23,7,79271,
24,7,79272,
25,7,79273,
26,7,79274,
27,7,79275,
28,7,79276,
29,7,79277,
30,7,79278,
31,7,79279,
32,7,79280,SaveAnimal_end_desc
33,8,76377,
34,8,76378,
35,8,76379,
36,8,76380,
37,8,76381,
38,8,76382,
39,8,76383,
40,8,76384,
41,8,76385,
42,8,76387,
43,8,76388,
44,8,76389,
45,8,76390,SaveAnimal_end_desc
46,9,90915,
47,9,90916,
48,9,90917,
49,9,90918,
50,9,90919,
51,9,90920,
52,9,90921,
53,9,90922,
54,9,90923,SaveAnimal_end_desc
55,10,73758,
56,10,73759,
57,10,73760,
58,10,73761,
59,10,73762,
60,10,73763,
61,10,73764,
62,10,73765,
63,10,73766,SaveAnimal_end_desc
64,11,94004,
65,11,94010,
66,11,94005,
67,11,94006,
68,11,94011,
69,11,94007,
70,11,94008,
71,11,94009,SaveAnimal_end_desc
72,12,37493,
73,12,37494,
74,12,37495,
75,12,37496,
76,12,37497,
77,12,37498,
78,12,37499,SaveAnimal_end_desc
79,13,94597,
80,13,94598,
81,13,94599,
82,13,94600,
83,13,94601,
84,13,94602,
85,13,94603,
86,13,94604,
87,13,94606,SaveAnimal_end_desc
88,14,99549,
89,14,99550,
90,14,99551,
91,14,99552,
92,14,99553,
93,14,99554,
94,14,99556,
95,14,99557,SaveAnimal_end_desc
96,15,77283,
97,15,77284,
98,15,77285,
99,15,77286,
100,15,77287,
101,15,77288,
102,15,77289,
103,15,77290,
104,15,77291,SaveAnimal_end_desc
105,16,67242,
106,16,67241,
107,16,67243,
108,16,67238,
109,16,67237,
110,16,67236,
111,16,67240,
112,16,67239,SaveAnimal_end_desc
113,17,80608,
114,17,80609,
115,17,80610,
116,17,80611,
117,17,80612,
118,17,80613,
119,17,80614,
120,17,80615,
121,17,80616,SaveAnimal_end_desc
122,18,119668,
123,18,119669,
124,18,119670,
125,18,119671,
126,18,119672,
127,18,119673,
128,18,119674,
129,18,119675,
130,18,119676,SaveAnimal_end_desc
131,19,124993,
132,19,124994,
133,19,124995,
134,19,124996,
135,19,124997,
136,19,124998,
137,19,124999,
138,19,125000,
139,19,125001,SaveAnimal_end_desc
