id,time,obstacleID,level,quantity,reward,
1,72,1800002,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]",
2,72,1800002,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]",
3,72,1800002,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]",
4,72,1800002,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]",
5,72,1800002,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]",
6,72,1800003,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[22000,3],[1001,5]],
[[20007,1],[92010,1]]]",
7,72,1800003,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[22000,3],[1001,5]],
[[20007,1],[92010,1]]]",
8,72,1800003,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[22000,4],[1001,5]],
[[20007,1],[92010,1]]]",
9,72,1800003,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[22000,4],[1001,5]],
[[20007,1],[92010,1]]]",
10,72,1800003,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[22000,5],[1001,5]],
[[20007,1],[92010,1]]]",
11,72,1800004,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[16000,5],[1001,5]],
[[20007,1],[92009,1]]]",
12,72,1800004,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[16000,5],[1001,5]],
[[20007,1],[92009,1]]]",
13,72,1800004,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[16000,6],[1001,5]],
[[20007,1],[92009,1]]]",
14,72,1800004,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[16000,6],[1001,5]],
[[20007,1],[92009,1]]]",
15,72,1800004,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[16000,7],[1001,5]],
[[20007,1],[92009,1]]]",
16,72,1800005,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92010,1]]]",
17,72,1800005,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92010,1]]]",
18,72,1800005,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92010,1]]]",
19,72,1800005,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92010,1]]]",
20,72,1800005,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92010,1]]]",
21,72,1800006,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[22000,3],[1001,5]],
[[20007,1],[92009,1]]]",
22,72,1800006,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[22000,3],[1001,5]],
[[20007,1],[92009,1]]]",
23,72,1800006,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[22000,4],[1001,5]],
[[20007,1],[92009,1]]]",
24,72,1800006,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[22000,4],[1001,5]],
[[20007,1],[92009,1]]]",
25,72,1800006,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[22000,5],[1001,5]],
[[20007,1],[92009,1]]]",
26,72,1800007,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[16000,5],[1001,5]],
[[20007,1],[92010,1]]]",
27,72,1800007,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[16000,5],[1001,5]],
[[20007,1],[92010,1]]]",
28,72,1800007,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[16000,6],[1001,5]],
[[20007,1],[92010,1]]]",
29,72,1800007,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[16000,6],[1001,5]],
[[20007,1],[92010,1]]]",
30,72,1800007,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[16000,7],[1001,5]],
[[20007,1],[92010,1]]]",
