id,buildingLevel,conditionType,conditionParam,
96616,2,1,[8],
96617,2,1,[9],
93584,2,1,[9],
96637,2,1,[10],
96598,2,1,[10],
96817,2,1,[10],
96889,2,1,[11],
96620,2,1,[11],
96621,2,1,[11],
96811,2,1,[12],
96607,2,1,[12],
96608,2,1,[12],
96604,2,1,[13],
96606,2,1,[13],
96856,2,1,[13],
96629,2,1,[14],
96600,2,1,[14],
96854,2,1,[14],
96949,2,1,[15],
96759,2,1,[15],
96946,2,1,[15],
96768,2,1,[16],
96980,2,1,[16],
96895,2,1,[17],
96631,2,1,[17],
96810,2,1,[17],
96850,2,1,[18],
96866,2,1,[18],
96845,2,1,[18],
96847,2,1,[18],
96639,2,1,[19],
96638,2,1,[19],
96761,2,1,[19],
96760,2,1,[19],
96800,2,1,[21],
96784,2,1,[21],
96783,2,1,[21],
96782,2,1,[21],
96766,2,1,[22],
93565,2,1,[13],
88051,2,1,[7],
74902,2,2,[92021],
93594,2,4,[2],
74903,2,5,[1],
10722,2,2,[94131],
74911,2,2,[91242],
91925,2,2,[91235],
88097,2,2,[91249],
96590,2,6,[],
94331,2,2,[91260],
94502,2,2,[91256],
95922,2,2,[95922],
