id,level,noType,tools,blockid,stoneid,stone_type_per,stone_per,goal,map,TypeA,roundA,roundB,roundC,roundD,roundK_C,roundK_D,refresh_rounds
1,1,"[12,13,4,5,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,2,3]",[],"[1,30]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",10,30,65,100,2,2,1
2,2,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,5]","[3,1001,3,0,0,3,1001,3,1001,0,0,0,0,0,0,3,1001,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1001,0,0,0,0,0,0,1001,3,1001,0,0,0,1001,3,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,30,65,100,2,2,1
3,3,"[12,13,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,70]","[0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,30,65,100,2,2,1
4,4,"[12,13,4,5,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,160]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,10,14,21,2,2,9
5,5,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,21,2,2,6
6,6,"[12,13,4,5,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,10,14,21,2,2,9
7,7,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,18]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,0,1001,1001,0,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,0,0,0,0,0,0]","[2,3,6,11,7,8,9,10,15,16,19,20,23,14]",3,4,8,20,2,2,3
8,8,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,14]","[0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0]","[2,3,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,20,2,2,6
9,9,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,22]","[0,0,0,0,0,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,1001,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
10,10,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,19]","[3,3,0,0,0,0,3,3,0,0,1001,0,0,1001,0,0,0,0,0,1001,1001,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,1001,1001,0,0,0,0,0,1001,0,0,1001,0,0]","[2,3,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,20,2,2,4
11,11,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,11,1002,11]","[0,0,0,0,0,0,0,0,1001,0,1001,0,0,1002,0,1002,0,1001,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,1001,0,1002,0,1002,0,0,1001,0,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,20,2,2,4
12,12,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,20,2,2,6
