sort,missionGroup,id,graphId,missionIcon,Title,dramaid,isDialogue,preMissionId,ZoneRequire,levelUnlock,exp_award,itemIdAmount,cornerMark
10,,Guide_level6_commission,branch_532,common/Description22_012Thewayofclimbing,level6_commission_tittle,,,[],,11,40,"[[1002,100]]",
200009,2,Guide_level8_treeofeternity,branch_533,common/Guide_level8_treeofeternity_icon0,level8_treeofeternity_tittle,,,"[""Guide_level14_cloudmaze""]",,12,25,"[[1002,100]]",
30,,Guide_level14_magicwell,branch_534,common/Guide_level14_magicwell_icon0,level14_magicwell_tittle,,,[],,14,75,"[[1002,200]]",
40,,Guide_level14_dress,branch_591,common/icon_guide_dress,level14_dress_tittle,,,[],city,13,90,"[[1002,100]]",
50,,Guide_level14_cloudmaze,branch_593,common/icon_guide_cloudmaze02,level14_cloudmaze_tittle,,,[],,12,50,"[[1002,100]]",
60,1,repair_9111,branch_199999,common/building_notice,repair_9111,,,[],,7,14,"[[1002,100]]",ui_task_type_repair
100,11,repair_75101,branch_200000,common/city_gazebo,repair_75101,,,"[""Mission3_004buyfactory""]",,7,14,"[[1002,100]]",ui_task_type_repair
61,1,Submission7_homelevel_8,branch_957,common/home_levelup,homelevel_8_sub1,,,"[""repair_9111""]",,7,14,"[[1002,100]]",
200005,2,repair_75102,branch_200010,common/city_gazebo,repair_75102,,,"[""Submission6_openfarm1"",""Mission3_004buyfactory""]",,8,18,"[[1002,100]]",ui_task_type_repair
200006,2,repair_210169,branch_200011,common/city_home_door,repair_210169,,,"[""repair_75102"",""Mission3_004buyfactory""]",,8,18,"[[1002,100]]",ui_task_type_repair
200008,2,Submission8_homelevel_9,branch_959,common/home_levelup,homelevel_9_sub1,,,"[""Submission6_openfarm2"",""Mission3_004buyfactory""]",,8,18,"[[1002,100]]",
200012,2,repair_75106,branch_200030,common/city_pine_tree,repair_75106,,,"[""hangup_levelup2"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",ui_task_type_repair
