id,missionId,subtaskIcon,subtaskTitle,subtaskDramaId,subtaskIsDialogue,subtaskPathId,isMultiarrow,MissionType,taskNeed,
10,Guide_level6_commission,common/Description22_012Thewayofclimbing,level6_commission_task1,,,,,4,"[""city"",[91237]]",
11,Guide_level6_commission,common/Description2_13activatemagictree,level6_commission_task2,,,,,0,"[""city"",88098,2,9105]",
20,Guide_level8_treeofeternity,common/Description_005Avalanche_sub2,level8_treeofeternity_task1,,,,,4,"[""city"",[92021]]",
21,Guide_level8_treeofeternity,common/Guide_level8_treeofeternity_icon0,level8_treeofeternity_task2,,,,,55,[1],
30,Guide_level14_magicwell,common/Description_005Avalanche_sub2,level14_magicwell_task1,level14_magicwell,,,,4,"[""city"",[91242]]",
31,Guide_level14_magicwell,common/Guide_level14_magicwell_icon0,level14_magicwell_task2,,,,,26,[1],
40,Guide_level14_dress,common/icon_guide_dress,level14_dress_task1,,,,,4,"[""city"",[91235]]",
50,Guide_level14_cloudmaze,common/icon_guide_cloudmaze01,level14_cloudmaze_task1,,,,,4,"[""city"",[91249]]",
10500,Submission6_openfarm1,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36322]",
10510,Submission6_openfarm2,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36355]",
10520,Submission7_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",35997]",
10530,Submission8_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36358]",
10540,Submission9_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36283]",
10550,Submission10_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36128]",
10560,Submission12_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36201]",
10570,Submission14_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36122]",
10580,Submission16_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36298]",
10590,Submission18_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",36359]",
10600,Submission20_openfarm,common/Description_Opening004Findfarm_sub1,Submission_openfarm_subdes,,,,,42,"[""city"",35981]",
10998,levelup_101_1,common/levelup_101_icon,levelup_101_1_sub1,,,,,64,"[101,4]",
10999,levelup_101_2,common/levelup_101_icon,levelup_101_2_sub1,,,,,64,"[101,6]",
11000,levelup_101_3,common/levelup_101_icon,levelup_101_3_sub1,,,,,64,"[101,8]",
11010,levelup_101_4,common/levelup_101_icon,levelup_101_4_sub1,,,,,64,"[101,10]",
11011,partnersub101_003,common/levelup_101_icon,partnersub_desc_101_003,partnersub101_003_dialog,1,,,82,"[101,5,""Adelina01_dance"",[13,0,6]]",
11013,levelup_101_5,common/levelup_101_icon,levelup_101_5_sub1,,,,,64,"[101,15]",
11012,partnersub102_001,common/levelup_101_icon,partnersub_desc_102_001,partnersub102_001_dialog,1,,,81,"[[101,102],40022,1]",
11020,levelup_102_1,common/levelup_102_icon,levelup_102_1_sub1,,,,,64,"[102,4]",
11021,partnersub102_002,common/levelup_102_icon,partnersub_desc_102_002,partnersub102_002_dialog,1,,,80,[102],
11030,levelup_102_2,common/levelup_102_icon,levelup_102_2_sub1,,,,,64,"[102,6]",
11031,partnersub101_004,common/levelup_101_icon,partnersub_desc_101_004,partnersub101_004_dialog,1,,,79,"[101,5009,5]",
11040,levelup_102_3,common/levelup_102_icon,levelup_102_3_sub1,,,,,64,"[102,8]",
11050,levelup_102_4,common/levelup_102_icon,levelup_102_4_sub1,,,,,64,"[102,10]",
11051,partnersub102_005,common/levelup_102_icon,partnersub_desc_102_005,partnersub102_005_dialog,1,,,82,"[102,5,""princelouis01_dance"",[19,0,-1]]",
11053,levelup_102_5,common/levelup_102_icon,levelup_102_5_sub1,,,,,64,"[102,15]",
11052,partnersub103_001,common/levelup_102_icon,partnersub_desc_103_001,partnersub103_001_dialog,1,,,81,"[[102,103],40023,1]",
11060,levelup_103_1,common/levelup_103_icon,levelup_103_1_sub1,,,,,64,"[103,4]",
11061,partnersub103_002,common/levelup_103_icon,partnersub_desc_103_002,partnersub103_002_dialog,1,,,80,[103],
11070,levelup_103_2,common/levelup_103_icon,levelup_103_2_sub1,,,,,64,"[103,6]",
11071,partnersub102_007,common/levelup_102_icon,partnersub_desc_102_007,partnersub102_007_dialog,1,,,79,"[102,5018,5]",
11080,levelup_103_3,common/levelup_103_icon,levelup_103_3_sub1,,,,,64,"[103,8]",
11081,partnersub103_005,common/levelup_103_icon,partnersub_desc_103_005,partnersub103_005_dialog,1,,,79,"[103,3007,5]",
11090,levelup_103_4,common/levelup_103_icon,levelup_103_4_sub1,,,,,64,"[103,10]",
11091,partnersub103_006,common/levelup_103_icon,partnersub_desc_103_006,partnersub103_006_dialog,1,,,82,"[103,5,""think"",[10,0,-1]]",
11093,levelup_103_5,common/levelup_103_icon,levelup_103_5_sub1,,,,,64,"[103,15]",
11092,partnersub104_001,common/levelup_103_icon,partnersub_desc_104_001,partnersub104_001_dialog,1,,,81,"[[103,104],40024,1]",
11100,levelup_104_1,common/levelup_104_icon,levelup_104_1_sub1,,,,,64,"[104,4]",
11101,partnersub104_002,common/levelup_104_icon,partnersub_desc_104_002,partnersub104_002_dialog,1,,,80,[104],
11110,levelup_104_2,common/levelup_104_icon,levelup_104_2_sub1,,,,,64,"[104,6]",
11111,partnersub103_007,common/levelup_103_icon,partnersub_desc_103_007,partnersub103_007_dialog,1,,,79,"[103,5001,10]",
11120,levelup_104_3,common/levelup_104_icon,levelup_104_3_sub1,,,,,64,"[104,8]",
11121,partnersub104_004,common/levelup_104_icon,partnersub_desc_104_004,partnersub104_004_dialog,1,,,79,"[104,3032,1]",
11130,levelup_104_4,common/levelup_104_icon,levelup_104_4_sub1,,,,,64,"[104,10]",
11131,partnersub104_005,common/levelup_104_icon,partnersub_desc_104_005,partnersub104_005_dialog,1,,,82,"[104,5,""Elina01_dance"",[9,0,10]]",
11133,levelup_104_5,common/levelup_104_icon,levelup_104_5_sub1,,,,,64,"[104,15]",
11132,partnersub110_001,common/levelup_104_icon,partnersub_desc_110_001,partnersub110_001_dialog,1,,,81,"[[104,110],40030,1]",
11140,levelup_110_1,common/levelup_110_icon,levelup_110_1_sub1,,,,,64,"[110,3]",
11141,partnersub110_002,common/levelup_110_icon,partnersub_desc_110_002,partnersub110_002_dialog,1,,,80,[110],
11150,levelup_110_2,common/levelup_110_icon,levelup_110_2_sub1,,,,,64,"[110,5]",
11151,partnersub101_005,common/levelup_101_icon,partnersub_desc_101_005,partnersub101_005_dialog,1,,,79,"[101,5005,25]",
11160,levelup_110_3,common/levelup_110_icon,levelup_110_3_sub1,,,,,64,"[110,8]",
11161,partnersub110_004,common/levelup_110_icon,partnersub_desc_110_004,partnersub110_004_dialog,1,,,79,"[110,3007,6]",
11170,levelup_110_4,common/levelup_110_icon,levelup_110_4_sub1,,,,,64,"[110,10]",
11171,partnersub110_005,common/levelup_110_icon,partnersub_desc_110_005,partnersub110_005_dialog,1,,,82,"[110,5,""show"",[19,0,-1]]",
11173,levelup_110_5,common/levelup_110_icon,levelup_110_5_sub1,,,,,64,"[110,15]",
11172,partnersub105_005,common/levelup_110_icon,partnersub_desc_105_005,partnersub105_005_dialog,1,,,81,"[[110,105],40025,1]",
11180,levelup_105_1,common/levelup_105_icon,levelup_105_1_sub1,,,,,64,"[105,3]",
11181,partnersub105_002,common/levelup_105_subicon,partnersub_desc_105_002,partnersub105_002_dialog,1,,,80,[105],
11190,levelup_105_2,common/levelup_105_icon,levelup_105_2_sub1,,,,,64,"[105,5]",
11191,partnersub110_006,common/levelup_110_icon,partnersub_desc_110_006,partnersub110_006_dialog,1,,,79,"[110,5012,12]",
11200,levelup_105_3,common/levelup_105_icon,levelup_105_3_sub1,,,,,64,"[105,8]",
11201,partnersub105_001,common/levelup_105_subicon,partnersub_desc_105_001,partnersub105_001_dialog,1,,,79,"[105,3003,8]",
11210,levelup_105_4,common/levelup_105_icon,levelup_105_4_sub1,,,,,64,"[105,10]",
11211,partnersub105_004,common/levelup_105_subicon,partnersub_desc_105_004,partnersub105_004_dialog,1,,,82,"[105,5,""dwarfd01_dance"",[13,0,6]]",
11214,levelup_105_5,common/levelup_105_icon,levelup_105_5_sub1,,,,,64,"[105,15]",
11212,partnersub108_001,common/levelup_105_subicon,partnersub_desc_108_001,partnersub108_001_dialog,1,,,81,"[[105,108],40028,1]",
11213,partnersub108_003,common/levelup_108_subicon,partnersub_desc_108_003,partnersub108_003_dialog,1,,,80,[108],
11220,levelup_108_1,common/levelup_108_icon,levelup_108_1_sub1,,,,,64,"[108,3]",
11221,partnersub108_004,common/levelup_108_subicon,partnersub_desc_108_004,partnersub108_004_dialog,1,,,80,[108],
11230,levelup_108_2,common/levelup_108_icon,levelup_108_2_sub1,,,,,64,"[108,5]",
11231,partnersub105_006,common/levelup_105_subicon,partnersub_desc_105_006,partnersub105_006_dialog,1,,,79,"[105,5006,25]",
11240,levelup_108_3,common/levelup_108_icon,levelup_108_3_sub1,,,,,64,"[108,8]",
11241,partnersub108_002,common/levelup_108_subicon,partnersub_desc_108_002,partnersub108_002_dialog,1,,,79,"[108,3024,2]",
11250,levelup_108_4,common/levelup_108_icon,levelup_108_4_sub1,,,,,64,"[108,10]",
11251,partnersub108_005,common/levelup_108_subicon,partnersub_desc_108_005,partnersub108_005_dialog,1,,,82,"[108,5,""happy"",[9,0,10]]",
11253,levelup_108_5,common/levelup_108_icon,levelup_108_5_sub1,,,,,64,"[108,15]",
11254,partnersub109_003,common/levelup_109_icon,partnersub_desc_109_003,partnersub109_003_dialog,1,,,80,[109],
11252,partnersub109_001,common/levelup_108_subicon,partnersub_desc_109_001,partnersub109_001_dialog,1,,,81,"[[108,109],40029,1]",
11260,levelup_109_1,common/levelup_109_icon,levelup_109_1_sub1,,,,,64,"[109,3]",
11261,partnersub109_004,common/levelup_109_subicon,partnersub_desc_109_004,partnersub109_004_dialog,1,,,80,[109],
11270,levelup_109_2,common/levelup_109_icon,levelup_109_2_sub1,,,,,64,"[109,5]",
11271,partnersub108_006,common/levelup_108_subicon,partnersub_desc_108_006,partnersub108_006_dialog,1,,,79,"[108,5013,9]",
11280,levelup_109_3,common/levelup_109_icon,levelup_109_3_sub1,,,,,64,"[109,8]",
11281,partnersub109_002,common/levelup_109_subicon,partnersub_desc_109_002,partnersub109_002_dialog,1,,,79,"[109,3006,8]",
11290,levelup_109_4,common/levelup_109_icon,levelup_109_4_sub1,,,,,64,"[109,10]",
11291,partnersub109_007,common/levelup_109_subicon,partnersub_desc_109_007,partnersub109_007_dialog,1,,,82,"[109,5,""sorcererguilty01_sweat"",[13,0,6]]",
11295,levelup_109_5,common/levelup_109_icon,levelup_109_5_sub1,,,,,64,"[109,15]",
11292,partnersub109_006,common/levelup_109_subicon,partnersub_desc_109_006,partnersub109_006_dialog,1,,,80,[109],
11293,partnersub107_002,common/levelup_107_subicon,partnersub_desc_107_002,partnersub107_002_dialog,1,,,80,[107],
11294,partnersub107_007,common/levelup_109_subicon,partnersub_desc_107_007,partnersub107_007_dialog,1,,,81,"[[109,107],40027,1]",
11300,levelup_107_1,common/levelup_107_icon,levelup_107_1_sub1,,,,,64,"[107,3]",
11301,partnersub107_003,common/levelup_107_subicon,partnersub_desc_107_003,partnersub107_003_dialog,1,,,80,[107],
11310,levelup_107_2,common/levelup_107_icon,levelup_107_2_sub1,,,,,64,"[107,5]",
11311,partnersub109_008,common/levelup_109_subicon,partnersub_desc_109_008,partnersub109_008_dialog,1,,,79,"[109,5002,60]",
11320,levelup_107_3,common/levelup_107_icon,levelup_107_3_sub1,,,,,64,"[107,8]",
11321,partnersub107_001,common/levelup_107_subicon,partnersub_desc_107_001,partnersub107_001_dialog,1,,,79,"[107,3042,2]",
11330,levelup_107_4,common/levelup_107_icon,levelup_107_4_sub1,,,,,64,"[107,10]",
11331,partnersub107_006,common/levelup_107_subicon,partnersub_desc_107_006,partnersub107_006_dialog,1,,,82,"[107,5,""show"",[10,0,-1]]",
11335,levelup_107_5,common/levelup_107_icon,levelup_107_5_sub1,,,,,64,"[107,15]",
11332,partnersub107_005,common/levelup_107_subicon,partnersub_desc_107_005,partnersub107_005_dialog,1,,,80,[107],
11333,partnersub106_002,common/levelup_106_subicon,partnersub_desc_106_002,partnersub106_002_dialog,1,,,80,[106],
11334,partnersub106_007,common/levelup_107_subicon,partnersub_desc_106_007,partnersub106_007_dialog,1,,,81,"[[107,106],40026,1]",
11340,levelup_106_1,common/levelup_106_subicon,levelup_106_1_sub1,,,,,64,"[106,3]",
11341,partnersub106_003,common/levelup_106_subicon,partnersub_desc_106_003,partnersub106_003_dialog,1,,,80,[106],
11350,levelup_106_2,common/levelup_106_subicon,levelup_106_2_sub1,,,,,64,"[106,5]",
11351,partnersub107_008,common/levelup_107_subicon,partnersub_desc_107_008,partnersub107_008_dialog,1,,,79,"[107,5008,40]",
11360,levelup_106_3,common/levelup_106_subicon,levelup_106_3_sub1,,,,,64,"[106,8]",
11361,partnersub106_001,common/levelup_106_subicon,partnersub_desc_106_001,partnersub106_001_dialog,1,,,79,"[106,3002,10]",
11370,levelup_106_4,common/levelup_106_subicon,levelup_106_4_sub1,,,,,64,"[106,10]",
11371,partnersub106_006,common/levelup_106_subicon,partnersub_desc_106_006,partnersub106_006_dialog,1,,,82,"[106,5,""listen1"",[19,0,-1]]",
11375,levelup_106_5,common/levelup_106_subicon,levelup_106_5_sub1,,,,,64,"[106,15]",
11372,partnersub106_005,common/levelup_106_subicon,partnersub_desc_106_005,partnersub106_005_dialog,1,,,80,[106],
11373,partnersub112_003,common/Description13_009SeaWitch_sub2,partnersub_desc_112_003,partnersub112_003_dialog,1,,,80,[112],
11374,partnersub112_001,common/levelup_106_subicon,partnersub_desc_112_001,partnersub112_001_dialog,1,,,81,"[[106,112],40031,1]",
11380,levelup_112_1,common/levelup_112_icon,levelup_112_1_sub1,,,,,64,"[112,3]",
11381,partnersub112_004,common/Description13_009SeaWitch_sub2,partnersub_desc_112_004,partnersub112_004_dialog,1,,,80,[112],
11390,levelup_112_2,common/levelup_112_icon,levelup_112_2_sub1,,,,,64,"[112,5]",
11391,partnersub106_008,common/levelup_106_subicon,partnersub_desc_106_008,partnersub106_008_dialog,1,,,79,"[106,5015,50]",
11400,levelup_112_3,common/levelup_112_icon,levelup_112_3_sub1,,,,,64,"[112,8]",
11401,partnersub112_002,common/Description13_009SeaWitch_sub2,partnersub_desc_112_002,partnersub112_002_dialog,1,,,79,"[112,3015,10]",
11410,levelup_112_4,common/levelup_112_icon,levelup_112_4_sub1,,,,,64,"[112,10]",
11411,partnersub112_007,common/Description13_009SeaWitch_sub2,partnersub_desc_112_007,partnersub112_007_dialog,1,,,82,"[112,5,""think"",[10,0,-1]]",
11415,levelup_112_5,common/levelup_112_icon,levelup_112_5_sub1,,,,,64,"[112,15]",
11412,partnersub112_006,common/Description13_009SeaWitch_sub2,partnersub_desc_112_006,partnersub112_006_dialog,1,,,80,[112],
11413,partnersub113_003,common/mermaidalana01_head,partnersub_desc_113_003,partnersub113_003_dialog,1,,,80,[113],
11414,partnersub113_001,common/Description13_009SeaWitch_sub2,partnersub_desc_113_001,partnersub113_001_dialog,1,,,81,"[[112,113],40032,1]",
11420,levelup_113_1,common/mermaidalana01_head,levelup_113_1_sub1,,,,,64,"[113,3]",
11421,partnersub113_004,common/mermaidalana01_head,partnersub_desc_113_004,partnersub113_004_dialog,1,,,80,[113],
