id,payLabel,level,mapcondition,type,buffParam,
1,"[6,7]",9,1,1,"[20013,345600,[1001,800,-1]]",
2,"[6,7]",9,1,1,"[20014,345600,[1001,600,-1]]",
3,[5],9,1,1,"[20015,345600,[1001,300,600]]",
4,"[6,7]",9,0,1,"[20016,345600,[1003,-1,200],[1001,-1,80]]",
5,[5],9,0,1,"[20017,345600,[1003,-1,200],[1001,800,-1]]",
6,[5],9,0,1,"[20018,345600,[1003,800,-1]]",
7,"[6,7]",9,1,1,"[20020,518400,[30000,100,-1]]",
8,[1],9,0,1,"[20021,259200,[1003,-1,200],[1001,-1,50]]",
9,[2],9,0,1,"[20022,259200,[1003,-1,200],[1001,-1,50]]",
10,"[1,2,3,4,5,6,7]",9,0,2,"[20023,1,20024,1,20025,1,20026,1,20027,1]",
