id,type,param,unlock,price,saleNum,sequence
200,2,1,-1,"[1002,100]",1,1
201,2,2,-1,"[1002,200]",1,2
202,2,3,-1,"[1002,300]",1,3
203,2,4,-1,"[1002,400]",1,4
204,2,5,-1,"[1002,500]",1,5
205,2,6,-1,"[1002,1000]",1,7
206,2,7,-1,"[1002,1000]",1,7
208,2,9,-1,"[1002,1000]",1,9
209,2,148,-1,"[1002,1000]",1,6
210,2,10,-1,"[1002,1000]",1,10
300,3,71001,4,"[1001,100]",10,4
301,3,71002,5,"[1001,100]",10,5
302,3,71011,6,"[1002,500]",10,6
303,3,71012,7,"[1002,1000]",10,7
304,3,71013,8,"[1002,1500]",10,8
305,3,71014,9,"[1002,2000]",10,9
306,3,71015,10,"[1002,2500]",10,10
307,3,71016,11,"[1002,3000]",10,11
308,3,71017,12,"[1002,3500]",10,12
309,3,71018,13,"[1002,4000]",10,13
400,4,75001,-1,[],-1,1
401,4,75002,-1,[],-1,2
402,4,75003,-1,[],-1,3
403,4,75004,-1,[],-1,4
404,4,75006,-1,[],-1,5
405,4,75007,-1,[],-1,6
501,5,30050,15,"[1002,5000]",1,15
502,5,30051,20,"[1002,15000]",1,20
503,5,30052,23,"[1002,30000]",1,23
504,5,30053,30,"[1002,50000]",1,30
505,5,30054,17,"[1002,10000]",1,17
506,5,30055,27,"[1002,40000]",1,27
