id,handBookId,name,icon,weights,costStamina,quality,specialFish,weightRange,selfWeights,itemReward,specialItemReward,unlockReward,sort,buildingId
499001,1,,,70,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",10,"[88001,88000]"
499002,2,,,30,1,1,1,"[1000,1500]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",9,"[88001,88000]"
499003,3,,,100,2,1,0,"[800,1500]","[100,100,10]","[[1002,2]]",,"[[1002,100]]",8,"[88001,88000]"
499004,4,,,70,5,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,100]]",7,"[88001,88000]"
499005,5,,,30,5,2,1,"[4000,5000]","[100,100,5]","[[1003,0.052],[1002,3.8]]","[7001,1,2]","[[1002,100]]",6,"[88001,88000]"
499006,6,,,70,10,3,0,"[3000,5000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,200]]",5,"[88001,88000]"
499007,7,,,20,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[7003,1,1]","[[1002,200]]",4,"[88001,88000]"
499008,8,,,10,10,3,1,"[8000,10000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[42000,0,1]","[[1002,200]]",3,"[88001,88000]"
499009,9,,,80,20,4,0,"[8000,10000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[30000,0,1]","[[1002,500]]",2,"[88001,88000]"
499010,10,,,20,20,4,1,"[10000,15000]","[300,100,5]","[[1003,0.052],[1002,3.8]]","[1001,1,1]","[[1002,500]]",1,"[88001,88000]"
499101,1,,,70,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",10,"[88010,88011]"
499102,2,,,30,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",9,"[88010,88011]"
499103,3,,,100,2,1,1,"[1800,2000]","[100,100,10]","[[1002,2]]",,"[[1002,100]]",8,"[88010,88011]"
499104,4,,,70,2,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,100]]",7,"[88010,88011]"
499105,5,,,30,5,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]","[7001,1,2]","[[1002,100]]",6,"[88010,88011]"
499106,6,,,70,5,3,1,"[4000,5000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,200]]",5,"[88010,88011]"
499107,7,,,20,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[7003,1,1]","[[1002,200]]",4,"[88010,88011]"
499108,8,,,10,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[42000,0,1]","[[1002,200]]",3,"[88010,88011]"
499109,9,,,90,20,4,1,"[8000,10000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[30000,0,1]","[[1002,500]]",2,"[88010,88011]"
499110,10,,,10,20,4,0,"[10000,15000]","[300,100,5]","[[1003,0.052],[1002,3.8]]","[1001,1,1]","[[1002,500]]",1,"[88010,88011]"
499201,1,,,70,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",10,"[88012,88013]"
499202,2,,,30,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",9,"[88012,88013]"
499203,3,,,100,2,1,1,"[1800,2000]","[100,100,10]","[[1002,2]]",,"[[1002,100]]",8,"[88012,88013]"
499204,4,,,70,2,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,100]]",7,"[88012,88013]"
499205,5,,,30,5,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]","[7001,1,2]","[[1002,100]]",6,"[88012,88013]"
499206,6,,,70,5,3,1,"[4000,5000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,200]]",5,"[88012,88013]"
499207,7,,,20,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[7003,1,1]","[[1002,200]]",4,"[88012,88013]"
499208,8,,,10,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[42000,0,1]","[[1002,200]]",3,"[88012,88013]"
499209,9,,,90,20,4,1,"[8000,10000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[30000,0,1]","[[1002,500]]",2,"[88012,88013]"
499210,10,,,10,20,4,0,"[10000,15000]","[300,100,5]","[[1003,0.052],[1002,3.8]]","[1001,0,1]","[[1002,500]]",1,"[88012,88013]"
499301,1,,,70,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",10,"[88014,88015]"
499302,2,,,30,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",9,"[88014,88015]"
499303,3,,,100,2,1,1,"[1800,2000]","[100,100,10]","[[1002,2]]",,"[[1002,100]]",8,"[88014,88015]"
499304,4,,,70,2,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,100]]",7,"[88014,88015]"
499305,5,,,30,5,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]","[7001,1,2]","[[1002,100]]",6,"[88014,88015]"
499306,6,,,70,5,3,1,"[4000,5000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,200]]",5,"[88014,88015]"
499307,7,,,20,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[7003,1,1]","[[1002,200]]",4,"[88014,88015]"
499308,8,,,10,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[42000,0,1]","[[1002,200]]",3,"[88014,88015]"
499309,9,,,90,20,4,1,"[8000,10000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[30000,0,1]","[[1002,500]]",2,"[88014,88015]"
499310,10,,,10,20,4,0,"[10000,15000]","[300,100,5]","[[1003,0.052],[1002,3.8]]","[1001,0,1]","[[1002,500]]",1,"[88014,88015]"
499401,1,,,70,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",10,"[88016,88018]"
499402,2,,,30,1,1,0,"[500,1000]","[100,100,10]","[[1002,2]]",,"[[1002,50]]",9,"[88016,88018]"
499403,3,,,100,2,1,1,"[1800,2000]","[100,100,10]","[[1002,2]]",,"[[1002,100]]",8,"[88016,88018]"
499404,4,,,70,2,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,100]]",7,"[88016,88018]"
499405,5,,,30,5,2,0,"[1000,2000]","[100,100,5]","[[1003,0.052],[1002,3.8]]","[7001,1,2]","[[1002,100]]",6,"[88016,88018]"
499406,6,,,70,5,3,1,"[4000,5000]","[100,100,5]","[[1003,0.052],[1002,3.8]]",,"[[1002,200]]",5,"[88016,88018]"
499407,7,,,20,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[7003,1,1]","[[1002,200]]",4,"[88016,88018]"
499408,8,,,10,10,3,0,"[3000,5000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[42000,0,1]","[[1002,200]]",3,"[88016,88018]"
499409,9,,,90,20,4,1,"[8000,10000]","[200,100,5]","[[1003,0.052],[1002,3.8]]","[30000,0,1]","[[1002,500]]",2,"[88016,88018]"
