id,shopgroupID,ActivityID,ActivityType,type,reward1,reward2,reward3,reward4,reward5,reward6,shopID,coin,progressreward,MissionId,
1,1,129,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,780],[1001,10]]","[[1003,100]]","[[1003,100]]","[[1003,1200],[1001,20]]","[[3,1800],[6,1801]]",[],[],,
2,2,129,1,2,"[[1003,150],[13001,1]]","[[1003,150]]","[[1003,1500],[1001,40],[11001,1]]","[[1003,200]]","[[1003,200]]","[[1003,2000],[1001,50],[11001,2]]","[[3,1803],[6,1804]]",[],[],,
3,3,129,1,2,"[[1003,220],[1002,5000]]","[[1003,220],[42000,2]]","[[1003,2700],[1001,60],[11001,3]]","[[1003,250],[1002,10000]]","[[1003,250],[13001,3]]","[[1003,3000],[1001,80],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
4,4,129,1,2,"[[1003,300],[1002,10000]]","[[1003,300],[30000,20]]","[[1003,3500],[1001,100],[11001,5]]","[[1003,320],[1002,20000]]","[[1003,320],[30000,30]]",[],"[[3,1807]]",[],[],,
5,5,129,1,2,[],[],[],[],[],[],[],[],[],,
6,6,129,1,2,[],[],[],[],[],[],[],[],[],,
11,11,129,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,780],[1001,10]]","[[1003,100]]","[[1003,100]]","[[1003,1200],[1001,20]]","[[3,1800],[6,1801]]",[],[],,
12,12,129,1,2,"[[1003,150],[13001,1]]","[[1003,150]]","[[1003,1500],[1001,40],[11001,1]]","[[1003,200]]","[[1003,200]]","[[1003,2000],[1001,50],[11001,2]]","[[3,1803],[6,1804]]",[],[],,
13,13,129,1,2,"[[1003,220],[1002,5000]]","[[1003,220],[42000,2]]","[[1003,2700],[1001,60],[11001,3]]","[[1003,250],[1002,10000]]","[[1003,250],[13001,3]]","[[1003,3000],[1001,80],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
14,14,129,1,2,"[[1003,300],[1002,10000]]","[[1003,300],[30000,20]]","[[1003,3500],[1001,100],[11001,5]]","[[1003,320],[1002,20000]]","[[1003,320],[30000,30]]",[],"[[3,1807]]",[],[],,
15,15,129,1,2,[],[],[],[],[],[],[],[],[],,
16,16,129,1,2,[],[],[],[],[],[],[],[],[],,
21,21,129,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,30]]","[[1003,130],[13001,1]]","[[1003,130]]","[[1003,1500],[1001,40],[11001,1]]","[[3,1802],[6,1803]]",[],[],,
22,22,129,1,2,"[[1003,200]]","[[1003,200]]","[[1003,2000],[1001,50],[11001,2]]","[[1003,220],[1002,5000]]","[[1003,220],[42000,2]]","[[1003,2700],[1001,60],[11001,3]]","[[3,1804],[6,1805]]",[],[],,
23,23,129,1,2,"[[1003,250],[1002,10000]]","[[1003,250],[13001,3]]","[[1003,3000],[1001,80],[11001,4]]","[[1003,300],[1002,10000]]","[[1003,300],[30000,20]]","[[1003,3500],[1001,100],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
24,24,129,1,2,"[[1003,320],[1002,20000]]","[[1003,320],[30000,30]]","[[1003,4000],[1001,150],[11001,6]]","[[1003,400],[1002,30000]]","[[1003,400],[30000,50]]",[],"[[3,1808]]",[],[],,
25,25,129,1,2,[],[],[],[],[],[],[],[],[],,
26,26,129,1,2,[],[],[],[],[],[],[],[],[],,
31,31,129,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,30]]","[[1003,130],[13001,1]]","[[1003,130]]","[[1003,1500],[1001,40],[11001,1]]","[[3,1802],[6,1803]]",[],[],,
32,32,129,1,2,"[[1003,200]]","[[1003,200]]","[[1003,2000],[1001,50],[11001,2]]","[[1003,220],[1002,5000]]","[[1003,220],[42000,2]]","[[1003,2700],[1001,60],[11001,3]]","[[3,1804],[6,1805]]",[],[],,
