id,item,price,stock,level,type,weight
101,"[1003,100]","[1004,50]",1,10,1,100
201,"[1002,500]","[1004,50]",2,10,2,100
301,"[30000,10]","[1004,80]",1,10,3,100
302,"[16000,5]","[1004,30]",1,10,3,100
303,"[22000,5]","[1004,100]",1,10,3,100
401,"[11001,1]","[1004,60]",1,10,4,100
402,"[2100,5]","[1004,100]",1,10,4,100
501,"[81001,5]","[1004,80]",1,1,5,100
502,"[81002,5]","[1004,80]",1,6,5,100
503,"[81003,5]","[1004,80]",1,7,5,100
504,"[81004,5]","[1004,80]",1,9,5,100
505,"[81005,5]","[1004,80]",1,13,5,100
506,"[81006,5]","[1004,80]",1,17,5,100
507,"[81007,5]","[1004,80]",1,16,5,100
508,"[81008,5]","[1004,80]",1,14,5,100
509,"[81009,5]","[1004,80]",1,15,5,100
510,"[81010,5]","[1004,80]",1,12,5,100
511,"[81012,5]","[1004,80]",1,18,5,100
512,"[81013,5]","[1004,80]",1,19,5,100
513,"[81014,5]","[1004,80]",1,20,5,100
514,"[81015,5]","[1004,80]",1,21,5,100
515,"[81016,5]","[1004,80]",1,22,5,100
516,"[81017,5]","[1004,80]",1,23,5,100
517,"[81018,5]","[1004,80]",1,24,5,0
601,"[81001,5]","[1004,80]",1,1,6,100
602,"[81002,5]","[1004,80]",1,6,6,100
603,"[81003,5]","[1004,80]",1,7,6,100
604,"[81004,5]","[1004,80]",1,9,6,100
605,"[81005,5]","[1004,80]",1,13,6,100
606,"[81006,5]","[1004,80]",1,17,6,100
607,"[81007,5]","[1004,80]",1,16,6,100
608,"[81008,5]","[1004,80]",1,14,6,100
609,"[81009,5]","[1004,80]",1,15,6,100
610,"[81010,5]","[1004,80]",1,12,6,100
611,"[81012,5]","[1004,80]",1,18,6,100
612,"[81013,5]","[1004,80]",1,19,6,100
613,"[81014,5]","[1004,80]",1,20,6,100
614,"[81015,5]","[1004,80]",1,21,6,100
615,"[81016,5]","[1004,80]",1,22,6,100
616,"[81017,5]","[1004,80]",1,23,6,100
617,"[81018,5]","[1004,80]",1,24,6,0
701,"[81011,5]","[1004,80]",1,8,7,100
702,"[82001,2]","[1004,80]",1,8,7,100
703,"[82002,2]","[1004,80]",1,8,7,100
704,"[82003,2]","[1004,80]",1,8,7,100
705,"[82004,2]","[1004,80]",1,8,7,100
706,"[82005,2]","[1004,80]",1,8,7,100
707,"[82006,2]","[1004,80]",1,8,7,100
708,"[82007,2]","[1004,80]",1,8,7,100
709,"[82008,2]","[1004,80]",1,8,7,100
710,"[82009,2]","[1004,80]",1,8,7,100
711,"[82010,2]","[1004,80]",1,8,7,100
801,"[83001,1]","[1004,80]",1,8,8,100
802,"[83002,1]","[1004,80]",1,8,8,100
803,"[83003,1]","[1004,80]",1,8,8,100
804,"[83004,1]","[1004,80]",1,8,8,100
805,"[83005,1]","[1004,80]",1,8,8,100
806,"[83006,1]","[1004,80]",1,8,8,100
807,"[83007,1]","[1004,80]",1,8,8,100
808,"[83008,1]","[1004,80]",1,8,8,100
809,"[83009,1]","[1004,80]",1,8,8,100
810,"[83010,1]","[1004,80]",1,8,8,100
