dialogid,avatar,emotion,index,bubbleimage,alias,paragraphs,
Home101_001_dialog_1_1,Adelina01,default,1,,,"[['Home101_001_dialog_1_1',0,0]]",
Home101_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home101_001_dialog_1_2',0,0]]",
Home101_003_dialog_1_1,Adelina01,default,1,,,"[['Home101_003_dialog_1_1',0,0]]",
Home101_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home101_003_dialog_1_2',0,0]]",
Home101_003_dialog_1_3,Adelina01,default,1,,,"[['Home101_003_dialog_1_3',0,0]]",
Home101_003_dialog_1_4,Femaleplayer,default,2,,,"[['Home101_003_dialog_1_4',0,0]]",
Home101_005_dialog_1_1,Adelina01,default,1,,,"[['Home101_005_dialog_1_1',0,0]]",
Home101_005_dialog_1_2,Femaleplayer,default,2,,,"[['Home101_005_dialog_1_2',0,0]]",
Home101_006_dialog_1_1,Femaleplayer,default,1,,,"[['Home101_006_dialog_1_1',0,0]]",
Home101_006_dialog_1_2,Adelina01,default,2,,,"[['Home101_006_dialog_1_2',0,0]]",
Home101_006_dialog_1_3,Femaleplayer,default,1,,,"[['Home101_006_dialog_1_3',0,0]]",
Home101_006_dialog_1_4,Adelina01,default,2,,,"[['Home101_006_dialog_1_4',0,0]]",
Home101_007_dialog_1_1,Adelina01,default,1,,,"[['Home101_007_dialog_1_1',0,0]]",
Home101_007_dialog_1_2,Femaleplayer,default,2,,,"[['Home101_007_dialog_1_2',0,0]]",
Home101_008_dialog_1_1,Femaleplayer,default,1,,,"[['Home101_008_dialog_1_1',0,0]]",
Home101_008_dialog_1_2,Adelina01,default,2,,,"[['Home101_008_dialog_1_2',0,0]]",
Home101_008_dialog_1_3,Femaleplayer,default,1,,,"[['Home101_008_dialog_1_3',0,0]]",
Home101_008_dialog_1_4,Adelina01,default,2,,,"[['Home101_008_dialog_1_4',0,0]]",
Home101_009_dialog_1_1,Adelina01,default,1,,,"[['Home101_009_dialog_1_1',0,0]]",
Home101_009_dialog_1_2,Femaleplayer,default,2,,,"[['Home101_009_dialog_1_2',0,0]]",
Home101_009_dialog_1_3,Adelina01,default,1,,,"[['Home101_009_dialog_1_3',0,0]]",
Home101_010_dialog_1_1,Adelina01,default,1,,,"[['Home101_010_dialog_1_1',0,0]]",
Home101_010_dialog_1_2,Femaleplayer,default,2,,,"[['Home101_010_dialog_1_2',0,0]]",
Home101_011_dialog_1_1,Adelina01,default,1,,,"[['Home101_011_dialog_1_1',0,0]]",
Home101_011_dialog_1_2,Femaleplayer,default,2,,,"[['Home101_011_dialog_1_2',0,0]]",
Home101_012_dialog_1_1,Femaleplayer,default,1,,,"[['Home101_012_dialog_1_1',0,0]]",
Home101_012_dialog_1_2,Adelina01,default,2,,,"[['Home101_012_dialog_1_2',0,0]]",
Home101_012_dialog_1_3,Adelina01,default,2,,,"[['Home101_012_dialog_1_3',0,0]]",
Home101_012_dialog_1_4,Femaleplayer,default,1,,,"[['Home101_012_dialog_1_4',0,0]]",
Home101_013_dialog_1_1,Femaleplayer,default,1,,,"[['Home101_013_dialog_1_1',0,0]]",
