id,name,sceneId,obstacleId,recommend,minimumFairyPower,dragonType,maxDragonNum,lastTime,sweepWard,upgradeReward,rewardShow
1,1层,10001,1900000,5,2,1,6,15,"[[2201,7,9],[2100,3,4],[1000,8,10]]","[2201,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
2,2层,10002,1900001,5,2,2,6,15,"[[2202,7,9],[2100,3,4],[1000,8,10]]","[2202,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
3,3层,10003,1900002,5,2,3,6,15,"[[2203,7,9],[2100,3,4],[1000,8,10]]","[2203,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
4,4层,10004,1900003,5,2,4,6,15,"[[2204,7,9],[2100,3,4],[1000,8,10]]","[2204,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
5,5层,10005,1900004,15,4,1,6,15,"[[2201,12,15],[2100,3,5],[1000,25,30]]","[2201,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
6,6层,10006,1900005,15,4,2,6,15,"[[2202,12,15],[2100,3,5],[1000,25,30]]","[2202,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
7,7层,10007,1900006,15,4,3,6,15,"[[2203,12,15],[2100,3,5],[1000,25,30]]","[2203,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
8,8层,10008,1900007,15,4,4,6,15,"[[2204,12,15],[2100,3,5],[1000,25,30]]","[2204,2100]","[""Maze_hatshow1"",""Maze_hatshow_1""]"
9,9层,10009,1900008,25,4,1,6,15,"[[2201,21,25],[2100,4,5],[1000,42,50]]","[2201,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
10,10层,10010,1900009,25,4,2,6,15,"[[2202,21,25],[2100,4,5],[1000,42,50]]","[2202,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
11,11层,10011,1900010,25,4,3,6,15,"[[2203,21,25],[2100,4,5],[1000,42,50]]","[2203,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
12,12层,10012,1900011,25,4,4,6,15,"[[2204,21,25],[2100,4,5],[1000,42,50]]","[2204,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
13,13层,10013,1900012,40,6,1,6,15,"[[2201,34,40],[2100,5,6],[1000,68,80]]","[2201,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
14,14层,10014,1900013,40,4,2,6,15,"[[2202,34,40],[2100,5,6],[1000,68,80]]","[2202,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
15,15层,10015,1900014,40,4,3,6,15,"[[2203,34,40],[2100,5,6],[1000,68,80]]","[2203,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
16,16层,10016,1900015,40,4,4,6,15,"[[2204,34,40],[2100,5,6],[1000,68,80]]","[2204,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
17,17层,10017,1900016,60,6,1,6,15,"[[2201,45,54],[2100,6,7],[1000,102,120]]","[2201,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
18,18层,10018,1900017,60,6,2,6,15,"[[2202,45,54],[2100,6,7],[1000,102,120]]","[2202,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
19,19层,10019,1900018,60,6,3,6,15,"[[2203,45,54],[2100,6,7],[1000,102,120]]","[2203,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
20,20层,10020,1900019,60,6,4,6,15,"[[2204,45,54],[2100,6,7],[1000,102,120]]","[2204,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
21,21层,10021,1900020,100,10,1,6,15,"[[2201,59,70],[2100,8,9],[1000,170,200]]","[2201,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
22,22层,10022,1900021,100,10,2,6,15,"[[2202,59,70],[2100,8,9],[1000,170,200]]","[2202,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
23,23层,10023,1900022,100,10,3,6,15,"[[2203,59,70],[2100,8,9],[1000,170,200]]","[2203,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
24,24层,10024,1900023,100,10,4,6,15,"[[2204,59,70],[2100,8,9],[1000,170,200]]","[2204,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
25,25层,10025,1900024,180,15,1,6,15,"[[2201,107,126],[2100,10,12],[1000,306,360]]","[2201,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
26,26层,10026,1900025,180,15,2,6,15,"[[2202,107,126],[2100,10,12],[1000,306,360]]","[2202,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
27,27层,10027,1900026,180,15,3,6,15,"[[2203,107,126],[2100,10,12],[1000,306,360]]","[2203,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
28,28层,10028,1900027,180,15,4,6,15,"[[2204,107,126],[2100,10,12],[1000,306,360]]","[2204,2100]","[""Maze_hatshow2"",""Maze_hatshow_2""]"
