id,iconWay,icon,MissionType,taskNeed,point,unlockLevel,unlockTask,weight,key,activityId
3001,task,common/Description_001FindOrderboard_sub2,3,[5],[100],10,,60,ui_dragonSeason_task_info_order_title,
3002,task,common/Description_001FindOrderboard_sub2,3,[7],[150],10,,30,ui_dragonSeason_task_info_order_title,
3003,task,common/Description_001FindOrderboard_sub2,3,[10],[200],10,,10,ui_dragonSeason_task_info_order_title,
11001,item,item_timber,11,"[3004,2,3,5]","[32,48,80]",1,,100,ui_dragonSeason_task_info_produce_title,
11002,item,item_cut_stone,11,"[3006,2,3,5]","[32,48,80]",8,,100,ui_dragonSeason_task_info_produce_title,
11003,item,item_emulsion,11,"[3005,1,2,3]","[10,20,30]",8,,100,ui_dragonSeason_task_info_produce_title,
11004,item,item_board,11,"[3016,1,2,3]","[29,58,87]",10,,100,ui_dragonSeason_task_info_produce_title,
11005,item,item_rubber,11,"[3017,1,2,3]","[27,54,81]",11,,100,ui_dragonSeason_task_info_produce_title,
11006,item,item_iron_ingots,11,"[3009,2,3,5]","[30,45,75]",10,,100,ui_dragonSeason_task_info_produce_title,
11007,item,item_fine_sand,40,"[3007,30]",[30],9,,100,ui_dragonSeason_task_info_dragonProduce_title,
11008,item,item_flour,40,"[3001,30]",[30],9,,100,ui_dragonSeason_task_info_dragonProduce_title,
11009,item,item_marble,40,"[3008,30]",[30],14,,100,ui_dragonSeason_task_info_dragonProduce_title,
11010,item,item_copper_ingot,40,"[3010,30]",[30],12,,100,ui_dragonSeason_task_info_dragonProduce_title,
11011,item,item_iron_wire,11,"[3020,1,2,3]","[30,60,90]",12,,100,ui_dragonSeason_task_info_produce_title,
11012,item,item_cream,40,"[3002,30]",[30],13,,100,ui_dragonSeason_task_info_dragonProduce_title,
11013,item,item_copper_wire,11,"[3021,1,2,3]","[25,50,75]",13,,100,ui_dragonSeason_task_info_produce_title,
11015,item,item_honeySugar,40,"[3003,30]",[30],12,,100,ui_dragonSeason_task_info_dragonProduce_title,
11016,item,item_StrawberryJuice,11,"[3024,2,3,5]","[34,51,85]",15,,100,ui_dragonSeason_task_info_produce_title,
11017,item,item_dough,11,"[3015,2,3,5]","[20,32,40]",16,,100,ui_dragonSeason_task_info_produce_title,
11018,item,item_bagel,11,"[3031,2,3,5]","[30,45,75]",16,,100,ui_dragonSeason_task_info_produce_title,
11019,item,item_silverIngot,11,"[3011,2,3,5]","[40,60,100]",16,,100,ui_dragonSeason_task_info_produce_title,
11020,item,item_bread,11,"[3035,1,2,3]","[26,52,78]",17,,100,ui_dragonSeason_task_info_produce_title,
11021,item,item_woodenStake,11,"[3018,1,2]","[38,76]",17,,100,ui_dragonSeason_task_info_produce_title,
11022,item,item_ironPlate,11,"[3022,1]",[60],18,,100,ui_dragonSeason_task_info_produce_title,
11023,item,item_doughnut,11,"[3042,1,2,3]","[26,52,78]",13,,100,ui_dragonSeason_task_info_produce_title,
11024,item,item_goldBullion,11,"[3012,1,2,3]","[30,60,90]",99,,100,ui_dragonSeason_task_info_produce_title,
11025,item,item_bulb,11,"[3033,1]",[75],99,,100,ui_dragonSeason_task_info_produce_title,
