id,itemID1,weight1,numMin1,numMax1,itemID2,weight2,numMin2,numMax2,itemID3,weight3,numMin3,numMax3,itemID4,weight4,numMin4,numMax4,itemID5,weight5,numMin5,numMax5,itemID6,weight6,numMin6,numMax6,itemID7,weight7,numMin7,numMax7,itemID8,weight8,numMin8,numMax8,itemID9,weight9,numMin9,numMax9,itemID10,weight10,numMin10,numMax10,
1000,81011,50,1,1,82006,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,82001,50,1,1,82003,50,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,20000,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,13001,100,2,2,15000,100,3,3,16000,100,3,3,22000,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2100,100,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,141031,300,1,1,1004,300,30,30,19005,0,288,288,19001,400,200,200,1004,1800,5,5,19002,2400,500,500,1004,3000,2,2,19004,400,10,10,19003,1400,1000,1000,,,,,
1302,141031,300,1,1,1004,300,30,30,19005,0,288,288,19001,400,200,200,1004,1800,5,5,19002,2400,500,500,1004,3000,2,2,19004,400,10,10,19003,1400,1000,1000,,,,,
3000,1003,40,10,10,1002,10,100,100,15000,10,1,1,16000,10,1,1,30000,30,1,1,,,,,,,,,,,,,,,,,,,,,
3001,30001,1000,1,1,30002,1000,1,1,30003,1000,1,1,30004,1000,1,1,30005,1000,1,1,30006,1000,1,1,30007,1000,1,1,30008,1000,1,1,30009,1000,1,1,30010,1000,1,1,
3002,1003,40,20,20,3004,10,1,1,3005,15,1,1,3009,15,1,1,16000,20,2,2,,,,,,,,,,,,,,,,,,,,,
3003,1002,100,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,1003,20,40,40,11001,20,1,1,42000,30,2,2,30000,30,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
3005,22000,50,1,1,1001,10,5,5,16000,40,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,1002,100,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,1003,30,10,10,1002,10,100,100,15000,10,1,1,16000,10,1,1,30000,10,1,1,,,,,,,,,,,,,,,,,,,,,
3011,1003,20,20,20,3004,10,1,1,3005,15,1,1,3009,15,1,1,16000,10,2,2,1002,100,300,300,,,,,,,,,,,,,,,,,
3012,1003,20,40,40,11001,20,1,1,42000,30,2,2,30000,30,2,2,22000,25,1,1,1001,25,5,5,16000,25,3,3,1002,100,500,500,,,,,,,,,
3013,1003,20,10,10,1002,30,100,100,15000,10,1,1,16000,10,1,1,30000,30,1,1,,,,,,,,,,,,,,,,,,,,,
3014,1003,10,10,10,1002,30,100,100,15000,15,1,1,16000,15,1,1,30000,30,1,1,,,,,,,,,,,,,,,,,,,,,
3015,1003,20,20,20,3004,10,1,1,3005,20,1,1,3009,20,1,1,16000,30,2,2,,,,,,,,,,,,,,,,,,,,,
3016,1003,10,20,20,3004,10,1,1,3005,23,1,1,3009,22,1,1,16000,35,2,2,,,,,,,,,,,,,,,,,,,,,
3017,1003,10,40,40,11001,20,1,1,42000,35,2,2,30000,35,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
3018,1003,5,40,40,11001,25,1,1,42000,35,2,2,30000,35,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
3019,1003,20,10,10,1002,30,100,100,15000,10,1,1,16000,10,1,1,30000,30,1,1,,,,,,,,,,,,,,,,,,,,,
3020,1003,10,10,10,1002,30,100,100,15000,15,1,1,16000,15,1,1,30000,30,1,1,,,,,,,,,,,,,,,,,,,,,
3021,1003,20,20,20,3004,10,1,1,3005,20,1,1,3009,20,1,1,16000,30,2,2,1002,100,300,300,,,,,,,,,,,,,,,,,
3022,1003,10,20,20,3004,10,1,1,3005,23,1,1,3009,22,1,1,16000,35,2,2,1002,100,300,300,,,,,,,,,,,,,,,,,
3023,1003,10,40,40,11001,20,1,1,42000,35,2,2,30000,35,2,2,22000,25,1,1,1001,25,5,5,16000,25,3,3,1002,100,500,500,,,,,,,,,
3024,1003,5,40,40,11001,25,1,1,42000,35,2,2,30000,35,2,2,22000,25,1,1,1001,25,5,5,16000,25,3,3,1002,100,500,500,,,,,,,,,
3100,27522,100,1,1,14001,1000,1,1,14041,1000,1,1,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3101,141301,0,1,1,1002,2000,2000,2000,1003,1500,100,100,27522,500,1,1,1002,4000,5000,5000,1004,2000,20,20,,,,,,,,,,,,,,,,,
3102,141301,0,1,1,1002,2500,2000,2000,1003,1500,100,100,27522,1,1,1,1002,4000,5000,5000,1004,2000,20,20,,,,,,,,,,,,,,,,,
3103,141101,0,1,1,11001,1,1,1,1004,6,2,2,1003,10,30,30,1003,2,100,100,1002,20,200,200,1002,10,500,500,1002,2,1000,1000,,,,,,,,,
3104,27501,0,1,1,11001,1,1,1,1004,6,2,2,1003,10,30,30,1003,2,100,100,1002,20,200,200,1002,10,500,500,1002,2,1000,1000,,,,,,,,,
3105,141401,0,1,1,1002,2000,2000,2000,1003,1500,100,100,27524,500,1,1,1002,4000,5000,5000,1004,2000,20,20,,,,,,,,,,,,,,,,,
3106,141401,0,1,1,1002,2500,2000,2000,1003,1500,100,100,27524,1,1,1,1002,4000,5000,5000,1004,2000,20,20,,,,,,,,,,,,,,,,,
3107,27524,1000,1,1,14001,1000,1,1,14031,1000,1,1,11001,100,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3108,143901,10,1,1,1002,2100,2000,2000,38009,1000,30,30,4648,900,1,1,1002,4000,5000,5000,1004,2000,20,20,,,,,,,,,,,,,,,,,
3109,143901,15,1,1,1002,1900,2000,2000,38009,1050,30,30,4648,1000,1,1,1002,4000,5000,5000,1004,2000,20,20,,,,,,,,,,,,,,,,,
3200,141701,0,1,1,11001,2,1,1,4336,10,1,1,1003,4,100,100,1003,15,30,30,1002,19,500,500,1002,25,100,100,1004,25,3,3,,,,,,,,,
3201,142001,0,1,1,11001,2,1,1,4382,5,1,1,1003,4,100,100,1003,15,30,30,1002,19,500,500,1002,25,100,100,1004,30,3,3,,,,,,,,,
3202,313001,1,1,1,11001,2,1,1,1003,4,100,100,1003,15,30,30,1002,19,500,500,1002,25,100,100,38005,35,30,30,,,,,,,,,,,,,
3203,142601,0,1,1,11001,2,1,1,1003,4,100,100,1003,15,30,30,1002,19,500,500,1002,25,100,100,38006,35,30,30,,,,,,,,,,,,,
3204,143401,1,1,1,11001,8,1,1,1003,16,100,100,1003,60,30,30,1002,72,500,500,1002,100,100,100,38007,140,30,30,,,,,,,,,,,,,
3205,315001,1,1,1,11001,8,1,1,1003,16,100,100,1003,60,30,30,1002,72,500,500,1002,100,100,100,38008,140,30,30,15000,50,2,2,,,,,,,,,
3206,144101,1,1,1,11001,8,1,1,1003,16,100,100,1003,60,30,30,1002,72,500,500,1002,100,100,100,38010,140,30,30,15000,50,2,2,,,,,,,,,
3207,27500,100,1,1,14001,1000,1,1,14041,1000,1,1,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3208,303001,1,1,1,11001,8,1,1,1003,16,100,100,1003,60,30,30,1002,72,500,500,1002,100,100,100,1004,140,10,10,15000,50,2,2,,,,,,,,,
3209,302001,1,1,1,11001,50,1,1,1003,50,100,100,1003,200,30,30,1002,150,500,500,1002,200,100,100,38012,300,50,50,15000,50,2,2,,,,,,,,,
3211,307001,1,1,1,11001,8,1,1,1003,16,100,100,1003,60,30,30,1002,72,500,500,1002,100,100,100,1004,140,30,30,15000,50,2,2,,,,,,,,,
3212,306001,1,1,1,11001,8,1,1,1003,16,100,100,1003,60,30,30,1002,72,500,500,1002,100,100,100,1004,140,10,10,15000,50,2,2,,,,,,,,,
3213,90022,300,1,1,90022,50,2,2,90023,2250,15,15,90023,2000,30,30,1002,1000,100,100,1002,2700,300,300,1003,1000,30,30,1003,500,100,100,,,,,,,,,
3214,27354,3000,1,1,27355,1000,1,1,27356,2000,1,1,27357,4000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3215,309001,1,1,1,11001,8,1,1,1003,16,100,100,1003,60,30,30,1002,72,500,500,1002,100,100,100,1004,140,30,30,15000,50,2,2,,,,,,,,,
3216,310001,1,1,1,90135,4,12000,12000,83010,1500,1,1,83010,500,2,2,90135,1700,160,160,11001,95,1,1,1003,200,100,100,1003,2000,30,30,1002,2500,500,500,1002,1500,100,100,
3218,91001,100,1,1,91002,1000,1,1,91003,1000,1,1,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3219,312001,1,1,1,11001,10,1,1,1003,20,100,100,1003,75,30,30,1002,72,500,500,1002,100,100,100,38020,140,30,30,42000,50,1,1,,,,,,,,,
3220,311001,1,1,1,90135,4,12000,12000,83011,1500,1,1,83011,500,2,2,90272,1700,160,160,11001,95,1,1,1003,200,100,100,1003,2000,30,30,1002,2500,500,500,1002,1500,100,100,
3221,91001,100,1,1,91002,1000,1,1,91003,1000,1,1,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3222,318001,10,1,1,90372,2000,15,15,90372,2000,35,35,38023,1500,30,30,11001,140,1,1,11001,130,5,5,1003,250,100,100,1003,1070,30,30,1002,1200,500,500,1002,1700,100,100,
3223,314001,1,1,1,11001,10,1,1,1003,20,100,100,1003,75,30,30,1002,72,500,500,1002,100,100,100,38022,140,30,30,42000,50,1,1,,,,,,,,,
3224,317001,1,1,1,11001,10,1,1,1003,20,100,100,1003,75,30,30,1002,72,500,500,1002,100,100,100,38025,140,30,30,42000,50,1,1,,,,,,,,,
3225,316001,1,1,1,11001,10,1,1,1003,20,100,100,1003,75,30,30,1002,72,500,500,1002,100,100,100,38024,140,30,30,42000,50,1,1,,,,,,,,,
3226,321001,1,1,1,90728,4,12000,12000,83021,1500,1,1,83021,500,2,2,90728,1700,160,160,11001,95,1,1,1003,200,100,100,1003,2000,30,30,1002,2500,500,500,1002,1500,100,100,
3227,91001,100,1,1,91002,1000,1,1,91003,1000,1,1,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3228,320001,10,1,1,90557,800,1,1,90557,600,2,2,38027,1800,30,30,11001,210,2,2,42000,1050,1,1,1002,1760,500,500,1002,2400,100,100,1003,300,100,100,1003,1070,30,30,
3229,90540,300,1,1,90540,50,2,2,90542,2250,15,15,90542,2000,30,30,38027,1850,10,10,38027,1530,30,30,1003,1050,30,30,1003,250,100,100,90556,340,1,1,90556,330,2,2,
3230,324001,1,1,1,11001,30,1,1,11001,10,5,5,1003,85,100,100,1003,149,30,30,1002,135,500,500,1002,165,100,100,38028,100,50,50,38028,145,10,10,42000,185,1,1,
3231,27412,3500,1,1,27413,100,1,1,27414,400,1,1,27415,6000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3232,328001,1,1,1,11001,10,1,1,1003,20,100,100,1003,75,30,30,1002,72,500,500,1002,100,100,100,38048,140,30,30,42000,50,1,1,,,,,,,,,
3233,325001,1,1,1,11001,30,1,1,11001,10,5,5,1003,85,100,100,1003,149,30,30,1002,135,500,500,1002,165,100,100,38030,100,50,50,38030,145,10,10,42000,185,1,1,
3234,327001,1,1,1,90800,10,12000,12000,83027,2000,1,1,83027,1700,2,2,90800,2000,160,160,11001,130,1,1,1003,250,100,100,1003,1000,30,30,1002,1200,500,500,1002,1700,100,100,
3235,91001,100,1,1,91002,1000,1,1,91003,1000,1,1,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3236,319001,1,1,1,2000024,4,12000,12000,83019,1500,1,1,83019,500,2,2,2000024,1700,160,160,11001,95,1,1,1003,200,100,100,1003,2000,30,30,1002,2500,500,500,1002,1500,100,100,
3237,91001,100,1,1,91002,1000,1,1,91003,1000,1,1,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
3238,1003,100,80,80,1003,1000,40,40,1003,1000,50,50,11001,500,1,1,1001,1000,5,5,1001,500,10,10,1003,1000,30,30,1003,50,100,100,1002,2000,500,500,1002,1000,1000,1000,
4001,1001,10,2,2,2005,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,1001,10,2,2,2005,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,1002,25,150,200,1002,35,450,550,1002,20,900,1100,1002,10,1800,2200,1002,5,4000,5500,,,,,,,,,,,,,,,,,,,,,
4101,30000,100,10,10,42000,10,2,2,22000,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4102,84001,10,1,1,84004,10,1,1,84002,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4103,7005,100,10,10,7004,100,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,83001,10,1,1,83002,10,1,1,83003,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,1002,100,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4201,30000,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202,15000,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4203,1003,100,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4204,30000,100,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4205,16000,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,1003,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4207,30000,100,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4208,1001,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4209,1002,100,100,100,1003,100,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210,1002,100,200,200,1003,100,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4211,1002,100,500,500,1003,100,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4212,1002,100,1000,1000,1003,100,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,1003,100,3,5,1002,100,30,50,15000,100,1,1,16000,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5001,1003,100,3,5,1002,100,30,50,15000,100,1,1,16000,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
6001,30000,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,22000,100,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,1003,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,42000,100,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,11001,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,15000,100,1,1,30000,50,1,1,42000,10,1,1,16000,100,1,1,7001,100,1,1,2006,180,2,10,2007,180,1,8,,,,,,,,,,,,,
8001,1002,25,100,200,1002,35,200,300,1002,20,300,400,1002,10,400,500,1002,5,500,600,,,,,,,,,,,,,,,,,,,,,
9000,1003,15,10,10,1003,3,20,20,1002,10,200,200,1002,20,50,50,1002,15,100,100,2003,10,3,3,2005,15,3,3,16000,5,1,1,30000,15,1,1,1001,2,1,1,
10000,202001,10,1,1,206001,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
