id,level,smallBpId,exp,icon,normalType,normalReward,vipType,vipReward,title,desc,specialReward,stageReward,payIcon,payLabel,payshopid,
1,0,110,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
2,1,110,300,,0,"[1002,500]",0,"[1001,3]",,,0,0,[],[],0,
3,2,110,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[1,42000]",[],0,
4,3,110,500,,0,"[1001,3]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
5,4,110,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
6,5,110,500,,0,"[11001,1]",0,"[15000,10]",,,0,0,[],[],0,
7,6,110,500,,0,"[1002,1000]",0,"[1001,5]",,,0,0,[],[],0,
8,7,110,500,,0,"[15000,3]",0,"[34011,20]",,,1,1,"[2,34011]",[],0,
9,8,110,500,,0,"[1001,5]",0,"[11001,2]",,,0,0,[],[],0,
10,9,110,500,,0,"[1003,60]",0,"[15000,20]",,,0,0,"[6,15000]",[],0,
11,10,110,500,,0,"[11001,1]",0,"[34011,40]",,,1,1,[],[],0,
12,11,110,1000,,0,"[1002,1500]",0,"[1002,3000]",,,0,0,[],[],0,
13,12,110,1000,,0,"[15000,5]",0,"[42000,20]",,,0,0,[],[],0,
14,13,110,1000,ui_active_bp_dragon_110,0,"[1003,80]",2,"[144101,1]",dragon_name_144101,dragon_desc_144101,1,1,"[7,144101]",[],0,
15,14,110,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
16,15,110,-1,,0,"[1003,300]",0,"[1001,20]",,,1,1,"[5,51001]",[],0,
17,0,111,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
18,1,111,300,,0,"[1002,500]",0,"[1001,3]",,,0,0,[],[],0,
19,2,111,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
20,3,111,500,,0,"[1001,3]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
21,4,111,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
22,5,111,500,,0,"[11001,1]",0,"[15000,10]",,,0,0,[],[],0,
23,6,111,500,,0,"[1002,1000]",0,"[83003,20]",,,1,1,"[1,83003]",[],0,
24,7,111,500,,0,"[15000,3]",0,"[34012,20]",,,0,0,"[2,34012]",[],0,
25,8,111,500,,0,"[1001,5]",0,"[11001,2]",,,0,0,[],[],0,
26,9,111,500,,0,"[1003,60]",0,"[15000,20]",,,0,0,[],[],0,
27,10,111,500,,0,"[11001,1]",0,"[34012,40]",,,1,1,[],[],0,
28,11,111,1000,,0,"[1002,1500]",0,"[1002,3000]",,,0,0,[],[],0,
29,12,111,1000,,0,"[15000,5]",0,"[42000,20]",,,0,0,[],[],0,
30,13,111,1000,ui_active_bp_fa_111,0,"[1003,80]",2,"[303001,1]",partner_name_303,partner_desc_303,1,1,"[7,303001]",[],0,
31,14,111,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
32,15,111,-1,,0,"[1003,300]",0,"[1001,20]",,,1,1,"[5,51001]",[],0,
33,0,112,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
34,1,112,300,,0,"[1002,500]",0,"[1001,3]",,,0,0,[],[],0,
35,2,112,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
36,3,112,500,,0,"[1001,3]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
37,4,112,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
38,5,112,500,,0,"[11001,1]",0,"[15000,10]",,,0,0,[],[],0,
39,6,112,500,,0,"[1002,1000]",0,"[83002,20]",,,1,1,"[1,83002]",[],0,
40,7,112,500,,0,"[15000,3]",0,"[34013,20]",,,0,0,"[2,34013]",[],0,
41,8,112,500,,0,"[1001,5]",0,"[11001,2]",,,0,0,[],[],0,
42,9,112,500,,0,"[1003,60]",0,"[15000,20]",,,0,0,[],[],0,
43,10,112,500,,0,"[11001,1]",0,"[34013,40]",,,1,1,[],[],0,
44,11,112,1000,,0,"[1002,1500]",0,"[1002,3000]",,,0,0,[],[],0,
45,12,112,1000,,0,"[15000,5]",0,"[42000,20]",,,0,0,[],[],0,
46,13,112,1000,cinderellaemo01_head,0,"[1003,80]",2,"[302001,1]",partner_name_302,partner_desc_302,1,1,"[7,302001]",[],0,
47,14,112,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
48,15,112,-1,,0,"[1003,300]",0,"[1001,20]",,,1,1,"[5,51001]",[],0,
65,0,114,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
66,1,114,300,,0,"[1002,500]",0,"[1001,3]",,,0,0,[],[],0,
67,2,114,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
68,3,114,500,,0,"[1001,3]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
69,4,114,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
70,5,114,500,,0,"[11001,1]",0,"[15000,10]",,,0,0,[],[],0,
71,6,114,500,,0,"[1002,1000]",0,"[83007,20]",,,1,1,"[1,83007]",[],0,
72,7,114,500,,0,"[15000,3]",0,"[34015,20]",,,0,0,"[2,34015]",[],0,
73,8,114,500,,0,"[1001,5]",0,"[11001,2]",,,0,0,[],[],0,
74,9,114,500,,0,"[1003,60]",0,"[15000,20]",,,0,0,[],[],0,
75,10,114,500,,0,"[11001,1]",0,"[34015,40]",,,1,1,[],[],0,
76,11,114,1000,,0,"[1002,1500]",0,"[1002,3000]",,,0,0,[],[],0,
77,12,114,1000,,0,"[15000,5]",0,"[42000,20]",,,0,0,[],[],0,
78,13,114,1000,ui_active_bp_dragon_114,0,"[1003,80]",2,"[307001,1]",partner_name_307,partner_desc_307,1,1,"[7,307001]",[],0,
79,14,114,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
80,15,114,-1,,0,"[1003,300]",0,"[1001,20]",,,1,1,"[5,51001]",[],0,
81,0,115,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
82,1,115,300,,0,"[1002,500]",0,"[1001,3]",,,0,0,[],[],0,
83,2,115,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,90021]",[],0,
84,3,115,500,,0,"[1001,3]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
85,4,115,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
86,5,115,500,,0,"[11001,1]",0,"[90021,3]",,,0,0,[],[],0,
87,6,115,500,,0,"[1002,1000]",0,"[83006,20]",,,1,1,"[1,83006]",[],0,
88,7,115,500,,0,"[15000,3]",0,"[34016,20]",,,0,0,"[2,34016]",[],0,
89,8,115,500,,0,"[1001,5]",0,"[11001,2]",,,0,0,[],[],0,
90,9,115,500,,0,"[1003,60]",0,"[90021,6]",,,0,0,[],[],0,
91,10,115,500,,0,"[11001,1]",0,"[34016,40]",,,1,1,[],[],0,
92,11,115,1000,,0,"[1002,1500]",0,"[90021,10]",,,0,0,[],[],0,
93,12,115,1000,,0,"[15000,5]",0,"[42000,20]",,,0,0,[],[],0,
94,13,115,1000,ui_active_bp_dragon_115,0,"[1003,80]",2,"[306001,1]",partner_name_306,partner_desc_306,1,1,"[7,306001]",[],0,
95,14,115,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
96,15,115,-1,,0,"[1003,300]",0,"[1001,20]",,,1,1,"[5,51001]",[],0,
