id,name,icon,type,spine,sound,obstacleId,productItem,unlockLevel,unlockConsume,scene,extraProduction,maxProduction,workingAnimation,idleAnimation,whetherCloseUI,scale,factoryCenterId,partnerAttribute,fairytalePower,
7,UI_factory_8,ui_make_bottom_icon_08,1,Loom,sound_factory_textile_station,30006,"[[3013,20],[3014,22],[3023,22]]",20,[],,[],[],,,1,0.6,,[],[],
9,UI_factory_9,ui_make_bottom_icon_09,1,GarmentFactory,sound_factory_textile_shop,30008,"[[3029,24],[3028,25],[3030,26],[3040,28]]",24,[],,[],[],,,1,0.6,,[],[],
10,UI_factory_5,ui_make_bottom_icon_10,1,,sound_factory_building_material_staion,30007,"[[3027,27],[3037,28],[3036,29],[3038,30],[3043,31],[3044,33]]",27,[],,[],[],,,1,0.6,,[],[],
1,PartnerFactory3,ui_make_bottom_icon_01,1,Timbersaw,sound_factory_production_base,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",1,[],,[],[],,,1,0.6,1001,[],[],
11,PartnerFactory3,ui_make_bottom_icon_01,1,Timbersaw,sound_factory_production_base,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",12,[],,[],[],,,1,0.6,1001,[],[],
12,PartnerFactory3,ui_make_bottom_icon_01,1,Timbersaw,sound_factory_production_base,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",1,"[1001,150]",,[],[],,,1,0.6,1001,[],[],
13,PartnerFactory3,ui_make_bottom_icon_01,1,Timbersaw,sound_factory_production_base,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",16,[],,[],[],,,1,0.6,1001,[],[],
2,PartnerFactory1,ui_make_bottom_icon_04,1,Cutter,sound_factory_stone_station,30001,"[[3001,9],[3003,12],[3002,13],[3042,13],[3015,16],[3031,16],[3035,17],[3041,19],[3052,21],[3053,27]]",9,[],,[],[],,,1,0.6,1002,[],[],
14,PartnerFactory1,ui_make_bottom_icon_04,1,Cutter,sound_factory_stone_station,30001,"[[3001,9],[3003,12],[3002,13],[3042,13],[3015,16],[3031,16],[3035,17],[3041,19],[3052,21],[3053,27]]",14,[],,[],[],,,1,0.6,1002,[],[],
15,PartnerFactory1,ui_make_bottom_icon_04,1,Cutter,sound_factory_stone_station,30001,"[[3001,9],[3003,12],[3002,13],[3042,13],[3015,16],[3031,16],[3035,17],[3041,19],[3052,21],[3053,27]]",9,"[1001,150]",,[],[],,,1,0.6,1002,[],[],
