id,refreshTime,reward,
1,2022-6-13 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27526,1],[27525,1]]],[[""472""],[[27600,1],[27526,1]]]]",
2,2022-6-20 19:00:00,"[[[""470""],[[27528,1],[27514,1]]],[[""471""],[[27527,1],[27528,1]]],[[""472""],[[27521,1],[27527,1]]]]",
3,2022-6-27 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27526,1],[27525,1]]],[[""472""],[[27600,1],[27526,1]]]]",
4,2022-7-4 19:00:00,"[[[""470""],[[27528,1],[27514,1]]],[[""471""],[[27527,1],[27528,1]]],[[""472""],[[27521,1],[27527,1]]]]",
5,2022-7-11 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27506,1],[27501,1]]],[[""472""],[[27600,1],[27526,1]]]]",
6,2022-7-18 19:00:00,"[[[""470""],[[27502,1],[27529,1]]],[[""471""],[[27523,1],[27502,1]]],[[""472""],[[27521,1],[27527,1]]]]",
7,2022-7-25 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27524,1],[27525,1]]],[[""472""],[[27601,1],[27524,1]]]]",
8,2022-8-1 19:00:00,"[[[""470""],[[27528,1],[27514,1]]],[[""471""],[[27527,1],[27528,1]]],[[""472""],[[27602,1],[27527,1]]]]",
9,2022-8-8 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27526,1],[27501,1]]],[[""472""],[[27600,1],[27526,1]]]]",
10,2022-8-15 19:00:00,"[[[""470""],[[27502,1],[27529,1]]],[[""471""],[[27522,1],[27502,1]]],[[""472""],[[27521,1],[27522,1]]]]",
11,2022-8-22 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27524,1],[27525,1]]],[[""472""],[[27601,1],[27524,1]]]]",
12,2022-8-29 19:00:00,"[[[""470""],[[27528,1],[27514,1]]],[[""471""],[[27527,1],[27528,1]]],[[""472""],[[27602,1],[27527,1]]]]",
13,2022-9-5 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27526,1],[27501,1]]],[[""472""],[[27600,1],[27526,1]]]]",
14,2022-9-12 19:00:00,"[[[""470""],[[27502,1],[27529,1]]],[[""471""],[[27522,1],[27502,1]]],[[""472""],[[27521,1],[27522,1]]]]",
15,2022-9-19 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27534,1],[27533,1]]],[[""472""],[[27601,1],[27534,1]]]]",
16,2022-9-26 19:00:00,"[[[""470""],[[27528,1],[27514,1]]],[[""471""],[[27536,1],[27535,1]]],[[""472""],[[27602,1],[27536,1]]]]",
17,2022-10-3 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27545,1],[27544,1]]],[[""472""],[[27603,1],[27545,1]]]]",
18,2022-10-10 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27536,1],[27535,1]]],[[""472""],[[27601,1],[27536,1]]]]",
19,2022-10-17 19:00:00,"[[[""470""],[[27528,1],[27514,1]]],[[""471""],[[27545,1],[27544,1]]],[[""472""],[[27602,1],[27545,1]]]]",
20,2022-10-24 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27534,1],[27533,1]]],[[""472""],[[27600,1],[27534,1]]]]",
21,2022-10-31 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27549,1],[27548,1]]],[[""472""],[[27603,1],[27549,1]]]]",
22,2022-11-7 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27547,1],[27546,1]]],[[""472""],[[27521,1],[27547,1]]]]",
23,2022-11-14 19:00:00,"[[[""470""],[[27501,1],[27515,1]]],[[""471""],[[27531,1],[27532,1]]],[[""472""],[[27602,1],[27531,1]]],[[""334""],[[141801,1],[1003,1600]]],[[""335""],[[142101,1],[1003,1600]]],[[""336""],[[142301,1],[1003,1600]]]]",
24,2022-11-21 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27527,1],[27657,1]]],[[""472""],[[27601,1],[27527,1]]],[[""334""],[[141801,1],[1003,1600]]],[[""335""],[[142101,1],[1003,1600]]],[[""336""],[[142301,1],[1003,1600]]]]",
25,2022-11-28 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27536,1],[27550,1]]],[[""472""],[[27603,1],[27536,1]]],[[""334""],[[143201,1],[1003,1600]]],[[""335""],[[143701,1],[1003,1600]]],[[""336""],[[141501,1],[1003,1600]]]]",
26,2022-12-5 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27655,1],[27537,1]]],[[""472""],[[27600,1],[27655,1]]],[[""334""],[[141801,1],[1003,1600]]],[[""335""],[[142101,1],[1003,1600]]],[[""336""],[[142301,1],[1003,1600]]]]",
27,2022-12-12 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27551,1],[27654,1]]],[[""472""],[[27521,1],[27551,1]]],[[""334""],[[143201,1],[1003,1600]]],[[""335""],[[143701,1],[1003,1600]]],[[""336""],[[141501,1],[1003,1600]]]]",
28,2022-12-19 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27500,1],[27501,1]]],[[""472""],[[27602,1],[27500,1]]],[[""334""],[[141801,1],[1003,1600]]],[[""335""],[[142101,1],[1003,1600]]],[[""336""],[[142301,1],[1003,1600]]]]",
29,2022-12-26 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27547,1],[27502,1]]],[[""472""],[[27601,1],[27547,1]]],[[""334""],[[143201,1],[1003,1600]]],[[""335""],[[143701,1],[1003,1600]]],[[""336""],[[141501,1],[1003,1600]]]]",
30,2023-1-2 19:00:00,"[[[""470""],[[27525,1],[27513,1]]],[[""471""],[[27653,1],[27557,1]]],[[""472""],[[27603,1],[27653,1]]],[[""334""],[[141801,1],[1003,1600]]],[[""335""],[[142101,1],[1003,1600]]],[[""336""],[[142301,1],[1003,1600]]]]",
