id,openTimes,buyTimes,payLabel,condition,conditionParam,endingTime,giftIcon,title,playInTurn,level,group1UnlockLevel,group2UnlockLevel,group3UnlockLevel,group4UnlockLevel,group5UnlockLevel,group6UnlockLevel,group7UnlockLevel,group8UnlockLevel,group9UnlockLevel,group,CD,publicCD,showTime,popUpTimes,popUpCD,priority,name,diamondShopID,shopID,shopGroupID,giftUI,itemIds,discount,itemIds2,discount2,itemIds3,discount3,popupSceneType,giftScript,paramType,param,giftIconShowType,crossDayClose
11,0,1,[],-1,,,,,0,99,99,99,99,99,99,99,99,99,99,1,-1,48,48,1,1,999,UI_gift_newcomer,,11,20,,[],1,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_11,-1,[],1,0
12,0,1,[],-1,,,,,0,99,99,99,99,99,99,99,99,99,99,2,-1,-1,48,1,1,99,,,12,-1,,[],1,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_12,-1,[],1,0
13,0,1,[],-1,,,gift_common1,,1,9,9,9,9,9,9,9,9,9,9,13,12,12,12,1,12,99,,,-1,-1,,"[10003,[1003,640],[1001,80]]",0.5,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_13,-1,[],1,0
14,0,1,[],-1,,,gift_common4,,1,9,9,9,9,9,9,9,9,9,9,14,48,12,24,1,12,99,,,-1,-1,,"[10001,[1003,400],[1001,40]]",0.2816,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_14,-1,[],1,0
21,0,1,[],-1,,,,,1,99,99,99,99,99,99,99,99,99,99,1,-1,12,12,1,1,1,,,13,-1,,[],1,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_21,-1,[],1,0
22,0,1,[],-1,,,,,1,99,99,99,99,99,99,99,99,99,99,1,36,12,12,1,1,2,,,14,-1,,[],1,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_22,-1,[],1,0
23,0,1,[],-1,,,,,1,99,99,99,99,99,99,99,99,99,99,1,36,12,12,2,1,3,,,15,-1,,[],1,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_23,-1,[],1,0
32,0,1,[],-1,,,,,1,99,99,99,99,99,99,99,99,99,99,3,24,24,2,1,1,5,,,17,-1,,[],1,[],1,[],1,,GiftInstance_32,-1,[],1,0
33,0,1,[],-1,,,,,1,11,11,11,11,11,11,11,11,11,11,3,24,24,2,1,1,6,,,18,-1,,[],1,[],1,[],1,[0],GiftInstance_33,-1,[],1,0
34,0,1,[],-1,,,,,0,10,10,10,10,10,10,10,10,10,10,3,24,24,2,1,1,7,,,450,-1,,[],1,[],1,[],1,,GiftInstance_34,-1,[],1,0
180,0,1,[],-1,,,,,1,11,11,11,11,11,11,11,11,11,11,3,24,24,2,1,1,8,,,180,-1,,[],1,[],1,[],1,[0],GiftInstance_180,-1,[],1,0
410,0,1,[],-1,,,,,1,11,11,11,11,11,11,11,11,11,11,4,72,24,2,1,1,9,,,410,-1,,[],1,[],1,[],1,[0],GiftInstance_410,-1,[],1,0
420,0,1,[],-1,,,,,1,11,11,11,11,11,11,11,11,11,11,5,48,24,2,1,1,10,,,420,-1,,[],1,[],1,[],1,[0],GiftInstance_420,-1,[],1,0
