id,icon_way,icon,MissionType,taskNeed,unlockLevel,unlockTask,num,key,
10000,task,common/task_costenergy,22,[600],6,,[600],ui_goldpass_task_1,
10001,task,common/task_costenergy,22,[500],6,,[500],ui_goldpass_task_1,
10002,item,item_resin,2,"[2002,100]",6,,[100],ui_goldpass_task_15,
10003,item,item_wood,2,"[2003,100]",6,,[100],ui_goldpass_task_16,
10004,item,item_stone,2,"[2004,100]",6,,[100],ui_goldpass_task_17,
10005,task,common/Description_001FindOrderboard_sub2,3,[10],6,,[10],ui_goldpass_task_13,
10006,task,common/Description_001FindOrderboard_sub2,3,[70],6,,[70],ui_goldpass_task_13,
10007,task,common/Description_Sub001makestuffready_sub2,11,"[3004,4]",1,,[4],ui_goldpass_task_2,
10008,task,common/Description_Sub001makestuffready_sub2,11,"[3004,20]",1,,[20],ui_goldpass_task_2,
10009,task,common/Submission_Line8_1_tasl2,11,"[3006,6]",8,,[6],ui_goldpass_task_3,
10010,task,common/Submission_Line8_1_tasl2,11,"[3006,25]",8,,[25],ui_goldpass_task_3,
10011,task,common/item_rubber,11,"[3017,2]",11,,[2],ui_goldpass_task_4,
10012,task,common/item_rubber,11,"[3017,10]",11,,[10],ui_goldpass_task_4,
10013,task,common/item_board,11,"[3016,2]",10,,[2],ui_goldpass_task_5,
10014,task,common/item_board,11,"[3016,10]",10,,[10],ui_goldpass_task_5,
10015,task,common/item_iron_ingots,11,"[3009,4]",10,,[4],ui_goldpass_task_6,
10016,item,item_iron_wire,11,"[3020,2]",12,,[2],ui_goldpass_task_7,
10017,item,item_iron_wire,11,"[3020,10]",12,,[10],ui_goldpass_task_7,
10018,task,common/item_wooden_frame,11,"[3032,2]",14,,[2],ui_goldpass_task_8,
10019,item,item_StrawberryJuice,11,"[3024,16]",15,,[16],ui_goldpass_task_9,
10020,item,item_silverIngot,11,"[3011,16]",16,,[16],ui_goldpass_task_10,
10021,task,common/action_feeddragon,14,[20],6,,[20],ui_goldpass_task_14,
10022,task,common/Description_Opening004Dragongift_sub2,15,"[5018,40]",0,,[40],ui_goldpass_task_11,
10023,task,common/Description_003GetFamiliarWithDragon_sub2,15,"[5009,24]",0,,[24],ui_goldpass_task_12,
10024,task,common/Description_Opening005FeedDragon_sub2,18,"[""city"",30]",6,,[30],ui_goldpass_task_18,
10025,task,common/Description_Opening005FeedDragon_sub2,18,"[""city"",150]",6,,[150],ui_goldpass_task_18,
10027,task,common/task_costenergy,22,[3000],6,,[3000],ui_goldpass_task_1,
10028,task,common/Description2_09TheHauntingofDoris1_sub2,23,[10],6,,[10],ui_goldpass_task_22,
