id,name,desc,icon,widgetType,paginationType,type,dragonId,breedDragonId,productLevel,productNeedItem,orderType,productTime,timeValue,sellCoin,price,expValue,orderNumLimit,orderNormalWeight,orderDifficultWeight,timeOrderItem,timeOrderNumLimit,limittime,canUse,funcType,funcParam,itemLimit,getWays,getWayParam,sceneId,lookupWay,timeOrderUnlockLevel,itemConvert,showUp,
1000,exp,exp,icon_exp,9,-1,9,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,[-1],,,0,-1,[],,
1001,diamond,diamond,icon_diamond,2,-1,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,[-1],,,0,-1,[],,
1002,gold,gold,icon_gold,3,-1,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,[5],,,0,-1,[],,
1003,energy,energy,icon_energy,1,-1,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999999,[-1],,,0,-1,[],,
1004,item_1004,item_desc_1004,item_dragon_crown,13,4,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,[7],,,0,-1,[],,
1005,item_1005,item_desc_1005,item_prosperity_icon,13,4,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,[21],,,0,-1,[],,
1006,item_1006,item_1006,icon_redenergy,4,-1,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999999,[-1],,,0,-1,[],,
2001,item_2001,item_desc_2001,item_grass,13,1,2,0,,0,[],2,0,2,3,2,2,-1,200,200,1,"[50,40,60]",-1,1,0,[],99999,"[4,8]",,,0,10,[],,
2002,item_2002,item_desc_2002,item_resin,13,1,2,0,,0,[],2,0,3,3,2,2,-1,0,200,1,"[30,30,30]",-1,1,0,[],99999,"[4,8]",,,0,10,[],,
2003,item_2003,item_desc_2003,item_wood,13,1,2,0,,0,[],2,0,3,3,2,2,-1,100,200,1,"[30,30,30]",-1,1,0,[],99999,"[4,8]",,,0,10,[],,
2004,item_2004,item_desc_2004,item_stone,13,1,2,0,,0,[],2,0,3,3,2,2,-1,100,200,1,"[40,40,40]",-1,1,0,[],99999,"[4,8]",,,0,10,[],,
2005,item_2005,item_desc_2005,item_iron_ore,13,1,2,0,,0,[],2,0,6,3,2,2,-1,0,200,1,"[30,30,30]",-1,1,0,[],99999,"[4,8]",,,0,10,[],,
2006,item_2006,item_desc_2006,crops_1,13,4,18,0,,0,[],0,0,0,1,2,0,0,0,0,0,[],-1,0,3,[900],9999,[9],,,0,-1,[],,
2007,item_2007,item_desc_2007,crops_2,13,4,18,0,,0,[],0,0,0,1,5,0,0,0,0,0,[],-1,0,3,[3600],9999,[9],,,0,-1,[],,
2008,item_2008,item_desc_2008,crops_3,13,4,18,0,,0,[],0,0,0,1,10,0,0,0,0,0,[],-1,0,3,[14400],9999,[9],,,0,-1,[],,
2009,item_2009,item_desc_2009,crops_4,13,4,18,0,,0,[],0,0,0,1,20,0,0,0,0,0,[],-1,0,3,[28800],9999,[9],,,0,-1,[],,
2020,item_2020,item_desc_2020,item_commission_grass,13,1,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,[4],,,0,10,[],,
2021,item_2021,item_desc_2021,item_commission_wood,13,1,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,[4],,,0,10,[],,
2022,item_2022,item_desc_2022,item_commission_stone,13,1,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,[4],,,0,10,[],,
2023,item_2023,item_desc_2023,item_commission_ore,13,1,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,[4],,,0,10,[],,
2100,item_2100,item_desc_2100,item_chuansongfushi,13,4,2,0,,0,[],0,0,60,0,80,0,0,0,0,0,[],-1,1,0,[],-1,[1],,,0,-1,[],,
2200,item_2200,item_desc_2200,item_dragonmaze_money1,13,4,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,[12],,,0,-1,[],,
2201,item_2201,item_desc_2201,item_paint_grass,13,4,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,[12],,,0,-1,[],,
2202,item_2202,item_desc_2202,item_paint_wood,13,4,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,[12],,,0,-1,[],,
2203,item_2203,item_desc_2203,item_paint_stone,13,4,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,[12],,,0,-1,[],,
2204,item_2204,item_desc_2204,item_paint_ore,13,4,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,[12],,,0,-1,[],,
2300,item_2300,item_desc_2300,item_dragonmaze_money2,13,4,2,0,,0,[],0,0,0,0,80,0,0,0,0,0,[],-1,1,0,[],-1,[12],,,0,-1,[],,
