id,levelIndex,MapId,SavingPoint,Reward,sReward,SPReward,continuePrice,BackId,
1001,1,Block1,0,"[[1002,500],[6404,1],[6405,1],[6406,1],[6407,1]]","[[1002,20],[1003,3]]",,15,,
1002,2,Block2,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,,
1003,3,Block3,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84003,2],[60011,1]]",15,,
1004,4,Block4,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1002,
1005,5,Block5,0,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]",,15,1002,
1006,6,Block6,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84003,3],[60011,1]]",15,1002,
1007,7,Block7,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1005,
1008,8,Block8,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1005,
1009,9,Block9,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1005,
1010,10,Block10,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,4],[1001,20]]",15,1005,
1011,11,Block11,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1009,
1012,12,Block12,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1009,
1013,13,Block13,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1009,
1014,14,Block14,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1009,
1015,15,Block15,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[60011,1]]",15,1009,
1016,16,Block16,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1014,
1017,17,Block17,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1014,
1018,18,Block18,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1014,
1019,19,Block19,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1014,
1020,20,Block20,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1001,20]]",15,1014,
1021,21,Block21,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1019,
1022,22,Block22,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1019,
1023,23,Block23,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1019,
1024,24,Block24,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1019,
1025,25,Block25,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[60011,1]]",20,1019,
1026,26,Block26,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1024,
1027,27,Block27,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1024,
1028,28,Block28,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1024,
