id,workFlyTime,flyRadius,flyTime,showProbability,collectTime,work,
14001,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone013/Bone014/Bone015"",""E_dragon_wheat_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone013(mirrored)/Bone014(mirrored)/Bone015(mirrored)"",""E_dragon_wheat_lv1_work""]]",
14002,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bone003/Bone004/Bone005/Bone006/Bone007/Bone008"",""E_dragon_wheat_lv2_work""]]",
14003,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone009/Bone010/Bone011/Bone012"",""E_dragon_wheat_lv2_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone009(mirrored)/Bone010(mirrored)/Bone011(mirrored)/Bone012(mirrored)"",""E_dragon_wheat_lv2_work""]]",
14004,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_wheat_lv4_work""]]",
14011,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone031/Bone032/Bone033"",""E_dragon_copper_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone044/Bone045/Bone046"",""E_dragon_copper_lv1_work""]]",
14012,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone031/Bone032/Bone033"",""E_dragon_copper_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone044/Bone045/Bone046"",""E_dragon_copper_lv1_work""]]",
14013,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone031/Bone032/Bone033"",""E_dragon_copper_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone044/Bone045/Bone046"",""E_dragon_copper_lv1_work""]]",
14014,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone031/Bone032/Bone033"",""E_dragon_copper_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone044/Bone045/Bone046"",""E_dragon_copper_lv1_work""]]",
14021,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001/Bone002/Bone003"",""E_dragon_purple_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001(mirrored)/Bone002(mirrored)/Bone003(mirrored)"",""E_dragon_purple_lv1_work""]]",
14022,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001/Bone002/Bone003"",""E_dragon_purple_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001(mirrored)/Bone002(mirrored)/Bone003(mirrored)"",""E_dragon_purple_lv1_work""]]",
14023,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001/Bone002/Bone003"",""E_dragon_purple_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001(mirrored)/Bone002(mirrored)/Bone003(mirrored)"",""E_dragon_purple_lv1_work""]]",
14024,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001/Bone002/Bone003/Bone004"",""E_dragon_purple_lv1_work""],[""render/Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/Bone001(mirrored)/Bone002(mirrored)/Bone003(mirrored)/Bone004(mirrored)"",""E_dragon_purple_lv1_work""]]",
14031,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_fire_lv1_work""]]",
14032,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_fire_lv1_work""]]",
14033,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_fire_lv1_work""]]",
14034,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_fire_lv1_work""]]",
14041,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_woodLeaf_lv1_work""]]",
14042,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_woodLeaf_lv1_work""]]",
14043,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_woodLeaf_lv1_work""]]",
14044,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_woodLeaf_lv1_work""]]",
14051,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_argil_lv1_work""]]",
14052,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_argil_lv1_work""]]",
14053,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_argil_lv1_work""]]",
14054,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_argil_lv1_work""]]",
14061,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",[],
14062,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",[],
14063,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",[],
14064,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",[],
14071,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_milk_lv1_work""]]",
14072,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_milk_lv1_work""]]",
14073,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_milk_lv1_work""]]",
14074,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_milk_lv1_work""]]",
14081,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_magma_lv1_work""]]",
14082,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_magma_lv1_work""]]",
14083,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_magma_lv1_work""]]",
14084,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render"",""E_dragon_magma_lv1_work""]]",
14091,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_honey_lv1_work""]]",
14092,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_honey_lv1_work""]]",
14093,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_honey_lv1_work""]]",
14094,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]","[[""render/Bip001"",""E_dragon_honey_lv1_work""]]",
14101,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14102,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14103,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14104,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14111,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14112,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14113,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14114,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14121,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14122,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14123,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14124,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14131,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14132,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14133,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14134,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14141,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14142,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14143,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14144,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14151,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14152,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14153,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14154,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14161,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14162,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14163,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14164,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14171,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14172,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14173,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14174,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14181,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14182,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14183,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14184,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14191,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14192,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14193,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14194,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14201,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14202,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14203,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14204,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14211,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14212,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14213,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
14214,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141001,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141002,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141003,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141004,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141011,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141012,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141013,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141014,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141021,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141022,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141023,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141024,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141031,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141032,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141033,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141034,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141041,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
