id,mapId,obstacleType,obstacleIcon,achievementDesc,obstacleReward,completeReward,directTips
4001,4,"[1,14]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[16000,3]]","[[1001,5],[11001,1],[7005,10]]",
4002,4,"[2,5]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[1002,800]]","[[1001,5],[11001,1],[7005,10]]",
4003,4,"[3,7]",icon_obstacleAchievement_resin,ui_obstacleAchievement_obstacle_3,"[[10005,3]]","[[1001,5],[11001,1],[7005,10]]",
4004,4,"[4,6]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,3]]","[[1001,5],[11001,1],[7005,10]]",
5001,5,"[1,11]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[1002,1000]]","[[1001,5],[1002,2000],[1003,50]]",
5002,5,"[2,5]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[2007,10]]","[[1001,5],[1002,2000],[1003,50]]",
5003,5,"[3,15]",icon_obstacleAchievement_resin,ui_obstacleAchievement_obstacle_3,"[[10005,3]]","[[1001,5],[1002,2000],[1003,50]]",
5004,5,"[4,8]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,3]]","[[1001,5],[1002,2000],[1003,50]]",
6001,6,"[1,23]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
6002,6,"[2,8]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
6003,6,"[3,20]",icon_obstacleAchievement_resin,ui_obstacleAchievement_obstacle_3,"[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
6004,6,"[4,7]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
7001,7,"[1,23]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[1001,2]]","[[1001,3],[1002,3000],[1003,50]]",
7002,7,"[2,8]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[7005,10]]","[[1001,3],[1002,3000],[1003,50]]",
7003,7,"[4,7]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[2008,20]]","[[1001,3],[1002,3000],[1003,50]]",
7004,7,"[8,6]",icon_obstacleAchievement_DNA,ui_obstacleAchievement_obstacle_5,"[[25000,1]]","[[1001,3],[1002,3000],[1003,50]]",
8001,8,"[1,27]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
8002,8,"[2,8]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
8003,8,"[3,20]",icon_obstacleAchievement_resin,ui_obstacleAchievement_obstacle_3,"[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
8004,8,"[4,7]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
8005,8,"[8,7]",icon_obstacleAchievement_DNA,ui_obstacleAchievement_obstacle_5,"[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
9007,9,"[1,25]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
9008,9,"[2,8]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
9009,9,"[3,18]",icon_obstacleAchievement_resin,ui_obstacleAchievement_obstacle_3,"[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
9010,9,"[4,5]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
9011,9,"[8,6]",icon_obstacleAchievement_DNA,ui_obstacleAchievement_obstacle_5,"[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
10001,10,"[1,30]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
10002,10,"[2,8]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
10003,10,"[3,20]",icon_obstacleAchievement_resin,ui_obstacleAchievement_obstacle_3,"[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
10004,10,"[4,5]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
10005,10,"[8,6]",icon_obstacleAchievement_DNA,ui_obstacleAchievement_obstacle_5,"[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
11001,11,"[1,30]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
11002,11,"[2,8]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
11003,11,"[4,7]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
11004,11,"[8,7]",icon_obstacleAchievement_DNA,ui_obstacleAchievement_obstacle_5,"[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
12001,12,"[1,30]",icon_obstacleAchievement_lightObstacle,ui_obstacleAchievement_obstacle_1,"[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
12002,12,"[2,8]",icon_obstacleAchievement_dragonBox,ui_obstacleAchievement_obstacle_2,"[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
12003,12,"[4,6]",icon_obstacleAchievement_iron,ui_obstacleAchievement_obstacle_4,"[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
