id,name,model,icon,length,width,attribute,dragonSkillAttribute,cleanTool,type,obstacleType,achievementType,taskunlock,consumeType,consume,whetherHide,rewardItem,rewardItem1,probabilityRewardItem1,probabilityRewardItem2,probabilityRewardItem3,dragonReward,roleLevel,FuncParam,group4ReturnEnergy,group5ReturnEnergy,group6ReturnEnergy,group7ReturnEnergy,display,
1,,mission1_factory_staminapot,,1,1,0,0,,31,0,0,Mission1_01Becarefulmove,3,[],1,[],[],[],[],[],[],1,,,,,,[],
2,,mission1_building_palacegate,,1,1,0,0,building,23,0,0,Mission1_07Whereistheprince,3,[],1,[],[],[],[],[],[],1,,,,,,[],
3,,mission1_building_bodyguardleft,,1,1,0,0,,3,1003,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
4,,mission1_building_bodyguardright,,1,1,0,0,,3,1003,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
5,,mission1_building_highwaytotem,,1,1,0,0,building,23,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
6,,mission1_building_cinderella,,1,1,0,0,,3,0,0,Mission1_08Enterthecastle,3,[],0,[],[],[],[],[],[],1,,,,,,[],
7,,mission1_building_cinderellaroomdoor,,1,1,0,0,building,23,0,0,Mission1_10ObserveCinderella2,3,[],1,[],[],[],[],[],[],1,,,,,,[],
8,,mission1_building_dorisroomdoor,,1,1,0,0,building,23,0,0,Mission1_11Discoversecrets,3,[],1,[],[],[],[],[],[],1,,,,,,[],
9,,mission1_building_hidingcurtain,,1,1,0,0,building,23,0,0,Mission1_10ObserveCinderella3,3,[],1,[],[],[],[],[],[],1,,,,,,[],
10,,mission1_building_teleportationcircle,,1,1,0,0,,32,2,0,Mission1_11Discoversecrets,3,[],1,[],[],[],[],[],[],1,,,,,,[],
11,strawpile,mission1_treasure_haystack,,1,1,0,0,,75,0,0,Mission1_06Strangeness,1,"[1003,12]",0,[],[],[],[],[],[],1,"[0,50,8001,8001,8001]",,,,,[],
12,freshberry,mission1_item_freshberries,,1,1,0,0,Shovel,1,0,0,Mission1_01Becarefulmove,1,"[1003,7]",0,"[[4100,1],[1000,1]]",[],[],[],[],[],1,,,,,,[],
13,wildgrape,mission1_item_wildgrapes,,1,1,0,0,Shovel,1,0,0,Mission1_03Keepgoing,1,"[1003,7]",0,"[[4102,2],[1000,1]]",[],[],[],[],[],1,,,,,,[],
14,flower,mission1_lock_gostaminapot,,1,1,0,0,Shovel,1,0,0,Mission1_01Becarefulmove,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
15,stone,mission1_lock_goguard,,1,1,0,0,Pickaxe,1,0,0,,1,"[1003,12]",0,"[[2004,4],[1000,3]]","[[2004,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
16,toy,mission1_lock_goleft,,1,1,0,0,Shovel,1,0,0,Mission1_09Crystalshoes,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
