id,orderNum,gold,exp,energy,rewardValue,minEnergy,maxEnergy,threeItem,isZero,dragonOrderNumMin,dragonOrderNum,dragonOrderProbability,dragonOrderFinishNum,orderNormalWeight,orderDifficultWeight,dragonOrderTime,orderNormalTime,orderDifficultTime,orderDifficultReward,orderFulfillTarget,orderFulfillReward_1,orderFulfillReward_2,orderFulfillReward_3,itemDynamicWeight,tiredNumSection,recycleDragonGold,energyDecay,IncompleteNum,orderDifficultNum,
1,3,2,3,0.3,"[0.8,1.2]",10,25,"[[1000,1],[0,0.8],[0,0.7]]","[0.5,1]",1,3,1,99,"[0,0,0,0,0]","[0,0,0,0,0]",8,"[0,0,0,0,0]",20,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",3,[],1,1,
2,3,2.1,3,0.3,"[0.8,1.2]",10,25,"[[1000,1],[0,0.8],[0,0.7]]","[0.5,1]",1,3,1,99,"[0,0,0,0,0]","[0,0,0,0,0]",8,"[0,0,0,0,0]",20,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",3.24,[],1,1,
3,3,2.2,3,0.3,"[0.8,1.2]",10,25,"[[1000,1],[0,0.8],[0,0.7]]","[0.5,1]",1,3,1,99,"[0,0,0,0,0]","[0,0,0,0,0]",8,"[0,0,0,0,0]",20,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",3.5,[],1,1,
4,3,2.3,3,0.3,"[0.8,1.2]",10,25,"[[1000,1],[0,0.8],[0,0.7]]","[0.5,1]",1,3,1,99,"[0,0,0,0,0]","[0,0,0,0,0]",8,"[0,0,0,0,0]",20,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",3.78,[],1,1,
5,3,2.4,3,0.3,"[0.8,1.2]",10,25,"[[1000,1],[0,0.8],[0,0.7]]","[0.5,1]",1,3,1,99,"[0,0,0,0,0]","[0,0,0,0,0]",10,"[0,0,0,0,0]",60,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]","[[5009,500]]","[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",4.08,[],1,1,
6,4,2.5,3,0.28,"[0.8,1.2]",10,25,"[[800,1],[200,0.7],[0,0.7]]","[0.5,1]",1,3,0.9,99,"[800,200,0,0,0]","[0,1000,0,0,0]",10,"[37,74,0,0,0]",60,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]","[[5016,500]]","[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",4.41,[],1,1,
7,5,2.6,3,0.28,"[0.8,1.2]",10,25,"[[800,1],[200,0.7],[0,0.7]]","[0.5,1]",1,3,0.9,99,"[800,200,0,0,0]","[0,1000,0,0,0]",10,"[38,76,0,0,0]",70,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]","[[5018,500]]","[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",4.76,[],1,1,
8,5,2.7,3,0.2,"[0.8,1.2]",10,25,"[[800,1],[200,0.7],[0,0.7]]","[0.8,1]",1,3,0.8,99,"[663,337,0,0,0]","[0,1000,0,0,0]",10,"[30,60,0,0,0]",70,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",5.14,[],1,1,
9,6,2.8,3,0.2,"[0.5,1.5]",10,25,"[[600,1],[400,0.6],[0,0.6]]","[0.8,1]",1,3,0.8,99,"[663,337,0,0,0]","[0,1000,0,0,0]",10,"[29,59,0,0,0]",80,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",5.55,[],1,1,
10,6,2.9,3,0.2,"[0.5,1.5]",10,25,"[[600,1],[400,0.6],[0,0.6]]","[0.8,1]",1,3,0.8,99,"[663,337,0,0,0]","[0,1000,0,0,0]",10,"[40,80,0,0,0]",90,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",6,[],1,1,
