id,type,star,upperlevel,upthepower,productNum,expNum,skillid,item,model,component,produceTimeReduce,workAnimType
1,101,1,5,0,0,0,"[1300,1350,1400]","[[81001,5]]",Adelina01,,0.02,0
2,101,2,7,6,3,1,,"[[81001,10]]",Adelina01_star1,body_parts_101_1,0.03,0
3,101,3,9,12,6,2,,"[[81001,15]]",Adelina01_star2,body_parts_101_2,0.04,0
4,101,4,10,18,9,3,,"[[81001,20]]",Adelina01_star3,body_parts_101_3,0.05,0
5,101,5,12,24,12,4,,"[[81001,25]]",Adelina01_star4,body_parts_101_4,0.06,0
6,101,6,0,30,15,5,[9],[],Adelina01_star5,body_parts_101_5,0.07,0
7,102,1,5,0,0,0,"[1300,1350,1400]","[[81002,5]]",princelouis01,,0.02,0
8,102,2,7,6,3,1,,"[[81002,10]]",princelouis01_star1,body_parts_102_1,0.03,0
9,102,3,9,12,6,2,,"[[81002,15]]",princelouis01_star2,body_parts_102_2,0.04,0
10,102,4,10,18,9,3,,"[[81002,20]]",princelouis01_star3,body_parts_102_3,0.05,0
11,102,5,12,24,12,4,,"[[81002,25]]",princelouis01_star4,body_parts_102_4,0.06,0
12,102,6,0,30,15,5,[9],[],princelouis01_star5,body_parts_102_5,0.07,0
13,103,1,5,0,0,0,"[1300,1350,1400]","[[81003,5]]",Doris01,,0.02,0
14,103,2,7,6,3,1,,"[[81003,10]]",Doris01_star1,body_parts_103_1,0.03,0
15,103,3,9,12,6,2,,"[[81003,15]]",Doris01_star2,body_parts_103_2,0.04,0
16,103,4,10,18,9,3,,"[[81003,20]]",Doris01_star3,body_parts_103_3,0.05,0
17,103,5,12,24,12,4,,"[[81003,25]]",Doris01_star4,body_parts_103_4,0.06,0
18,103,6,0,30,15,5,[9],[],Doris01_star5,body_parts_103_5,0.07,0
19,104,1,5,0,0,0,"[1300,1350,1400]","[[81004,5]]",Elina01,,0.02,0
20,104,2,7,6,3,1,,"[[81004,10]]",Elina01_star1,body_parts_104_1,0.03,0
21,104,3,9,12,6,2,,"[[81004,15]]",Elina01_star2,body_parts_104_2,0.04,0
22,104,4,10,18,9,3,,"[[81004,20]]",Elina01_star3,body_parts_104_3,0.05,0
