id,group,type,movement,plain
1,1,103,PartnerTalk1_103_1,1
2,1,102,PartnerTalk1_102_2,2
3,1,103,PartnerTalk1_103_3,3
4,1,102,PartnerTalk1_102_4,4
5,2,106,PartnerTalk2_106_1,1
6,2,105,PartnerTalk2_105_2,2
7,2,106,PartnerTalk2_106_3,3
8,2,105,PartnerTalk2_105_4,4
9,3,104,PartnerTalk3_104_1,1
10,3,101,PartnerTalk3_101_2,2
11,3,101,PartnerTalk3_101_3,3
12,3,104,PartnerTalk3_104_4,4
13,4,107,PartnerTalk4_107_1,1
14,4,107,PartnerTalk4_107_2,2
15,4,106,PartnerTalk4_106_3,3
16,5,111,PartnerTalk5_111_1,1
17,5,110,PartnerTalk5_110_2,2
18,5,111,PartnerTalk5_111_3,3
19,5,110,PartnerTalk5_110_4,4
20,5,111,PartnerTalk5_111_5,5
21,5,110,PartnerTalk5_110_6,6
22,6,106,PartnerTalk6_106_1,1
23,6,108,PartnerTalk6_108_2,2
24,7,111,PartnerTalk7_111_1,1
25,7,103,PartnerTalk7_103_2,2
26,7,111,PartnerTalk7_111_3,3
27,7,103,PartnerTalk7_103_4,4
28,8,108,PartnerTalk8_108_1,1
29,8,109,PartnerTalk8_109_2,2
30,8,108,PartnerTalk8_108_3,3
