id,group,unlockLevel,unlockCondition,conditionParam1,conditionParam2,payLabel,shopId,energyMethod,energyNum,eventTime,nextId,OrdinaryId,midId,bigId,
1,1,10,-1,,,[],26,"[100,20]",2000,1440,,,,,
2,1,10,-1,,,[],27,"[100,56]",5600,1440,,,,,
3,1,10,-1,,,[],28,"[100,120]",12000,1440,,,,,
4,1,10,-1,,,[],29,"[100,28.8]",2880,1440,,,,,
5,1,10,-1,,,[],30,"[100,36.5]",3650,1440,,,,,
6,1,10,-1,,,[],31,"[100,76]",7600,1440,,,,,
100,100,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,"[1,2]",36,"[100,5]",500,1440,101,,,,
101,100,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
102,100,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,"[3,4]",37,"[204,5]",1020,1440,103,,,,
103,100,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
104,100,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,"[5,6]",38,"[380,5]",1900,1440,105,,,,
105,100,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
106,100,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,[7],39,"[500,5]",2500,1440,107,,,,
107,100,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
200,200,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,"[1,2]",36,"[100,5]",500,1440,201,,,,
201,200,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
202,200,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,"[3,4]",37,"[204,5]",1020,1440,203,,,,
203,200,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
204,200,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,"[5,6]",38,"[380,5]",1900,1440,205,,,,
205,200,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
206,200,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,[7],39,"[500,5]",2500,1440,207,,,,
207,200,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
300,300,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,"[1,2]",36,"[100,5]",500,1440,301,,,,
301,300,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
302,300,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,"[3,4]",37,"[204,5]",1020,1440,303,,,,
303,300,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
304,300,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,"[5,6]",38,"[380,5]",1900,1440,305,,,,
305,300,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
306,300,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,[7],39,"[500,5]",2500,1440,307,,,,
307,300,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
400,400,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,"[1,2]",36,"[100,5]",500,1440,401,,,,
401,400,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
402,400,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,"[3,4]",37,"[204,5]",1020,1440,403,,,,
403,400,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
404,400,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,"[5,6]",38,"[380,5]",1900,1440,405,,,,
405,400,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
406,400,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,[7],39,"[500,5]",2500,1440,407,,,,
407,400,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
500,500,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,"[1,2]",36,"[100,5]",500,1440,501,,,,
501,500,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
502,500,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,"[3,4]",37,"[204,5]",1020,1440,503,,,,
503,500,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
504,500,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,"[5,6]",38,"[380,5]",1900,1440,505,,,,
505,500,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
506,500,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,[7],39,"[500,5]",2500,1440,507,,,,
507,500,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
600,600,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,"[1,2]",36,"[100,5]",500,1440,601,,,,
601,600,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
602,600,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,"[3,4]",37,"[204,5]",1020,1440,603,,,,
603,600,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
604,600,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,"[5,6]",38,"[380,5]",1900,1440,605,,,,
605,600,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
606,600,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,[7],39,"[500,5]",2500,1440,607,,,,
607,600,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
700,700,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,"[1,2]",36,"[100,5]",500,1440,701,,,,
701,700,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
702,700,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,"[3,4]",37,"[204,5]",1020,1440,703,,,,
703,700,10,-1,,,[],38,"[380,5]",2000,1440,,,,,
704,700,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,"[5,6]",38,"[380,5]",2000,1440,705,,,,
705,700,10,-1,,,[],39,"[500,5]",2600,1440,,,,,
706,700,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,[7],39,"[500,5]",2600,1440,707,,,,
707,700,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
801,800,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,"[1,2]",41,"[172,5]",860,1440,802,,,,
802,800,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
