id,attribute,partnerEnergy,difficultyRange,reward,nextID,obstacleModel1,obstacleDurability1,obstacle1Drop,obstacleModel2,obstacleDurability2,obstacle2Drop,obstacleModel3,obstacleDurability3,cumulativeRewards
1,1,15,"[12,14]","[[1003,20],[2006,5]]",2,2318MusicCampus_flower_12,4,"[1,1]",2318MusicCampus_flower_11,5,"[2,1]",PVE_cage1,6,[]
2,2,15,"[12,14]","[[1003,20],[2006,5]]",3,2323TurkeyLegend_tree_01,4,"[1,1]",2323TurkeyLegend_tree_02,5,"[2,1]",PVE_cage1,6,[]
3,3,15,"[12,14]","[[1003,20],[2006,5]]",4,30004_stone_08,4,"[1,1]",30004_stone_06,5,"[2,1]",PVE_cage1,6,[]
4,4,15,"[12,14]","[[1003,20],[2006,5]]",5,30002_stone_02,4,"[1,1]",30002_stone_03,5,"[2,1]",PVE_cage1,6,[]
5,-1,25,"[22,24]","[[1003,50],[2006,5]]",6,Village_mushroom_05,7,"[1,1]",Village_mushroom_10,8,"[2,1]",PVE_cage1,10,[]
6,1,20,"[16,19]","[[1003,25],[2006,8]]",7,Map01_grass_33,6,"[2,1]",Map01_grass_32,7,"[2,1]",PVE_cage1,7,[]
7,2,20,"[16,19]","[[1003,25],[2006,8]]",8,2323TurkeyLegend_tree_12,6,"[2,1]",Map17_tree_02,7,"[2,1]",PVE_cage1,7,[]
8,3,20,"[16,19]","[[1003,25],[2006,8]]",9,2322ThiefMagic_stone_03,6,"[2,1]",2322ThiefMagic_stone_05,7,"[2,1]",PVE_cage1,7,[]
9,4,20,"[16,19]","[[1003,25],[2006,8]]",10,cave_diamond_stone_01,6,"[2,1]",cave_diamond_stone_03,7,"[2,1]",PVE_cage1,7,[]
10,-1,40,"[34,39]","[[1003,60],[2006,8]]",11,Village_mushroom_05,12,"[3,1]",mission4richman_stinkymushroom1,14,"[3,1]",PVE_cage1,14,"[[1003,50],[2007,10],[1002,5000]]"
11,1,28,"[22,27]","[[1003,30],[2006,10]]",12,2318MusicCampus_flower_12,8,"[3,1]",2318MusicCampus_flower_11,9,"[3,1]",PVE_cage1,11,[]
12,2,28,"[22,27]","[[1003,30],[2006,10]]",13,2323TurkeyLegend_tree_01,8,"[3,1]",2323TurkeyLegend_tree_02,9,"[3,1]",PVE_cage1,11,[]
13,3,28,"[22,27]","[[1003,30],[2006,10]]",14,30004_stone_08,8,"[3,1]",30004_stone_06,9,"[3,1]",PVE_cage1,11,[]
14,4,28,"[22,27]","[[1003,30],[2006,10]]",15,30002_stone_02,8,"[3,1]",30002_stone_03,9,"[3,1]",PVE_cage1,11,[]
15,-1,50,"[44,49]","[[1003,70],[2006,10]]",16,Village_mushroom_05,15,"[3,1]",Village_mushroom_10,17,"[3,1]",PVE_cage1,18,[]
16,1,39,"[33,38]","[[1003,35],[2006,13]]",17,Map01_grass_33,11,"[3,1]",Map01_grass_32,13,"[3,1]",PVE_cage1,15,[]
17,2,39,"[33,38]","[[1003,35],[2006,13]]",18,2323TurkeyLegend_tree_12,11,"[3,1]",Map17_tree_02,13,"[3,1]",PVE_cage1,15,[]
18,3,39,"[33,38]","[[1003,35],[2006,13]]",19,2322ThiefMagic_stone_03,11,"[3,1]",2322ThiefMagic_stone_05,13,"[3,1]",PVE_cage1,15,[]
19,4,39,"[33,38]","[[1003,35],[2006,13]]",20,cave_diamond_stone_01,11,"[3,1]",cave_diamond_stone_03,13,"[3,1]",PVE_cage1,15,[]
20,-1,65,"[59,64]","[[1003,80],[2006,13]]",21,Village_mushroom_05,19,"[3,1]",mission4richman_stinkymushroom1,22,"[3,1]",PVE_cage1,24,"[[1003,50],[2007,10],[1002,5000]]"
21,1,53,"[47,52]","[[1003,40],[2006,15]]",22,2318MusicCampus_flower_12,15,"[3,1]",2318MusicCampus_flower_11,18,"[3,1]",PVE_cage1,20,[]
22,2,53,"[47,52]","[[1003,40],[2006,15]]",23,2323TurkeyLegend_tree_01,15,"[3,1]",2323TurkeyLegend_tree_02,18,"[3,1]",PVE_cage1,20,[]
23,3,53,"[47,52]","[[1003,40],[2006,15]]",24,30004_stone_08,15,"[3,1]",30004_stone_06,18,"[3,1]",PVE_cage1,20,[]
24,4,53,"[47,52]","[[1003,40],[2006,15]]",25,30002_stone_02,15,"[3,1]",30002_stone_03,18,"[3,1]",PVE_cage1,20,[]
25,-1,80,"[68,79]","[[1003,90],[2006,15]]",26,Village_mushroom_05,24,"[3,2]",Village_mushroom_10,28,"[3,2]",PVE_cage1,28,[]
26,1,70,"[58,69]","[[1003,45],[2006,20]]",27,Map01_grass_33,21,"[3,2]",Map01_grass_32,24,"[3,2]",PVE_cage1,25,[]
27,2,70,"[58,69]","[[1003,45],[2006,20]]",28,2323TurkeyLegend_tree_12,21,"[3,2]",Map17_tree_02,24,"[3,2]",PVE_cage1,25,[]
28,3,70,"[58,69]","[[1003,45],[2006,20]]",29,2322ThiefMagic_stone_03,21,"[3,2]",2322ThiefMagic_stone_05,24,"[3,2]",PVE_cage1,25,[]
29,4,70,"[58,69]","[[1003,45],[2006,20]]",30,cave_diamond_stone_01,21,"[3,2]",cave_diamond_stone_03,24,"[3,2]",PVE_cage1,25,[]
30,-1,100,"[88,99]","[[1003,100],[2006,20]]",31,Village_mushroom_05,30,"[3,2]",mission4richman_stinkymushroom1,35,"[3,2]",PVE_cage1,35,"[[1003,50],[2007,20],[1002,10000]]"
31,1,90,"[78,89]","[[1003,50],[2006,25]]",32,2318MusicCampus_flower_12,27,"[3,2]",2318MusicCampus_flower_11,31,"[3,2]",PVE_cage1,32,[]
32,2,90,"[78,89]","[[1003,50],[2006,25]]",33,2323TurkeyLegend_tree_01,27,"[3,2]",2323TurkeyLegend_tree_02,31,"[3,2]",PVE_cage1,32,[]
33,3,90,"[78,89]","[[1003,50],[2006,25]]",34,30004_stone_08,27,"[3,2]",30004_stone_06,31,"[3,2]",PVE_cage1,32,[]
34,4,90,"[78,89]","[[1003,50],[2006,25]]",35,30002_stone_02,27,"[3,2]",30002_stone_03,31,"[3,2]",PVE_cage1,32,[]
35,-1,120,"[108,119]","[[1003,110],[2006,25]]",36,Village_mushroom_05,36,"[3,2]",Village_mushroom_10,42,"[3,2]",PVE_cage1,42,[]
36,1,110,"[98,109]","[[1003,55],[2006,30]]",37,Map01_grass_33,33,"[3,2]",Map01_grass_32,38,"[3,2]",PVE_cage1,39,[]
37,2,110,"[98,109]","[[1003,55],[2006,30]]",38,2323TurkeyLegend_tree_12,33,"[3,2]",Map17_tree_02,38,"[3,2]",PVE_cage1,39,[]
38,3,110,"[98,109]","[[1003,55],[2006,30]]",39,2322ThiefMagic_stone_03,33,"[3,2]",2322ThiefMagic_stone_05,38,"[3,2]",PVE_cage1,39,[]
