id,triggerWay,sceneID,triggerWayParam,probability,dropModel,modelScale,timesLimit,eventType,eventParam,reward,buttonKey,rewardUIKey
301,1,3,70877,10000,event_red_fruit,0.4,1,3,[9201],"[[1003,20],[1003,20]]","[""event_button_eat"",""event_button_no_eat""]","[""event_eat_reward"",""event_no_eat_reward""]"
302,1,3,70969,10000,event_letter,0.4,1,4,[9301],"[[1002,300]]","[""event_button_look""]","[""event_letter1""]"
401,1,4,70143,10000,event_medal,0.4,1,1,"[9001,""event_102_1""]","[[1001,5]]","[""event_button_put_backpake""]","[""event_get_thanks_gift""]"
402,1,4,68530,10000,event_witheredbark,0.4,1,3,[9202],"[[20010,1],[1002,50]]","[""event_button_eat"",""event_button_no_eat""]","[""event_eat_reward1"",""event_no_eat_reward1""]"
403,1,4,30892,10000,event_bag,0.4,1,3,[9205],"[[1002,500]]","[""event_button_open""]","[""event_open_reward1""]"
404,1,4,69991,10000,event_bag,0.4,1,3,[9208],"[[1001,2]]","[""event_button_open""]","[""event_open_reward2""]"
501,1,5,96089,10000,event_yumao,0.4,1,1,"[9002,""event_101_1""]","[[1001,5]]","[""event_button_put_backpake""]","[""event_get_thanks_gift""]"
502,1,5,57550,10000,event_cowboyhat,0.3,1,2,[91003],[],"[""event_get_reward_button""]",[]
503,1,5,96097,10000,event_red_fruit,0.4,1,3,[9201],"[[20010,1],[1003,20]]","[""event_button_eat"",""event_button_no_eat""]","[""event_eat_reward"",""event_no_eat_reward""]"
504,1,5,82127,10000,event_angled,0.3,1,2,[91007],[],"[""event_get_reward_button""]",[]
601,1,6,77059,10000,event_necklace,0.4,1,1,"[9003,""event_103_1""]","[[1001,5]]","[""event_button_put_backpake""]","[""event_get_thanks_gift""]"
602,1,6,76281,5000,event_witheredbark,0.4,1,3,[9202],"[[1003,20],[1002,100]]","[""event_button_eat"",""event_button_no_eat""]","[""event_eat_reward1"",""event_no_eat_reward1""]"
603,1,6,76009,5000,event_witheredbark,0.4,1,3,[9202],"[[1003,20],[1002,100]]","[""event_button_eat"",""event_button_no_eat""]","[""event_eat_reward1"",""event_no_eat_reward1""]"
604,1,6,76004,5000,event_witheredbark,0.4,1,3,[9202],"[[1003,20],[1002,100]]","[""event_button_eat"",""event_button_no_eat""]","[""event_eat_reward1"",""event_no_eat_reward1""]"
605,1,6,76504,5000,event_witheredbark,0.4,1,3,[9202],"[[1003,20],[1002,100]]","[""event_button_eat"",""event_button_no_eat""]","[""event_eat_reward1"",""event_no_eat_reward1""]"
606,2,6,400,10000,event_bag,0.4,2,3,[9205],"[[1002,500]]","[""event_button_open""]","[""event_open_reward1""]"
607,2,6,500,10000,event_bag,0.4,1,3,[9208],"[[1001,2]]","[""event_button_open""]","[""event_open_reward2""]"
701,1,7,79300,10000,event_seed,0.4,1,1,"[9004,""event_104_1""]","[[1001,5]]","[""event_button_put_backpake""]","[""event_get_thanks_gift""]"
