id,progressKey,icon,missionType,taskParam,taskDesc
101,UI_star_progress_story,,36,"[""Mission1_12Lookingformultilace"",1]",UI_star_story
102,UI_star_progress_box,,34,"[9,30,1]",UI_star_box
103,UI_star_progress_merchant,,35,"[600101,1]",UI_star_trader
104,UI_star_progress_glowing_resource,,38,"[1,3,1]",UI_star_light_barrier
105,UI_star_progress_iron,,34,"[4,1,1]",UI_star_iron
201,UI_star_progress_story,,36,"[""Mission2_13activatemagictree"",2]",UI_star_story
202,UI_star_progress_box,,34,"[9,40,2]",UI_star_box
203,UI_star_progress_merchant,,35,"[600201,2]",UI_star_trader
204,UI_star_progress_glowing_resource,,38,"[1,3,2]",UI_star_light_barrier
205,UI_star_progress_iron,,34,"[4,4,2]",UI_star_iron
301,UI_star_progress_story,,36,"[""Mission3_011FindExport"",3]",UI_star_story
302,UI_star_progress_box,,34,"[9,48,3]",UI_star_box
303,UI_star_progress_merchant,,35,"[600301,3]",UI_star_trader
304,UI_star_progress_glowing_resource,,38,"[1,3,3]",UI_star_light_barrier
305,UI_star_progress_iron,,34,"[4,4,3]",UI_star_iron
401,UI_star_progress_story,,36,"[""Mission4_012ReadyToGo"",4]",UI_star_story
402,UI_star_progress_box,,34,"[9,51,4]",UI_star_box
403,UI_star_progress_merchant,,35,"[600401,4]",UI_star_trader
404,UI_star_progress_glowing_resource,,38,"[1,6,4]",UI_star_light_barrier
405,UI_star_progress_iron,,34,"[4,4,4]",UI_star_iron
40001,UI_star_progress_story,,36,"[""Mission4richman_009journeyend"",""4richman""]",UI_star_story
40002,UI_star_progress_box,,34,"[9,20,""4richman""]",UI_star_box
40003,UI_star_progress_merchant,,35,"[600402,""4richman""]",UI_star_trader
40004,UI_star_progress_glowing_resource,,38,"[1,6,""4richman""]",UI_star_light_barrier
40005,UI_star_progress_iron,,34,"[4,3,""4richman""]",UI_star_iron
501,UI_star_progress_story,,36,"[""Mission5_015UsetheMoon"",5]",UI_star_story
502,UI_star_progress_box,,34,"[9,42,5]",UI_star_box
503,UI_star_progress_merchant,,35,"[600501,5]",UI_star_trader
504,UI_star_progress_glowing_resource,,38,"[1,8,5]",UI_star_light_barrier
505,UI_star_progress_iron,,34,"[4,4,5]",UI_star_iron
601,UI_star_progress_story,,36,"[""Mission6_016Activateexitb"",6]",UI_star_story
602,UI_star_progress_box,,34,"[9,30,6]",UI_star_box
603,UI_star_progress_merchant,,35,"[600601,6]",UI_star_trader
604,UI_star_progress_glowing_resource,,38,"[1,10,6]",UI_star_light_barrier
605,UI_star_progress_iron,,34,"[4,4,6]",UI_star_iron
701,UI_star_progress_story,,36,"[""Mission7_013Entrance"",7]",UI_star_story
702,UI_star_progress_box,,34,"[9,30,7]",UI_star_box
703,UI_star_progress_merchant,,35,"[600701,7]",UI_star_trader
704,UI_star_progress_glowing_resource,,38,"[1,12,7]",UI_star_light_barrier
705,UI_star_progress_iron,,34,"[4,4,7]",UI_star_iron
801,UI_star_progress_story,,36,"[""Mission8_011backintime"",8]",UI_star_story
802,UI_star_progress_box,,34,"[9,30,8]",UI_star_box
803,UI_star_progress_merchant,,35,"[600801,8]",UI_star_trader
804,UI_star_progress_glowing_resource,,38,"[1,15,8]",UI_star_light_barrier
805,UI_star_progress_iron,,34,"[4,4,8]",UI_star_iron
901,UI_star_progress_story,,36,"[""Mission9_014BackFuture"",9]",UI_star_story
902,UI_star_progress_box,,34,"[9,34,9]",UI_star_box
903,UI_star_progress_merchant,,35,"[600901,9]",UI_star_trader
904,UI_star_progress_glowing_resource,,38,"[1,15,9]",UI_star_light_barrier
905,UI_star_progress_iron,,34,"[4,4,9]",UI_star_iron
1001,UI_star_progress_story,,36,"[""Mission10_014clockgame"",10]",UI_star_story
1002,UI_star_progress_box,,34,"[9,35,10]",UI_star_box
