id,nameStr,type,icon,unlockCondition,param,times,bornPosition,lastScene,chapter,giftPos,accomplishStar1,star1ward,accomplishStar2,star2ward,accomplishStar3,star3ward,timeLimited,timeLimitedReward,backSceneItem,commissionID,activityLink,completeReward,whetherRecordPos,activityIcon,boxGiftBg,completeskinReward,desc,taskButtonIcon,lastTask,sceneCamera_ios,sceneCamera_android,graphId,isRedEnergy
city,ui_scene_city,0,ui_map_home,0,0,-1,"[8.468,0,-10.667]",,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,"[1.8,16.5]",,,
1,ui_scene_1,1,ui_map_icon01,1,Missioncity_014magiccircle1,-1,"[25.51,0,-12.09]",,1,[],[101],"[[16000,5]]","[102,103]","[[1003,30]]",[105],"[[1002,300]]",12,"[[11001,1],[1001,3],[1003,30]]","[1002,100]",1,,[],1,,,,,,,,,,
2,ui_scene_2,1,ui_map_icon02,10,"[""Mission1_12Lookingformultilace"",6]",-1,"[10.60,0,5.10]",1,1,[],[201],"[[16000,5]]","[202,203]","[[1003,30]]","[204,205]","[[1002,300]]",24,"[[11001,1],[1001,5],[1003,30]]","[1002,100]",2,,[],1,,,,,,,,,,
3,ui_scene_3,1,ui_map_icon03,10,"[""Mission2_13activatemagictree"",7]",-1,"[28.025,0,8.734]",2,1,[],[301],"[[16000,5]]","[302,303]","[[1003,30]]","[304,305]","[[1002,500]]",36,"[[11001,1],[1001,5],[1003,50]]","[1002,100]",3,,[],1,,,,,,,,,,
4,ui_scene_4,1,ui_map_icon04,10,"[""Mission3_011FindExport"",9]",-1,"[5.03,0,-5.21]",3,1,[],[401],"[[16000,5]]","[402,403]","[[1003,30]]","[404,405]","[[11001,1]]",48,"[[11001,1],[1001,5],[1003,50]]","[1002,100]",4,,"[[6200,2]]",1,,,,,,,,,,
4richman,ui_scene_4richman,23,ui_map_icon4richman,10,"[""Mission4_012ReadyToGo"",10]",-1,"[20.757,0,-6.066]",4,1,[],[40001],"[[16000,5]]","[40002,40003]","[[1003,50]]","[40004,40005]","[[1002,300]]",48,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",4richman,,"[[6200,2]]",1,,,,,,,,,,
5,ui_scene_5,1,ui_map_icon05,10,"[""Mission4richman_009journeyend"",11]",-1,"[2.202,0,-2.471]",4richman,1,[],[501],"[[16000,5]]","[502,503]","[[1003,50]]","[504,505]","[[11001,1]]",48,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",5,,"[[6200,2]]",1,,,"[[100001,1]]",,,,,,,
6,ui_scene_6,1,ui_map_icon06,10,"[""Mission5_015UsetheMoon"",12]",-1,"[5.937698,0,-15.73323]",5,2,[],[601],"[[16000,5]]","[602,603]","[[1003,50]]","[604,605]","[[11001,1],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",6,,"[[6200,2]]",1,,,,,,,,,,
7,ui_scene_7,1,ui_map_icon07,10,"[""Mission6_016Activateexitb"",13]",-1,"[-15.56,0,-3.58]",6,2,[],[701],"[[16000,5]]","[702,703]","[[1003,50]]","[704,705]","[[11001,1],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",7,,"[[6200,2]]",1,,,,,,,,,,
8,ui_scene_8,1,ui_map_icon08,10,"[""Mission7_013Entrance"",14]",-1,"[38.6,0,-6.46]",7,2,[],[801],"[[16000,5]]","[802,803]","[[1003,50]]","[804,805]","[[11001,1],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",8,,"[[6200,2]]",1,,,,,,,,,,
