id,Type,templateID,group1,group2,group3,group4,group5,group6,group7,group8,group9,tag1,tag2,tag3,tag4,tag5,tag6,tag7,
10,1,0,"[1,2,3,4,5,6,7,8,9,10,101,102]","[1,2,3,4,5,6,7,8,9,10,101,102]","[100,2,3,4,5,6,7,8,9,10,101,102]","[1,2,3,4,5,6,7,8,9,10,101,102]","[1,2,3,4,5,6,7,8,9,10,101,102]","[100,2,3,4,5,6,7,8,9,10,101,102]","[100,2,3,4,5,6,7,8,9,10,101,102]","[100,2,3,4,5,6,7,8,9,10,101,102]","[100,2,3,4,5,6,7,8,9,10,101,102]",[],[],[],[],[],[],[],
11,5,0,"[1,2,3,4,7,9]","[1,2,3,4,7,9]","[100,2,3,4,8,10]","[1,2,3,4,7,9]","[1,2,3,4,7,9]","[100,2,3,4,8,10]","[100,2,3,4,9,102]","[100,2,3,4,8,10]","[100,2,3,4,9,102]",[],[],[],[],[],[],[],
12,3,1,"[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]","[1001,1002,1003,1004,1005,1006,3001,3002,3003,3004]",[],[],[],[],[],[],[],
13,3,1,"[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]","[1001,1002,1003,1004,3001,3002]",[],[],[],[],[],[],[],
20,2,0,[110],[110],[110],[110],[110],[110],[110],[110],[110],[],[],[],[],[],[],[],
30,4,1,"[2001,2002,2003]","[2001,2002,2003]","[2002,2003,2004]","[2001,2002,2003]","[2001,2002,2003]","[2002,2003,2004]","[2002,2003,2004]","[2002,2003,2004]","[2002,2003,2004]",[],[],[],[],[],[],[],
31,6,0,"[331,332,333]","[331,332,333]","[311,312,313]","[331,332,333]","[331,332,333]","[321,322,323]","[311,312,313]","[331,332,333]","[311,312,313]",[],[],[],[],[],[],[],
32,6,0,"[331,332,333]","[331,332,333]","[321,322,323]","[331,332,333]","[331,332,333]","[331,332,333]","[321,322,323]","[331,332,333]","[321,322,323]",[],[],[],[],[],[],[],
33,6,0,"[334,335,336]","[334,335,336]","[334,335,336]","[334,335,336]","[334,335,336]","[334,335,336]","[334,335,336]","[334,335,336]","[334,335,336]",[],[],[],[],[],[],[],
40,7,0,[471],[471],[471],[471],[471],[472],[472],[471],[472],[],[],[],[],[],[],[],
50,8,0,[],[],[],[],[],[],[],[],[],"[701,702,703]","[701,702,703]","[701,702,703]","[704,705,706,707]","[704,705,706,707]","[704,705,706,707]","[704,705,706,707]",
51,4,1,"[2005,2006,2007]","[2005,2006,2007]","[2006,2007,2008]","[2005,2006,2007]","[2005,2006,2007]","[2006,2007,2008]","[2006,2007,2008]","[2006,2007,2008]","[2006,2007,2008]",[],[],[],[],[],[],[],
60,9,4,"[1,2,3,4,5,6]","[1,2,3,4,5,6]","[1,2,3,4,5,6]","[1,2,3,4,5,6]","[21,22,23,24,25,26]","[21,22,23,24,25,26]","[21,22,23,24,25,26]","[1,2,3,4,5,6]","[21,22,23,24,25,26]",[],[],[],[],[],[],[],
61,9,4,"[11,12,13,14,15,16]","[11,12,13,14,15,16]","[11,12,13,14,15,16]","[11,12,13,14,15,16]","[31,32,33,34,35,36]","[31,32,33,34,35,36]","[31,32,33,34,35,36]","[11,12,13,14,15,16]","[31,32,33,34,35,36]",[],[],[],[],[],[],[],
62,9,4,[],[],[],[],[],[],[],[],[],"[100,101,102,103,104,105]","[100,101,102,103,104,105]","[100,101,102,103,104,105]","[200,201,202,203,204,205]","[200,201,202,203,204,205]","[300,301,302,303,304,305]","[300,301,302,303,304,305]",
2000,2,3,[2005],[2005],[2005],[2005],[2006],[2007],[2007],[2005],[2006],[],[],[],[],[],[],[],
2001,2,3,[2015],[2015],[2015],[2015],[2016],[2017],[2017],[2015],[2016],[],[],[],[],[],[],[],
2002,2,3,[2025],[2025],[2025],[2025],[2026],[2027],[2027],[2025],[2026],[],[],[],[],[],[],[],
2003,2,3,[2035],[2035],[2035],[2035],[2036],[2037],[2037],[2035],[2036],[],[],[],[],[],[],[],
