id,googleId,iosId,price,
1,fairyscapes.shop1,fairyscapes.shop1,0.99,
2,fairyscapes.shop2,fairyscapes.shop2,1.99,
3,fairyscapes.shop3,fairyscapes.shop3,2.99,
4,fairyscapes.shop4,fairyscapes.shop4,3.99,
5,fairyscapes.shop5,fairyscapes.shop5,4.99,
6,fairyscapes.shop6,fairyscapes.shop6,5.99,
7,fairyscapes.shop7,fairyscapes.shop7,6.99,
8,fairyscapes.shop8,fairyscapes.shop8,7.99,
9,fairyscapes.shop9,fairyscapes.shop9,8.99,
10,fairyscapes.shop10,fairyscapes.shop10,9.99,
11,fairyscapes.shop11,fairyscapes.shop11,10.99,
12,fairyscapes.shop12,fairyscapes.shop12,11.99,
13,fairyscapes.shop13,fairyscapes.shop13,12.99,
14,fairyscapes.shop14,fairyscapes.shop14,13.99,
15,fairyscapes.shop15,fairyscapes.shop15,14.99,
16,fairyscapes.shop16,fairyscapes.shop16,15.99,
17,fairyscapes.shop17,fairyscapes.shop17,16.99,
18,fairyscapes.shop18,fairyscapes.shop18,17.99,
19,fairyscapes.shop19,fairyscapes.shop19,18.99,
20,fairyscapes.shop20,fairyscapes.shop20,19.99,
21,fairyscapes.shop21,fairyscapes.shop21,20.99,
29,fairyscapes.shop29,fairyscapes.shop29,29.99,
39,fairyscapes.shop39,fairyscapes.shop39,39.99,
49,fairyscapes.shop49,fairyscapes.shop49,49.99,
59,fairyscapes.shop59,fairyscapes.shop59,59.99,
