id,level,smallBpId,exp,icon,normalType,normalReward,vipType,vipReward,title,desc,specialReward,stageReward
100,0,1,10,,0,[],0,[],,,0,0
101,1,1,20,,0,"[34001,10]",0,"[34001,20]",,,1,1
102,2,1,20,,0,"[16000,5]",0,"[16000,10]",,,0,0
103,3,1,40,,0,"[42000,5]",0,"[42000,10]",,,0,0
104,4,1,40,,0,"[34001,20]",0,"[34001,40]",,,1,1
105,5,1,60,,0,"[22000,5]",0,"[22000,10]",,,0,0
106,6,1,60,,0,"[30000,3]",0,"[30000,6]",,,0,0
107,7,1,80,,0,"[2100,3]",0,"[2100,6]",,,0,0
108,8,1,80,,0,"[25000,2]",0,"[25000,4]",,,0,0
109,9,1,100,,0,"[11001,1]",0,"[11001,2]",,,0,0
110,10,1,-1,,0,"[34001,30]",0,"[34001,60]",,,1,1
200,0,2,10,,0,[],0,[],,,0,0
201,1,2,20,,0,"[34002,10]",0,"[34002,20]",,,1,1
202,2,2,20,,0,"[16000,5]",0,"[16000,10]",,,0,0
203,3,2,40,,0,"[42000,5]",0,"[42000,10]",,,0,0
204,4,2,40,,0,"[34002,20]",0,"[34002,40]",,,1,1
205,5,2,60,,0,"[22000,5]",0,"[22000,10]",,,0,0
206,6,2,60,,0,"[30000,3]",0,"[30000,6]",,,0,0
207,7,2,80,,0,"[2100,3]",0,"[2100,6]",,,0,0
208,8,2,80,,0,"[25000,2]",0,"[25000,4]",,,0,0
209,9,2,100,,0,"[11001,1]",0,"[11001,2]",,,0,0
210,10,2,-1,,0,"[34002,30]",0,"[34002,60]",,,1,1
300,0,3,10,,0,[],0,[],,,0,0
301,1,3,20,,0,"[34003,10]",0,"[34003,20]",,,1,1
302,2,3,20,,0,"[16000,5]",0,"[16000,10]",,,0,0
303,3,3,40,,0,"[42000,5]",0,"[42000,10]",,,0,0
304,4,3,40,,0,"[34003,20]",0,"[34003,40]",,,1,1
305,5,3,60,,0,"[22000,5]",0,"[22000,10]",,,0,0
306,6,3,60,,0,"[30000,3]",0,"[30000,6]",,,0,0
307,7,3,80,,0,"[2100,3]",0,"[2100,6]",,,0,0
308,8,3,80,,0,"[25000,2]",0,"[25000,4]",,,0,0
309,9,3,100,,0,"[11001,1]",0,"[11001,2]",,,0,0
310,10,3,-1,,0,"[34003,30]",0,"[34003,60]",,,1,1
400,0,4,10,,0,[],0,[],,,0,0
401,1,4,20,,0,"[34004,10]",0,"[34004,20]",,,1,1
402,2,4,20,,0,"[16000,5]",0,"[16000,10]",,,0,0
403,3,4,40,,0,"[42000,5]",0,"[42000,10]",,,0,0
404,4,4,40,,0,"[34004,20]",0,"[34004,40]",,,1,1
405,5,4,60,,0,"[22000,5]",0,"[22000,10]",,,0,0
406,6,4,60,,0,"[30000,3]",0,"[30000,6]",,,0,0
407,7,4,80,,0,"[2100,3]",0,"[2100,6]",,,0,0
408,8,4,80,,0,"[25000,2]",0,"[25000,4]",,,0,0
409,9,4,100,,0,"[11001,1]",0,"[11001,2]",,,0,0
410,10,4,-1,,0,"[34004,30]",0,"[34004,60]",,,1,1
500,0,5,10,,0,[],0,[],,,0,0
501,1,5,20,,0,"[34005,10]",0,"[34005,20]",,,1,1
502,2,5,20,,0,"[16000,5]",0,"[16000,10]",,,0,0
503,3,5,40,,0,"[42000,5]",0,"[42000,10]",,,0,0
504,4,5,40,,0,"[34005,20]",0,"[34005,40]",,,1,1
505,5,5,60,,0,"[22000,5]",0,"[22000,10]",,,0,0
506,6,5,60,,0,"[30000,3]",0,"[30000,6]",,,0,0
507,7,5,80,,0,"[2100,3]",0,"[2100,6]",,,0,0
508,8,5,80,,0,"[25000,2]",0,"[25000,4]",,,0,0
509,9,5,100,,0,"[11001,1]",0,"[11001,2]",,,0,0
510,10,5,-1,,0,"[34005,30]",0,"[34005,60]",,,1,1
