id,icon,MissionType,taskNeed,reward,slot,unlockLevel,unlockTask,key,smallBpId
1101,common/task_costenergy,22,100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1102,common/task_costenergy,22,200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1103,common/task_costenergy,22,300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1104,common/task_costenergy,22,400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1105,common/task_costenergy,22,500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1106,common/task_costenergy,22,600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1107,common/task_costenergy,22,700,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1108,common/task_costenergy,22,800,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1109,common/task_costenergy,22,900,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1110,common/task_costenergy,22,1000,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1111,common/task_costenergy,22,1100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1112,common/task_costenergy,22,1200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1113,common/task_costenergy,22,1300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1114,common/task_costenergy,22,1400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1115,common/task_costenergy,22,1500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1116,common/task_costenergy,22,1600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,1
1201,common/Description_001FindOrderboard_sub2,3,3,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1202,common/Description_001FindOrderboard_sub2,3,6,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1203,common/Description_001FindOrderboard_sub2,3,9,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1204,common/Description_001FindOrderboard_sub2,3,12,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1205,common/Description_001FindOrderboard_sub2,3,15,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1206,common/Description_001FindOrderboard_sub2,3,18,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1207,common/Description_001FindOrderboard_sub2,3,21,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1208,common/Description_001FindOrderboard_sub2,3,24,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1209,common/Description_001FindOrderboard_sub2,3,27,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1210,common/Description_001FindOrderboard_sub2,3,30,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,1
1301,common/smallBp_dragonItem,59,10,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
1302,common/smallBp_dragonItem,59,30,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
