id,name,icon,description,sceneid,pathTipId,cleared,collectrewards,dragonWatiDrama,taskunlock,levelmax,CleanOnDramaBegin,DramaControl,CollectInDrama,CleanOnDramaOver,bubbleType,bubbleImg,RepairableTips,MutiArrow,repairingspine,levelspine,levelitem1,rewarditem1,levelitem2,rewarditem2,levelitem3,rewarditem3,levelitem4,rewarditem4,levelitem5,rewarditem5,levelitem6,rewarditem6,levelitem7,rewarditem7,levelitem8,rewarditem8,levelitem9,rewarditem9,levelitem10,rewarditem10,levelitem11,rewarditem11,levelitem12,rewarditem12,repairableTipsUnlock,moveCamera,ispaylabel,
1,mission1_factory_staminapot,mission1_factory_staminapot,mission1_factory_staminapot_des,1,,0,[],,Mission1_01Becarefulmove,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
2,mission1_building_palacegate,building_event4_dancedoor,mission1_building_palacegate_des,1,,0,[],,Mission1_07Whereistheprince,2,,[],1,,0,,1,1,['repairing'],['repaired'],"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
3,mission1_building_bodyguardleft,mission1_building_bodyguard,mission1_building_bodyguardleft_des,1,,0,[],,Mission1_03Keepgoing,2,,[],0,,15,,1,1,['repairing1'],['repaired1'],"[[4103,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
4,mission1_building_bodyguardright,mission1_building_bodyguard,mission1_building_bodyguardright_des,1,,0,[],,Mission1_03Keepgoing,2,,[],0,,15,,1,1,['repairing1'],['repaired1'],"[[4103,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
5,mission1_building_highwaytotem,mission1_building_bodyguard,mission1_building_highwaytotem_des,1,,0,[],,,2,,[],0,,0,,1,1,['repairing'],['repaired'],"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
6,mission1_building_cinderella,mission1_building_cinderella,mission1_building_cinderella_des,1,,0,[],,Mission1_08Enterthecastle,2,,[],0,,15,,1,1,['repairing1'],['repaired1'],"[[4104,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
7,mission1_building_cinderellaroomdoor,building_event4_sideyarddoor,mission1_building_cinderellaroomdoor_des,1,,0,[],,Mission1_10ObserveCinderella2,2,,[],0,,0,,1,1,['repairing3'],['repaired2'],"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
8,mission1_building_dorisroomdoor,building_event4_sideyarddoor,mission1_building_dorisroomdoor_des,1,,0,[],,Mission1_11Discoversecrets,2,,[],0,,0,,1,1,['repairing1'],['repaired2'],"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
9,mission1_building_hidingcurtain,mission1_building_hidingcurtain,mission1_building_hidingcurtain_des,1,,0,[],,Mission1_10ObserveCinderella3,2,,[1],0,,0,,1,1,['repairing1'],['ruined'],"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
10,mission1_building_teleportationcircle,mission1_building_teleportationcircle,mission1_building_teleportationcircle_des,1,,0,[],,Mission1_11Discoversecrets,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
