id,type,bubbleType,title,monsterHp,hpIcon,turntableAttackWeight,turntableEnergy,turntableEnergyID,monsterReward,controlGridCircle,outAnimation,randomAnimation,randomTips,finalModel
700101,1,0,ui_turntable_title,100,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],1,,,,
700201,1,0,ui_turntable_title,100,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],1,,,,
700202,1,0,ui_turntable_title,200,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",20,1003,[],1,,,,
700301,1,0,ui_turntable_title,100,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],1,,,,
700302,1,0,ui_turntable_title,200,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",20,1003,[],1,,,,
700303,1,0,ui_turntable_title,300,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",30,1003,[],1,,,,
112,2,1,ui_interactive_title,100,,"[[1,25,1000],[2,25,0],[3,25,0],[4,25,0],[5,25,0],[6,25,0]]",1,4161,[],2,,"['surprise','blackdragon_relax','blackdragon_happy2','blackdragon_happy1']","['ui_interactive_tips1','ui_interactive_tips2','ui_interactive_tips3']",stroknino_building_mission2
169,1,1,ui_turntable_title,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",15,1003,[],2,,,,
218,1,1,ui_turntable_title,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,,,,
224,1,2,ui_map7_monster_stoneagency,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",100,1002,[],2,['repairing'],,,
227,1,2,ui_map7_monster_vineagency,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",100,1002,[],2,['repairing'],,,
231,1,2,ui_map7_monster_fireagency,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
275,1,1,ui_turntable_title,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,,,,
303,1,1,ui_turntable_title,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,,,,
354,1,2,ui_map10_monster_fire1,100,ui_turn_icon,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],0,['dissolve'],,,
355,1,2,ui_map10_monster_fire2,100,ui_turn_icon,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],0,['dissolve'],,,
356,1,2,ui_map10_monster_fire3,100,ui_turn_icon,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],0,['dissolve'],,,
