id,sceneID,missionType,taskParam,reward,nextID,
1,21Christmas,28,"[""21Christmas""]",5,,
2,21Christmas,31,"[463,1]",10,,
3,21Christmas,1,"[103937,60]",20,,
4,21Christmas,31,"[461,10]",30,,
5,21Christmas,31,"[37,10]",30,,
6,21Christmas,31,"[467,1]",10,,
7,21Christmas,2,"[4220,1000]",30,,
8,21Christmas,32,[1],15,,
100,20220214,28,"[""20220214""]",5,,
101,20220214,31,"[520,10]",35,,
102,20220214,37,[20],20,,
103,20220214,31,"[512,4]",15,,
104,20220214,31,"[513,4]",15,,
105,20220214,31,"[514,4]",15,,
106,20220214,31,"[515,4]",15,,
107,20220214,1,"[104125,100]",30,,
201,22AdvIsland,28,"[""22AdvIsland""]",5,,
202,22AdvIsland,31,"[680,1]",10,,
203,22AdvIsland,31,"[670,10]",30,,
204,22AdvIsland,2,"[4241,10]",30,,
205,22AdvIsland,2,"[4242,10]",30,,
206,22AdvIsland,31,"[686,5]",10,,
207,22AdvIsland,2,"[4243,1000]",20,,
208,22AdvIsland,32,[1],15,,
301,2204CallGodBall,28,"[""2204CallGodBall""]",10,,
302,2204CallGodBall,31,"[800,1]",10,,
303,2204CallGodBall,31,"[819,1]",10,,
304,2204CallGodBall,31,"[819,3]",20,,
305,2204CallGodBall,31,"[819,6]",30,,
306,2204CallGodBall,37,[1],10,,
307,2204CallGodBall,37,[20],30,,
308,2204CallGodBall,31,"[826,1]",10,,
309,2204CallGodBall,31,"[826,3]",30,,
310,2204CallGodBall,31,"[830,1]",10,,
311,2204CallGodBall,31,"[830,2]",20,,
312,2204CallGodBall,31,"[830,3]",30,,
313,2204CallGodBall,2,"[4321,10]",30,,
314,2204CallGodBall,2,"[4323,10]",30,,
315,2204CallGodBall,31,"[847,1]",10,,
316,2204CallGodBall,31,"[847,4]",20,,
317,2204CallGodBall,31,"[847,8]",30,,
318,2204CallGodBall,2,"[27541,3]",50,,
319,2204CallGodBall,31,"[859,1]",10,,
320,2204CallGodBall,31,"[859,3]",30,,
321,2204CallGodBall,31,"[862,1]",20,,
322,2204CallGodBall,31,"[862,3]",30,,
323,2204CallGodBall,31,"[839,1]",20,,
324,2204CallGodBall,31,"[839,2]",20,,
325,2204CallGodBall,31,"[839,3]",30,,
401,2205DragonMuseum,28,"[""2205DragonMuseum""]",10,,
402,2205DragonMuseum,31,"[900,1]",20,,
403,2205DragonMuseum,31,"[910,1]",10,,
404,2205DragonMuseum,31,"[910,3]",20,,
405,2205DragonMuseum,31,"[910,5]",30,,
406,2205DragonMuseum,31,"[910,10]",70,,
407,2205DragonMuseum,37,[1],10,,
408,2205DragonMuseum,37,[20],30,,
409,2205DragonMuseum,31,"[926,1]",20,,
410,2205DragonMuseum,31,"[927,1]",20,,
411,2205DragonMuseum,2,"[4367,5]",10,,
412,2205DragonMuseum,2,"[4367,20]",30,,
413,2205DragonMuseum,31,"[928,1]",30,,
414,2205DragonMuseum,31,"[928,2]",30,,
415,2205DragonMuseum,31,"[938,1]",10,,
416,2205DragonMuseum,31,"[938,4]",20,,
417,2205DragonMuseum,31,"[938,8]",30,,
418,2205DragonMuseum,31,"[944,1]",10,,
419,2205DragonMuseum,31,"[944,3]",40,,
420,2205DragonMuseum,31,"[947,1]",10,,
421,2205DragonMuseum,31,"[947,3]",30,,
422,2205DragonMuseum,31,"[953,1]",10,,
423,2205DragonMuseum,31,"[953,3]",20,,
424,2205DragonMuseum,31,"[953,5]",30,,
501,2206SeaCarnival,28,"[""2206SeaCarnival""]",10,,
502,2206SeaCarnival,31,"[1106,1]",10,,
503,2206SeaCarnival,31,"[1106,5]",30,,
504,2206SeaCarnival,31,"[1106,10]",70,,
505,2206SeaCarnival,31,"[1098,1]",10,,
506,2206SeaCarnival,31,"[1098,4]",30,,
507,2206SeaCarnival,31,"[1116,1]",10,,
508,2206SeaCarnival,31,"[1116,3]",20,,
509,2206SeaCarnival,31,"[1116,5]",40,,
510,2206SeaCarnival,31,"[1085,1]",10,,
511,2206SeaCarnival,31,"[1085,4]",40,,
512,2206SeaCarnival,31,"[1074,1]",10,,
513,2206SeaCarnival,31,"[1074,4]",40,,
514,2206SeaCarnival,31,"[1090,1]",20,,
515,2206SeaCarnival,31,"[1091,1]",10,,
516,2206SeaCarnival,31,"[1091,2]",30,,
517,2206SeaCarnival,31,"[1078,1]",40,,
518,2206SeaCarnival,11,"[4430,10]",30,,
519,2206SeaCarnival,2,"[4436,10]",10,,
520,2206SeaCarnival,2,"[4436,40]",30,,
521,2206SeaCarnival,37,[1],10,,
522,2206SeaCarnival,37,[20],40,,
601,2207SakuraManor,28,"[""2207SakuraManor""]",10,,
602,2207SakuraManor,31,"[1183,1]",10,,
603,2207SakuraManor,31,"[1183,5]",30,,
604,2207SakuraManor,31,"[1183,10]",70,,
605,2207SakuraManor,31,"[1193,1]",10,,
606,2207SakuraManor,31,"[1193,3]",30,,
607,2207SakuraManor,31,"[1193,6]",50,,
608,2207SakuraManor,31,"[1163,1]",20,,
609,2207SakuraManor,31,"[1167,1]",20,,
610,2207SakuraManor,37,[1],10,,
611,2207SakuraManor,37,[30],30,,
612,2207SakuraManor,31,"[1170,1]",20,,
613,2207SakuraManor,2,"[4465,10]",20,,
614,2207SakuraManor,2,"[4469,10]",20,,
615,2207SakuraManor,2,"[4469,30]",40,,
616,2207SakuraManor,31,"[1171,2]",40,,
617,2207SakuraManor,2,"[27208,1]",30,,
618,2207SakuraManor,31,"[1199,1]",10,,
619,2207SakuraManor,31,"[1199,3]",20,,
620,2207SakuraManor,31,"[1199,5]",40,,
621,2207SakuraManor,31,"[1181,1]",20,,
701,2208DesertPark,28,"[""2208DesertPark""]",10,,
702,2208DesertPark,31,"[1390,1]",20,,
703,2208DesertPark,31,"[1391,1]",20,,
704,2208DesertPark,31,"[1394,1]",10,,
705,2208DesertPark,31,"[1394,4]",50,,
706,2208DesertPark,31,"[1401,1]",10,,
707,2208DesertPark,31,"[1401,3]",30,,
708,2208DesertPark,31,"[1401,6]",70,,
709,2208DesertPark,37,[1],10,,
710,2208DesertPark,37,[30],30,,
711,2208DesertPark,2,"[4550,10]",20,,
712,2208DesertPark,2,"[4550,30]",40,,
713,2208DesertPark,31,"[1409,1]",10,,
714,2208DesertPark,31,"[1409,3]",40,,
715,2208DesertPark,31,"[1412,1]",30,,
716,2208DesertPark,31,"[1413,1]",30,,
717,2208DesertPark,31,"[1415,1]",40,,
718,2208DesertPark,7,"[27314,1]",20,,
719,2208DesertPark,7,"[27317,1]",20,,
720,2208DesertPark,7,"[27315,1]",20,,
721,2208DesertPark,7,"[27316,1]",20,,
801,2209GhostMansion,28,"[""2209GhostMansion""]",10,,
802,2209GhostMansion,31,"[1503,2]",20,,
803,2209GhostMansion,31,"[1514,1]",20,,
804,2209GhostMansion,31,"[1520,1]",10,,
805,2209GhostMansion,31,"[1520,3]",30,,
806,2209GhostMansion,31,"[1520,5]",50,,
807,2209GhostMansion,2,"[93011,1]",10,,
808,2209GhostMansion,2,"[93011,3]",30,,
809,2209GhostMansion,37,[1],10,,
810,2209GhostMansion,37,[30],40,,
811,2209GhostMansion,31,"[1564,1]",10,,
812,2209GhostMansion,31,"[1564,3]",30,,
813,2209GhostMansion,2,"[4610,10]",10,,
814,2209GhostMansion,2,"[4610,30]",30,,
815,2209GhostMansion,31,"[1551,1]",10,,
816,2209GhostMansion,31,"[1551,5]",40,,
