id,type,activityId,rankInterval,score,scoreReward,valueType,
1001101,4,1001,"[12,20]",26,"[[30000,2]]",,
1001102,4,1001,"[12,20]",58,"[[30000,3],[1003,10]]",,
1001103,4,1001,"[12,20]",96,"[[30000,5],[1003,15]]",,
1001104,4,1001,"[12,20]",142,"[[30000,5],[1003,30],[1001,2]]",,
1001105,4,1001,"[12,20]",192,"[[30000,5],[1003,50],[1001,3]]",,
1001106,4,1001,"[12,20]",250,"[[30000,10],[1003,80],[1001,5]]",,
1001201,4,1001,"[21,30]",60,"[[30000,2]]",,
1001202,4,1001,"[21,30]",134,"[[30000,3],[1003,10]]",,
1001203,4,1001,"[21,30]",222,"[[30000,5],[1003,15]]",,
1001204,4,1001,"[21,30]",326,"[[30000,5],[1003,30],[1001,2]]",,
1001205,4,1001,"[21,30]",444,"[[30000,5],[1003,50],[1001,3]]",,
1001206,4,1001,"[21,30]",578,"[[30000,10],[1003,80],[1001,5]]",,
1001301,4,1001,"[31,40]",98,"[[30000,2]]",,
1001302,4,1001,"[31,40]",220,"[[30000,3],[1003,10]]",,
1001303,4,1001,"[31,40]",366,"[[30000,5],[1003,15]]",,
1001304,4,1001,"[31,40]",538,"[[30000,5],[1003,30],[1001,2]]",,
1001305,4,1001,"[31,40]",732,"[[30000,5],[1003,50],[1001,3]]",,
1001306,4,1001,"[31,40]",952,"[[30000,10],[1003,80],[1001,5]]",,
1001401,4,1001,"[41,59]",132,"[[30000,2]]",,
1001402,4,1001,"[41,59]",296,"[[30000,3],[1003,10]]",,
1001403,4,1001,"[41,59]",492,"[[30000,5],[1003,15]]",,
1001404,4,1001,"[41,59]",722,"[[30000,5],[1003,30],[1001,2]]",,
1001405,4,1001,"[41,59]",984,"[[30000,5],[1003,50],[1001,3]]",,
1001406,4,1001,"[41,59]",1280,"[[30000,10],[1003,80],[1001,5]]",,
1002101,4,1002,"[12,20]",44,"[[30000,2]]",,
1002102,4,1002,"[12,20]",98,"[[30000,3],[1003,10]]",,
1002103,4,1002,"[12,20]",162,"[[30000,5],[1003,15]]",,
1002104,4,1002,"[12,20]",238,"[[30000,5],[1003,30],[1001,2]]",,
1002105,4,1002,"[12,20]",324,"[[30000,5],[1003,50],[1001,3]]",,
1002106,4,1002,"[12,20]",422,"[[30000,10],[1003,80],[1001,5]]",,
1002201,4,1002,"[21,30]",104,"[[30000,2]]",,
1002202,4,1002,"[21,30]",234,"[[30000,3],[1003,10]]",,
1002203,4,1002,"[21,30]",390,"[[30000,5],[1003,15]]",,
1002204,4,1002,"[21,30]",572,"[[30000,5],[1003,30],[1001,2]]",,
1002205,4,1002,"[21,30]",780,"[[30000,5],[1003,50],[1001,3]]",,
1002206,4,1002,"[21,30]",1014,"[[30000,10],[1003,80],[1001,5]]",,
1002301,4,1002,"[31,40]",110,"[[30000,2]]",,
1002302,4,1002,"[31,40]",396,"[[30000,3],[1003,10]]",,
1002303,4,1002,"[31,40]",660,"[[30000,5],[1003,15]]",,
1002304,4,1002,"[31,40]",968,"[[30000,5],[1003,30],[1001,2]]",,
1002305,4,1002,"[31,40]",1320,"[[30000,5],[1003,50],[1001,3]]",,
1002306,4,1002,"[31,40]",1716,"[[30000,10],[1003,80],[1001,5]]",,
1002401,4,1002,"[41,59]",226,"[[30000,2]]",,
1002402,4,1002,"[41,59]",508,"[[30000,3],[1003,10]]",,
1002403,4,1002,"[41,59]",846,"[[30000,5],[1003,15]]",,
1002404,4,1002,"[41,59]",1242,"[[30000,5],[1003,30],[1001,2]]",,
1002405,4,1002,"[41,59]",1692,"[[30000,5],[1003,50],[1001,3]]",,
1002406,4,1002,"[41,59]",2200,"[[30000,10],[1003,80],[1001,5]]",,
1003101,4,1003,"[12,20]",28,"[[30000,2]]",,
1003102,4,1003,"[12,20]",62,"[[30000,3],[1003,10]]",,
1003103,4,1003,"[12,20]",102,"[[30000,5],[1003,15]]",,
1003104,4,1003,"[12,20]",150,"[[30000,5],[1003,30],[1001,2]]",,
1003105,4,1003,"[12,20]",204,"[[30000,5],[1003,50],[1001,3]]",,
1003106,4,1003,"[12,20]",266,"[[30000,10],[1003,80],[1001,5]]",,
1003201,4,1003,"[21,30]",74,"[[30000,2]]",,
1003202,4,1003,"[21,30]",166,"[[30000,3],[1003,10]]",,
1003203,4,1003,"[21,30]",276,"[[30000,5],[1003,15]]",,
1003204,4,1003,"[21,30]",406,"[[30000,5],[1003,30],[1001,2]]",,
1003205,4,1003,"[21,30]",552,"[[30000,5],[1003,50],[1001,3]]",,
1003206,4,1003,"[21,30]",718,"[[30000,10],[1003,80],[1001,5]]",,
1003301,4,1003,"[31,40]",102,"[[30000,2]]",,
