id,lvid,score,scoreReward,actid,
1,1,150,"[[1003,30]]",111,
2,2,350,"[[1002,300]]",111,
3,3,650,"[[1001,3]]",111,
4,4,950,"[[34012,5]]",111,
5,5,1250,"[[1003,50]]",111,
6,6,1550,"[[15000,6]]",111,
7,7,1850,"[[42000,3]]",111,
8,8,2500,"[[1003,70]]",111,
9,9,3150,"[[11001,1]]",111,
10,10,3800,"[[1001,5]]",111,
11,11,4450,"[[1002,500]]",111,
12,12,5100,"[[34012,10]]",111,
13,13,6100,"[[1003,70]]",111,
14,14,7100,"[[15000,8]]",111,
15,15,8100,"[[1001,25]]",111,
16,16,9100,"[[27330,1]]",111,
17,1,150,"[[30000,3]]",113,
18,2,350,"[[1002,300]]",113,
19,3,650,"[[1001,3]]",113,
20,4,950,"[[2007,3]]",113,
21,5,1250,"[[30000,5]]",113,
22,6,1550,"[[15000,7]]",113,
23,7,1850,"[[42000,3]]",113,
24,8,2500,"[[2008,2]]",113,
25,9,3150,"[[2007,4]]",113,
26,10,3800,"[[1001,5]]",113,
27,11,4450,"[[1002,200]]",113,
28,12,5100,"[[30000,14]]",113,
29,13,6100,"[[2007,5]]",113,
30,14,7100,"[[15000,8]]",113,
31,15,8100,"[[1001,25]]",113,
32,16,9100,"[[75013,1]]",113,
33,1,150,"[[1003,30]]",114,
34,2,350,"[[1002,300]]",114,
35,3,650,"[[1001,3]]",114,
36,4,950,"[[34015,5]]",114,
37,5,1250,"[[1003,50]]",114,
38,6,1550,"[[15000,6]]",114,
39,7,1850,"[[42000,3]]",114,
40,8,2500,"[[1003,70]]",114,
41,9,3150,"[[11001,1]]",114,
42,10,3800,"[[1001,5]]",114,
43,11,4450,"[[1002,500]]",114,
44,12,5100,"[[34015,10]]",114,
45,13,6100,"[[1003,70]]",114,
46,14,7100,"[[15000,8]]",114,
47,15,8100,"[[1001,25]]",114,
48,16,9100,"[[1003,100]]",114,
