id,name,activityText,activityBG,type,unlockLevel,unlockTask,prewarm,startTime,rankEndTime,endTime,sceneID,sceneCloseTime,reward,rankType,rankConfig,rankItem,robotParam,sceneIds,lowestVersion,relationId,dropItemId,productItemId,activitycoin,reopeningpartner,clearID,isRedEnergy,
1,,,,1,8,,,2023-2-21 19:00:00,,2023-3-21 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
2,,,,1,8,,,2023-3-22 19:00:00,,2023-4-19 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
3,,,,1,8,,,2023-4-19 19:05:00,,2023-5-17 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
4,,,,1,8,,,2023-5-17 19:05:00,,2023-6-14 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
5,,,,1,8,,,2023-6-14 19:05:00,,2023-7-4 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
6,,,,1,8,,,2023-7-4 19:05:00,,2023-7-24 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
7,,,,1,8,,,2023-7-24 19:05:00,,2023-8-13 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
8,,,,1,8,,,2023-8-13 19:05:00,,2023-8-28 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
9,,,,1,8,,,2023-8-28 19:05:00,,2023-9-12 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
10,,,,1,8,,,2023-9-12 19:05:00,,2023-9-27 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
11,,,,1,8,,,2023-9-27 19:05:00,,2023-10-12 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
12,,,,1,8,,,2023-10-12 19:05:00,,2023-10-27 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
13,,,,1,8,,,2023-10-27 19:05:00,,2023-11-11 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
14,,,,1,8,,,2023-11-11 19:05:00,,2023-11-26 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
15,,,,1,8,,,2023-11-26 19:05:00,,2023-12-11 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
16,,,,1,8,,,2023-12-11 19:05:00,,2023-12-26 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
17,,,,1,8,,,2023-12-26 19:05:00,,2024-1-10 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
18,,,,1,8,,,2024-1-10 19:05:00,,2024-2-1 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
19,,,,1,8,,,2024-2-1 19:05:00,,2024-2-22 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
20,,,,1,8,,,2024-2-22 19:05:00,,2024-3-14 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
21,,,,1,8,,,2024-3-14 19:05:00,,2024-4-2 19:00:00,,,,[],[],,[],[],,[],,,,,[],,
100,UI_christmas_scene_title,,,3,11,Mission2_006Cleanupthesnow,2022-4-18 00:00:00,2022-4-18 19:00:00,2022-4-25 19:00:00,2022-4-25 19:00:00,21Christmas,7,"[[30,4220,50],[60,4220,60],[90,4220,70],[120,4220,80],[150,27522,1]]",[3],"[[200],[40]]",38002,"[[10],[120],[30,100],[2,10]]",[],,[],,,,,[],,
101,UI_valentine_scene_title,,,3,11,Mission2_006Cleanupthesnow,2022-2-7 10:01:00,2022-2-8 19:01:00,2022-2-15 19:00:00,2022-2-15 19:00:00,20220214,7,"[[30,4182,1],[60,4182,2],[90,4182,2],[120,4182,3],[150,27501,1]]",[3],"[[200],[40]]",,[],[],,[],,,,,[],,
