id,level,floor,cells1,cells2,cells3,cells4,cells5,
1,1,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
2,1,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1004,1004,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
3,1,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,1002,1002,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1019,1019,1019,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
4,2,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1018,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1019,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1004,1004,-1,-1,-1,-1,-1]",
5,2,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1019,1002,1019,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1018,1002,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,1002,1018,-1,-1,-1,-1,-1]",
6,3,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1004,1007,1005,1005,1004,1006,1002,-1,-1,-1]","[-1,-1,1001,-1,-1,-1,-1,-1,1004,-1,-1,-1]","[-1,-1,1008,1004,1001,1005,1005,1004,1011,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
7,3,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1006,1006,-1,-1,-1,1011,1004,-1,-1,-1]","[-1,-1,1005,1007,-1,-1,-1,1006,1002,-1,-1,-1]","[-1,-1,1005,1002,-1,-1,-1,1011,1001,-1,-1,-1]","[-1,-1,1011,1008,-1,-1,-1,1007,1011,-1,-1,-1]",
8,3,3,"[-1,-1,1005,1002,-1,-1,-1,-1,1002,-1,-1,-1]","[-1,-1,1002,1007,1006,-1,1006,1002,1001,-1,-1,-1]","[-1,-1,1002,1002,-1,-1,-1,1005,1001,-1,-1,-1]","[-1,-1,1007,1006,-1,1006,-1,1008,1006,-1,-1,-1]","[-1,-1,1001,1011,-1,-1,-1,1007,1005,-1,-1,-1]",
9,4,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1015,1005,1004,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
10,4,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,-1,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1011,1004,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
11,4,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,-1,-1,-1,1005,-1,-1,-1]","[-1,-1,-1,-1,1014,-1,1015,-1,1008,-1,-1,-1]","[-1,-1,-1,-1,1005,-1,-1,-1,1010,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
12,4,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,-1,-1,1022,-1,-1,-1]","[-1,-1,-1,1013,1010,-1,-1,1013,1010,-1,-1,-1]","[-1,-1,-1,1005,-1,1008,1014,-1,1004,-1,-1,-1]","[-1,-1,-1,1008,-1,-1,-1,-1,1014,-1,-1,-1]",
13,4,5,"[-1,-1,-1,1011,1008,-1,-1,-1,1014,1013,-1,-1]","[-1,-1,-1,1004,1005,1014,-1,1022,1013,1010,-1,-1]","[-1,-1,-1,1005,-1,1011,1015,1015,-1,1005,-1,-1]","[-1,-1,-1,1005,-1,-1,-1,-1,-1,1011,-1,-1]","[-1,-1,-1,1013,-1,-1,-1,-1,-1,1013,-1,-1]",
14,4,6,"[-1,-1,1004,1022,-1,-1,-1,-1,1013,1008,-1,-1]","[-1,-1,1013,-1,1013,-1,-1,1011,-1,1022,-1,-1]","[-1,-1,1022,-1,-1,1011,1022,-1,-1,1004,-1,-1]","[-1,-1,1014,-1,-1,1015,1010,-1,-1,1013,-1,-1]","[-1,-1,1008,-1,-1,-1,-1,-1,-1,1013,-1,-1]",
15,5,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,1005,1004,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,1006,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
16,5,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1006,1008,1002,1011,-1,-1,-1,-1,-1]","[-1,-1,-1,1006,1006,1015,1006,-1,-1,-1,-1,-1]","[-1,-1,-1,1011,1015,1004,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
17,5,3,"[-1,-1,-1,1002,-1,-1,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,1015,-1,1014,-1,1004,-1,-1,-1,-1]","[-1,-1,-1,1004,-1,1010,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,1011,-1,-1,-1,1014,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
18,5,4,"[-1,-1,1001,1002,-1,-1,1011,1001,-1,-1,-1,-1]","[-1,-1,1004,1015,-1,-1,1005,1001,-1,-1,-1,-1]","[-1,-1,1008,1014,-1,-1,1014,1015,-1,-1,-1,-1]","[-1,-1,1005,1014,-1,-1,1006,1005,-1,-1,-1,-1]","[-1,-1,1014,1005,-1,-1,1014,1014,-1,-1,-1,-1]",
19,5,5,"[-1,-1,1008,1002,1015,-1,1002,1014,1010,-1,-1,-1]","[-1,-1,-1,1010,-1,-1,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,1008,1011,-1,1011,1001,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,-1,-1,1008,-1,-1,-1,-1]","[-1,-1,1010,1015,1005,1010,1015,1004,1010,-1,-1,-1]",
20,6,1,"[-1,-1,-1,-1,-1,-1,1027,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1016,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1015,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1016,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
21,6,2,"[-1,-1,-1,-1,-1,1015,1023,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1022,1022,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1015,1016,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1023,1016,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1007,1022,-1,-1,-1,-1,-1]",
22,6,3,"[-1,-1,-1,-1,-1,1008,-1,1016,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1021,1001,1008,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1027,-1,1023,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1021,-1,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
23,6,4,"[-1,-1,-1,-1,1001,-1,-1,1016,-1,-1,-1,-1]","[-1,-1,-1,-1,1024,-1,-1,1022,-1,-1,-1,-1]","[-1,-1,-1,-1,1016,-1,-1,1016,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,-1,-1,1021,-1,-1,-1,-1]","[-1,-1,-1,-1,1023,-1,-1,1022,-1,-1,-1,-1]",
24,6,5,"[-1,-1,-1,-1,1001,-1,-1,-1,1007,-1,-1,-1]","[-1,-1,-1,-1,1008,-1,-1,-1,1016,-1,-1,-1]","[-1,-1,-1,-1,1024,-1,-1,-1,1024,-1,-1,-1]","[-1,-1,-1,-1,1007,-1,-1,-1,1015,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
25,6,6,"[-1,-1,-1,1024,-1,-1,-1,-1,1007,-1,-1,-1]","[-1,-1,-1,1016,-1,-1,-1,-1,1023,-1,-1,-1]","[-1,-1,-1,1027,-1,-1,-1,-1,1021,-1,-1,-1]","[-1,-1,-1,1008,-1,-1,-1,-1,1024,-1,-1,-1]","[-1,-1,-1,1016,-1,-1,-1,-1,1021,-1,-1,-1]",
26,6,7,"[-1,-1,-1,1024,-1,-1,-1,-1,-1,1016,-1,-1]","[-1,-1,-1,1016,-1,-1,-1,-1,-1,1027,-1,-1]","[-1,-1,-1,1027,-1,-1,-1,-1,-1,1008,-1,-1]","[-1,-1,-1,1023,-1,-1,-1,-1,-1,1007,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
