id,name,type,activeLevel,coldtime,dailyLimit,userID,ifActive,reward,VIPLimit,param,
1,AdsOrder,1,5,300,10,1,1,"[[1003,10]]",0,[],
2,AdsOrder,1,5,300,10,2,1,"[[1003,10]]",0,[],
3,AdsOrder,1,5,300,0,3,0,"[[1003,10]]",0,[],
4,AdsOrder,1,5,300,20,4,1,"[[1003,10]]",0,[],
5,AdsOrder,1,5,300,5,5,1,"[[1003,10]]",0,[],
6,AdsOrder,1,5,300,0,6,0,"[[1001,2]]",0,[],
7,AdsOrder,1,5,300,0,7,0,"[[1001,2]]",0,[],
8,AdsOrder,1,5,300,0,8,0,"[[1003,10]]",0,[],
9,AdsOrder,1,5,300,0,9,0,"[[1001,2]]",0,[],
11,AdsRegister,2,5,3,2,1,1,[],0,[],
12,AdsRegister,2,5,3,2,2,1,[],0,[],
13,AdsRegister,2,5,3,0,3,0,[],0,[],
14,AdsRegister,2,5,3,2,4,1,[],0,[],
15,AdsRegister,2,5,3,0,5,0,[],0,[],
16,AdsRegister,2,5,3,0,6,0,[],0,[],
17,AdsRegister,2,5,3,0,7,0,[],0,[],
18,AdsRegister,2,5,3,0,8,0,[],0,[],
19,AdsRegister,2,5,3,0,9,0,[],0,[],
21,AdsTreasureChest,3,5,10,10,1,1,[],0,[],
22,AdsTreasureChest,3,5,10,10,2,1,[],0,[],
23,AdsTreasureChest,3,5,10,10,3,1,[],0,[],
24,AdsTreasureChest,3,5,10,20,4,1,[],0,[],
25,AdsTreasureChest,3,5,10,0,5,0,[],0,[],
26,AdsTreasureChest,3,5,10,0,6,0,[],0,[],
27,AdsTreasureChest,3,5,10,0,7,0,[],0,[],
28,AdsTreasureChest,3,5,10,0,8,0,[],0,[],
29,AdsTreasureChest,3,5,10,0,9,0,[],0,[],
31,AdsEnergyRecovery,4,5,180,10,1,1,[],0,[],
32,AdsEnergyRecovery,4,5,180,10,2,1,[],0,[],
33,AdsEnergyRecovery,4,5,180,10,3,1,[],0,[],
34,AdsEnergyRecovery,4,5,180,20,4,1,[],0,[],
35,AdsEnergyRecovery,4,5,180,5,5,1,[],0,[],
36,AdsEnergyRecovery,4,5,180,0,6,0,[],0,[],
37,AdsEnergyRecovery,4,5,180,0,7,0,[],0,[],
38,AdsEnergyRecovery,4,5,180,5,8,1,[],0,[],
39,AdsEnergyRecovery,4,5,180,0,9,0,[],0,[],
41,AdsGoldcoinTurntable,5,5,180,11,1,1,[],0,[],
42,AdsGoldcoinTurntable,5,5,180,11,2,1,[],0,[],
43,AdsGoldcoinTurntable,5,5,180,11,3,1,[],0,[],
44,AdsGoldcoinTurntable,5,5,180,11,4,1,[],0,[],
45,AdsGoldcoinTurntable,5,5,180,11,5,1,[],0,[],
46,AdsGoldcoinTurntable,5,5,180,11,6,1,[],0,[],
47,AdsGoldcoinTurntable,5,5,180,11,7,1,[],0,[],
48,AdsGoldcoinTurntable,5,5,180,11,8,1,[],0,[],
49,AdsGoldcoinTurntable,5,5,180,11,9,1,[],0,[],
51,AdsBalloonBombs,6,5,180,0,1,1,[],0,[],
52,AdsBalloonBombs,6,5,180,0,2,1,[],0,[],
53,AdsBalloonBombs,6,5,180,0,3,1,[],0,[],
54,AdsBalloonBombs,6,5,180,0,4,1,[],0,[],
55,AdsBalloonBombs,6,5,180,5,5,1,[],0,[],
56,AdsBalloonBombs,6,5,180,5,6,1,[],0,[],
57,AdsBalloonBombs,6,5,180,5,7,1,[],0,[],
58,AdsBalloonBombs,6,5,180,0,8,0,[],0,[],
59,AdsBalloonBombs,6,5,180,5,9,1,[],0,[],
61,AdsFactorySpeedUp,7,5,180,10,1,1,[],0,[600],
62,AdsFactorySpeedUp,7,5,180,10,2,1,[],0,[600],
63,AdsFactorySpeedUp,7,5,180,0,3,0,[],0,[600],
64,AdsFactorySpeedUp,7,5,180,20,4,1,[],0,[600],
65,AdsFactorySpeedUp,7,5,180,10,5,1,[],0,[600],
66,AdsFactorySpeedUp,7,5,180,0,6,0,[],0,[600],
67,AdsFactorySpeedUp,7,5,180,0,7,0,[],0,[600],
68,AdsFactorySpeedUp,7,5,180,0,8,0,[],0,[600],
69,AdsFactorySpeedUp,7,5,180,0,9,0,[],0,[600],
71,AdsClock,8,5,300,10,1,1,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
72,AdsClock,8,5,300,10,2,1,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
73,AdsClock,8,5,300,10,3,1,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
74,AdsClock,8,5,300,20,4,1,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
75,AdsClock,8,5,300,5,5,1,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
76,AdsClock,8,5,300,0,6,0,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
77,AdsClock,8,5,300,0,7,0,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
78,AdsClock,8,5,300,0,8,0,"[[1003,10],[1003,15],[1003,20]]",0,"[5,60,300]",
