id,time,obstacleID,level,quantity,reward,email
1,72,1800002,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
2,72,1800002,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
3,72,1800002,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
4,72,1800002,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
5,72,1800002,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[1001,5],[30000,5]],
[[20007,1],[92009,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
6,72,1800003,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[22000,3],[1001,5]],
[[20007,1],[92010,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
7,72,1800003,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[22000,3],[1001,5]],
[[20007,1],[92010,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
8,72,1800003,"[16,20]","[2,4,6,8]","[[[1003,30]],
[[1002,300],[20007,1]],
[[22000,4],[1001,5]],
[[20007,1],[92010,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
9,72,1800003,"[21,23]","[2,4,6,8]","[[[1003,30]],
[[1002,400],[20007,1]],
[[22000,4],[1001,5]],
[[20007,1],[92010,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
10,72,1800003,"[24,99]","[2,4,6,8]","[[[1003,30]],
[[1002,500],[20007,1]],
[[22000,5],[1001,5]],
[[20007,1],[92010,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
11,72,1800004,"[1,12]","[2,4,6,8]","[[[1003,30]],
[[1002,100],[20007,1]],
[[16000,5],[1001,5]],
[[20007,1],[92009,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
12,72,1800004,"[13,15]","[2,4,6,8]","[[[1003,30]],
[[1002,200],[20007,1]],
[[16000,5],[1001,5]],
[[20007,1],[92009,1]]]","[""ui_SaveAnimal_mail_title"",""ui_SaveAnimal_mail_desc""]"
