Id,ObstacleID,Level,TimeValue_All,NumWeight,OrderWeight,Reward,SpecialRewards,LimitWeight,LimitTime,
100,1800002,"[1,12]","[[20,50],[40,70],[50,80]]","[[2,20],[1,10]]","[[100,100],[0,40],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[7002,3],[7002,10]]","[0,0,0]","[3,5.5,6]",
101,1800002,"[13,15]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10]]","[[100,100],[0,40],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[7002,3],[7002,10]]","[0,0,0]","[3,5.5,6]",
102,1800002,"[16,20]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10]]","[[100,100],[0,40],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[7002,3],[7002,12]]","[0,0,0]","[3,5,5]",
103,1800002,"[21,23]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10]]","[[100,100],[0,40],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[7002,4],[7002,15]]","[0,0,0]","[3,4.5,4.5]",
104,1800002,"[24,99]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10]]","[[100,100],[0,40],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[7002,4],[7002,15]]","[0,0,0]","[3,4.5,4.5]",
200,1800003,"[1,12]","[[20,50],[40,70],[50,80]]","[[2,20],[1,10],[3,40]]","[[100,100],[0,20],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[16000,1],[16000,2]]","[0,0,0]","[3,3,6]",
201,1800003,"[13,15]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10],[3,40]]","[[100,100],[0,20],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[16000,1],[16000,2]]","[0,0,0]","[3,3,6]",
202,1800003,"[16,20]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10],[3,40]]","[[100,100],[0,20],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[16000,1],[16000,2]]","[0,0,0]","[3,3,5]",
203,1800003,"[21,23]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10],[3,40]]","[[100,100],[0,20],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[16000,1],[16000,2]]","[0,0,0]","[3,3,4.5]",
204,1800003,"[24,99]","[[20,55],[45,75],[60,90]]","[[2,10],[1,10],[3,40]]","[[100,100],[0,20],[0,0]]","[[0.6,0],[0.7,2],[0.8,4]]","[[0,0],[16000,1],[16000,2]]","[0,0,0]","[3,3,5]",
