id,buildingLevel,conditionType,conditionParam,versionStr,award
96616,2,1,[8],10.1.0,"[[1005,1]]"
96617,2,1,[9],10.1.0,"[[1005,1]]"
93584,2,1,[9],10.1.0,"[[1005,1]]"
96637,2,1,[10],10.1.0,"[[1005,1]]"
96598,2,1,[10],10.1.0,"[[1005,1]]"
96817,2,1,[10],10.1.0,"[[1005,1]]"
96889,2,1,[11],10.1.0,"[[1005,1]]"
96620,2,1,[11],10.1.0,"[[1005,1]]"
96621,2,1,[11],10.1.0,"[[1005,1]]"
96811,2,1,[12],10.1.0,"[[1005,1]]"
96607,2,1,[12],10.1.0,"[[1005,1]]"
96608,2,1,[12],10.1.0,"[[1005,1]]"
96604,2,1,[13],10.1.0,"[[1005,1]]"
96606,2,1,[13],10.1.0,"[[1005,1]]"
96856,2,1,[13],10.1.0,"[[1005,1]]"
96629,2,1,[14],10.1.0,"[[1005,1]]"
96600,2,1,[14],10.1.0,"[[1005,1]]"
96854,2,1,[14],10.1.0,"[[1005,1]]"
96949,2,1,[15],10.1.0,"[[1005,1]]"
96759,2,1,[15],10.1.0,"[[1005,1]]"
96946,2,1,[15],10.1.0,"[[1005,3]]"
96768,2,1,[16],10.1.0,"[[1005,3]]"
96980,2,1,[16],10.1.0,"[[1005,3]]"
96895,2,1,[17],10.1.0,"[[1005,3]]"
96631,2,1,[17],10.1.0,"[[1005,3]]"
96810,2,1,[17],10.1.0,"[[1005,3]]"
96850,2,1,[18],10.1.0,"[[1005,5]]"
96866,2,1,[18],10.1.0,"[[1005,5]]"
96845,2,1,[18],10.1.0,"[[1005,5]]"
96847,2,1,[18],10.1.0,"[[1005,5]]"
96639,2,1,[19],10.1.0,"[[1005,5]]"
96638,2,1,[19],10.1.0,"[[1005,5]]"
96761,2,1,[19],10.1.0,"[[1005,5]]"
96760,2,1,[19],10.1.0,"[[1005,5]]"
96800,2,1,[21],10.1.0,"[[1005,8]]"
96784,2,1,[21],10.1.0,"[[1005,8]]"
96783,2,1,[21],10.1.0,"[[1005,8]]"
96782,2,1,[21],10.1.0,"[[1005,8]]"
96766,2,1,[22],10.1.0,"[[1005,8]]"
93565,2,1,[13],11.1.0,[]
88051,2,1,[7],11.1.0,[]
74902,2,2,[92021],11.1.0,[]
93594,2,4,[2],11.1.0,[]
74903,2,5,[1],11.1.0,[]
10722,2,2,[94131],11.1.0,[]
74911,2,2,[91242],11.1.0,[]
91925,2,2,[91235],11.1.0,[]
88097,2,2,[91249],11.1.0,[]
96590,2,6,[],11.1.0,[]
94331,2,2,[91260],11.1.0,[]
94502,2,2,[91256],11.1.0,[]
95922,2,2,[95922],11.1.0,[]
