id,Level,SavingPoint,Reward,SPReward,continuePrice,BackId,BlockColor
1501,1,0,"[[1002,500],[1003,5]]",,5,,6
1502,2,0,"[[1002,500],[6412,1]]",,5,1501,6
1503,3,1,"[[1002,500],[6408,1]]","[[84001,2],[1001,5]]",5,1502,6
1504,4,0,"[[1002,500],[6409,1]]",,5,1503,6
1505,5,0,"[[1002,500],[6412,1]]",,5,1504,6
1506,6,1,"[[1002,500],[6408,1]]","[[84001,2],[1003,20]]",5,1505,6
1507,7,0,"[[1002,500],[6409,1],[6410,1]]",,5,1506,6
1508,8,0,"[[1002,500],[6412,1]]",,5,1507,6
1509,9,0,"[[1002,500],[6408,1]]",,5,1508,6
1510,10,1,"[[1002,500],[6409,1]]","[[84001,3],[1001,5]]",10,1509,6
1511,11,0,"[[1002,500],[1003,5]]",,10,1510,6
1512,12,0,"[[1002,500],[1003,5]]",,10,1511,6
1513,13,0,"[[1002,500],[6409,1]]",,10,1512,6
1514,14,0,"[[1002,500],[1003,5]]",,10,1513,6
1515,15,1,"[[1002,500],[1003,5]]","[[84001,3],[1003,30]]",10,1514,6
1516,16,0,"[[1002,500],[6409,1]]",,10,1515,5
1517,17,0,"[[1002,500],[1003,5]]",,10,1516,5
1518,18,0,"[[1002,500],[1003,5]]",,10,1517,5
1519,19,0,"[[1002,500],[6409,1],[6410,1]]",,10,1518,5
1520,20,1,"[[1002,500],[1003,5]]","[[84001,3],[1001,10]]",10,1519,5
1521,21,0,"[[1002,500],[1003,5]]",,15,1520,5
1522,22,0,"[[1002,500],[42000,1]]",,15,1521,5
1523,23,0,"[[1002,500],[1003,5]]",,15,1522,5
1524,24,0,"[[1002,500],[1003,5]]",,15,1523,5
1525,25,1,"[[1002,500],[1003,5]]","[[84001,4],[1003,40]]",15,1524,5
1526,26,0,"[[1002,500],[16000,1]]",,15,1525,5
1527,27,0,"[[1002,500],[1003,5]]",,15,1526,5
1528,28,0,"[[1002,500],[1003,5]]",,15,1527,1
1529,29,0,"[[1002,500],[16000,1]]",,15,1528,1
1530,30,1,"[[1002,500],[1003,5]]","[[84001,4],[1001,10]]",15,1529,1
1531,31,0,"[[1002,500],[42000,1]]",,15,1530,1
1532,32,0,"[[1002,500],[1003,8]]",,15,1531,1
1533,33,0,"[[1002,500],[1001,5]]",,15,1532,1
1534,34,0,"[[1002,500],[1003,8]]",,15,1533,1
1535,35,1,"[[1002,500],[16000,1]]","[[84001,4],[1003,50]]",15,1534,1
1536,36,0,"[[1002,500],[1003,8]]",,15,1535,1
1537,37,0,"[[1002,500],[1003,8]]",,15,1536,1
1538,38,0,"[[1002,500],[1003,8]]",,15,1537,1
1539,39,0,"[[1002,500],[30000,3]]",,15,1538,1
1540,40,1,"[[1002,500],[6409,1]]","[[84001,4],[1001,15]]",15,1539,1
1541,41,0,"[[1002,500],[1001,5]]",,15,1540,1
1542,42,0,"[[1002,500],[1003,8]]",,15,1541,1
1543,43,0,"[[1002,500],[42000,1]]",,15,1542,1
1544,44,0,"[[1002,500],[1003,8]]",,15,1543,1
1545,45,1,"[[1002,500],[1001,5]]","[[84001,5],[1003,60]]",15,1544,1
1546,46,0,"[[1002,500],[1003,8]]",,15,1545,1
1547,47,0,"[[1002,500],[16000,1]]",,15,1546,1
1548,48,0,"[[1002,500],[1003,8]]",,15,1547,1
1549,49,0,"[[1002,500],[1003,8]]",,15,1548,1
1550,50,1,"[[1002,500],[1003,8]]","[[84001,5],[1003,80]]",15,1549,1
1551,51,0,"[[1002,500],[30000,3]]",,15,1550,1
1552,52,0,"[[1002,500],[1003,10]]",,15,1551,1
1553,53,0,"[[1002,500],[42000,1]]",,15,1552,1
1554,54,0,"[[1002,500],[1003,10]]",,15,1553,1
1555,55,1,"[[1002,500],[1001,5]]","[[84001,5],[1001,20]]",15,1554,1
1556,56,0,"[[1002,500],[1003,10]]",,15,1555,1
1557,57,0,"[[1002,500],[16000,1]]",,15,1556,1
1558,58,0,"[[1002,500],[1003,10]]",,15,1557,1
1559,59,0,"[[1002,500],[1003,10]]",,15,1558,1
1560,60,1,"[[1002,500],[1003,10]]","[[84001,5],[1003,100]]",15,1559,1
1561,61,0,"[[1002,500],[30000,5]]",,15,1560,1
1562,62,0,"[[1002,500],[1003,10]]",,15,1561,1
1563,63,0,"[[1002,500],[1001,8]]",,15,1562,1
1564,64,0,"[[1002,500],[1003,10]]",,15,1563,1
1565,65,1,"[[1002,500],[42000,1]]","[[84001,5],[1003,120]]",15,1564,1
1566,66,0,"[[1002,500],[1003,10]]",,15,1565,1
1567,67,0,"[[1002,500],[1001,8]]",,15,1566,1
1568,68,0,"[[1002,500],[1003,10]]",,15,1567,1
1569,69,0,"[[1002,500],[16000,1]]",,15,1568,1
1570,70,1,"[[1002,500],[6409,1]]","[[84001,5],[1003,150]]",15,1569,1
1571,71,0,"[[1002,500],[1003,10]]",,15,1570,1
1572,72,0,"[[1002,500],[1003,10]]",,15,1571,1
1573,73,0,"[[1002,500],[30000,5]]",,15,1572,1
1574,74,0,"[[1002,500],[1003,10]]",,15,1573,1
1575,75,1,"[[1002,500],[42000,2]]","[[84001,5],[1001,30]]",15,1574,1
1576,76,0,"[[1002,500],[1003,10]]",,15,1575,1
1577,77,0,"[[1002,500],[1001,10]]",,15,1576,1
1578,78,0,"[[1002,500],[1003,10]]",,15,1577,1
1579,79,0,"[[1002,500],[16000,2]]",,15,1578,1
1580,80,1,"[[1002,500],[1003,10]]","[[84001,5],[1003,180]]",15,1579,1
1581,81,0,"[[1002,500],[1003,15]]",,15,1580,1
1582,82,0,"[[1002,500],[1003,15]]",,15,1581,1
1583,83,0,"[[1002,500],[1003,15]]",,15,1582,1
1584,84,0,"[[1002,500],[1003,15]]",,15,1583,1
1585,85,1,"[[1002,500],[6409,1]]","[[84001,5],[1003,200]]",15,1584,1
1586,86,0,"[[1002,500],[30000,7]]",,15,1585,1
1587,87,0,"[[1002,500],[1003,20]]",,15,1586,1
1588,88,0,"[[1002,500],[1003,20]]",,15,1587,1
1589,89,0,"[[1002,500],[1003,10]]",,15,1588,1
1590,90,1,"[[1002,500],[1003,20]]","[[84001,8],[1003,300]]",15,1589,1
1591,91,0,"[[1002,500],[30000,7]]",,15,1590,1
1592,92,0,"[[1002,500],[1003,20]]",,15,1591,1
1593,93,0,"[[1002,500],[1003,10]]",,15,1592,1
1594,94,0,"[[1002,500],[1003,20]]",,15,1593,1
1595,95,1,"[[1002,500],[1001,15]]","[[84001,8],[1003,400]]",15,1594,1
1596,96,0,"[[1002,500],[1003,20]]",,15,1595,1
1597,97,0,"[[1002,500],[1001,20]]",,15,1596,1
1598,98,1,"[[1002,500],[1003,100]]","[[84001,10],[1003,400]]",15,1597,1
1601,1,0,"[[1002,500],[1003,5]]",,5,,6
1602,2,0,"[[1002,500],[6412,1]]",,5,1601,6
1603,3,1,"[[1002,500],[6408,1]]","[[84020,2],[1001,5]]",5,1602,6
1604,4,0,"[[1002,500],[6409,1]]",,5,1603,6
1605,5,0,"[[1002,500],[6412,1]]",,5,1604,6
1606,6,1,"[[1002,500],[6408,1]]","[[84020,2],[1003,20]]",5,1605,6
1607,7,0,"[[1002,500],[6409,1],[6410,1]]",,5,1606,6
1608,8,0,"[[1002,500],[6412,1]]",,5,1607,6
1609,9,0,"[[1002,500],[6408,1]]",,10,1608,6
1610,10,1,"[[1002,500],[6409,1]]","[[84020,3],[1001,5]]",10,1609,6
