sort,missionGroup,id,graphId,preMissionId,ZoneRequire,levelUnlock,exp_award,itemIdAmount,
10,,Guide_level6_commission,branch_532,[],,11,40,"[[1002,100]]",
200009,2,Guide_level8_treeofeternity,branch_533,"[""Guide_level14_cloudmaze""]",,12,25,"[[1002,100]]",
30,,Guide_level14_magicwell,branch_534,[],,14,75,"[[1002,200]]",
40,,Guide_level14_dress,branch_591,[],city,13,90,"[[1002,100]]",
50,,Guide_level14_cloudmaze,branch_593,[],,12,50,"[[1002,100]]",
60,1,repair_9111,branch_199999,[],,7,14,"[[1002,100]]",
100,11,repair_75101,branch_200000,"[""Mission3_004buyfactory""]",,7,14,"[[1002,100]]",
61,1,Submission7_homelevel_8,branch_957,"[""repair_9111""]",,7,14,"[[1002,100]]",
200005,2,repair_75102,branch_200010,"[""Submission6_openfarm1"",""Mission3_004buyfactory""]",,8,18,"[[1002,100]]",
200006,2,repair_210169,branch_200011,"[""repair_75102"",""Mission3_004buyfactory""]",,8,18,"[[1002,100]]",
200008,2,Submission8_homelevel_9,branch_959,"[""Submission6_openfarm2"",""Mission3_004buyfactory""]",,8,18,"[[1002,100]]",
200012,2,repair_75106,branch_200030,"[""hangup_levelup2"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",
200013,2,repair_75201,branch_200070,"[""repair_75106"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",
200014,2,repair_76132,branch_200071,"[""repair_75201"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",
200015,2,Submission9_homelevel_10,branch_961,"[""repair_76132"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",
101,11,repair_75401,branch_200180,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",
102,11,repair_75501,branch_200220,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",
105,11,repair_75503,branch_200240,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",
106,11,Submission10_homelevel_11,branch_928,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",
107,11,repair_76153,branch_200241,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",
108,11,repair_75704,branch_200310,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",
109,11,repair_75705,branch_200320,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",
110,11,Submission11_homelevel_12,branch_930,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",
111,11,repair_75703,branch_200300,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",
112,11,repair_75701,branch_200280,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",
115,11,repair_76161,branch_200281,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",
116,11,Submission12_homelevel_13,branch_933,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",
121,11,repair_75303,branch_200160,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",
122,11,repair_75302,branch_200150,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",
123,11,repair_76143,branch_200151,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",
124,12,Submission13_homelevel_14,branch_936,"[""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",
125,11,repair_77406,branch_200152,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",
126,11,repair_76001,branch_200153,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",
127,11,repair_77443,branch_200154,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",
128,12,Submission14_homelevel_15,branch_939,"[""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",
