id,missionId,MissionType,taskNeed,
10,Guide_level6_commission,4,"[""city"",[91237]]",
11,Guide_level6_commission,0,"[""city"",88098,2,9105]",
20,Guide_level8_treeofeternity,4,"[""city"",[92021]]",
21,Guide_level8_treeofeternity,55,[1],
30,Guide_level14_magicwell,4,"[""city"",[91242]]",
31,Guide_level14_magicwell,26,[1],
40,Guide_level14_dress,4,"[""city"",[91235]]",
50,Guide_level14_cloudmaze,4,"[""city"",[91249]]",
10500,Submission6_openfarm1,42,"[""city"",36322]",
10510,Submission6_openfarm2,42,"[""city"",36355]",
10520,Submission7_openfarm,42,"[""city"",35997]",
10530,Submission8_openfarm,42,"[""city"",36358]",
10540,Submission9_openfarm,42,"[""city"",36283]",
10550,Submission10_openfarm,42,"[""city"",36128]",
10560,Submission12_openfarm,42,"[""city"",36201]",
10570,Submission14_openfarm,42,"[""city"",36122]",
10580,Submission16_openfarm,42,"[""city"",36298]",
10590,Submission18_openfarm,42,"[""city"",36359]",
10600,Submission20_openfarm,42,"[""city"",35981]",
10998,levelup_101_1,64,"[101,4]",
10999,levelup_101_2,64,"[101,6]",
11000,levelup_101_3,64,"[101,8]",
11010,levelup_101_4,64,"[101,10]",
11011,partnersub101_003,82,"[101,5,""Adelina01_dance"",[13,0,6]]",
11013,levelup_101_5,64,"[101,15]",
11012,partnersub102_001,81,"[[101,102],40022,1]",
11020,levelup_102_1,64,"[102,4]",
11021,partnersub102_002,80,[102],
11030,levelup_102_2,64,"[102,6]",
11031,partnersub101_004,79,"[101,5009,5]",
11040,levelup_102_3,64,"[102,8]",
11050,levelup_102_4,64,"[102,10]",
11051,partnersub102_005,82,"[102,5,""princelouis01_dance"",[19,0,-1]]",
11053,levelup_102_5,64,"[102,15]",
11052,partnersub103_001,81,"[[102,103],40023,1]",
11060,levelup_103_1,64,"[103,4]",
11061,partnersub103_002,80,[103],
11070,levelup_103_2,64,"[103,6]",
11071,partnersub102_007,79,"[102,5018,5]",
11080,levelup_103_3,64,"[103,8]",
11081,partnersub103_005,79,"[103,3007,5]",
11090,levelup_103_4,64,"[103,10]",
11091,partnersub103_006,82,"[103,5,""think"",[10,0,-1]]",
11093,levelup_103_5,64,"[103,15]",
11092,partnersub104_001,81,"[[103,104],40024,1]",
11100,levelup_104_1,64,"[104,4]",
11101,partnersub104_002,80,[104],
11110,levelup_104_2,64,"[104,6]",
11111,partnersub103_007,79,"[103,5001,10]",
11120,levelup_104_3,64,"[104,8]",
11121,partnersub104_004,79,"[104,3032,1]",
11130,levelup_104_4,64,"[104,10]",
11131,partnersub104_005,82,"[104,5,""Elina01_dance"",[9,0,10]]",
11133,levelup_104_5,64,"[104,15]",
11132,partnersub110_001,81,"[[104,110],40030,1]",
11140,levelup_110_1,64,"[110,3]",
11141,partnersub110_002,80,[110],
11150,levelup_110_2,64,"[110,5]",
11151,partnersub101_005,79,"[101,5005,25]",
11160,levelup_110_3,64,"[110,8]",
11161,partnersub110_004,79,"[110,3007,6]",
11170,levelup_110_4,64,"[110,10]",
11171,partnersub110_005,82,"[110,5,""show"",[19,0,-1]]",
11173,levelup_110_5,64,"[110,15]",
11172,partnersub105_005,81,"[[110,105],40025,1]",
11180,levelup_105_1,64,"[105,3]",
11181,partnersub105_002,80,[105],
11190,levelup_105_2,64,"[105,5]",
11191,partnersub110_006,79,"[110,5012,12]",
11200,levelup_105_3,64,"[105,8]",
11201,partnersub105_001,79,"[105,3003,8]",
11210,levelup_105_4,64,"[105,10]",
11211,partnersub105_004,82,"[105,5,""dwarfd01_dance"",[13,0,6]]",
11214,levelup_105_5,64,"[105,15]",
11212,partnersub108_001,81,"[[105,108],40028,1]",
11213,partnersub108_003,80,[108],
11220,levelup_108_1,64,"[108,3]",
11221,partnersub108_004,80,[108],
11230,levelup_108_2,64,"[108,5]",
11231,partnersub105_006,79,"[105,5006,25]",
11240,levelup_108_3,64,"[108,8]",
11241,partnersub108_002,79,"[108,3024,2]",
11250,levelup_108_4,64,"[108,10]",
11251,partnersub108_005,82,"[108,5,""happy"",[9,0,10]]",
11253,levelup_108_5,64,"[108,15]",
11254,partnersub109_003,80,[109],
11252,partnersub109_001,81,"[[108,109],40029,1]",
11260,levelup_109_1,64,"[109,3]",
11261,partnersub109_004,80,[109],
11270,levelup_109_2,64,"[109,5]",
11271,partnersub108_006,79,"[108,5013,9]",
11280,levelup_109_3,64,"[109,8]",
11281,partnersub109_002,79,"[109,3006,8]",
11290,levelup_109_4,64,"[109,10]",
11291,partnersub109_007,82,"[109,5,""sorcererguilty01_sweat"",[13,0,6]]",
11295,levelup_109_5,64,"[109,15]",
11292,partnersub109_006,80,[109],
11293,partnersub107_002,80,[107],
11294,partnersub107_007,81,"[[109,107],40027,1]",
11300,levelup_107_1,64,"[107,3]",
11301,partnersub107_003,80,[107],
11310,levelup_107_2,64,"[107,5]",
11311,partnersub109_008,79,"[109,5002,60]",
11320,levelup_107_3,64,"[107,8]",
11321,partnersub107_001,79,"[107,3042,2]",
11330,levelup_107_4,64,"[107,10]",
11331,partnersub107_006,82,"[107,5,""show"",[10,0,-1]]",
11335,levelup_107_5,64,"[107,15]",
11332,partnersub107_005,80,[107],
11333,partnersub106_002,80,[106],
11334,partnersub106_007,81,"[[107,106],40026,1]",
11340,levelup_106_1,64,"[106,3]",
11341,partnersub106_003,80,[106],
11350,levelup_106_2,64,"[106,5]",
11351,partnersub107_008,79,"[107,5008,40]",
11360,levelup_106_3,64,"[106,8]",
11361,partnersub106_001,79,"[106,3002,10]",
11370,levelup_106_4,64,"[106,10]",
11371,partnersub106_006,82,"[106,5,""listen1"",[19,0,-1]]",
11375,levelup_106_5,64,"[106,15]",
11372,partnersub106_005,80,[106],
11373,partnersub112_003,80,[112],
11374,partnersub112_001,81,"[[106,112],40031,1]",
11380,levelup_112_1,64,"[112,3]",
11381,partnersub112_004,80,[112],
11390,levelup_112_2,64,"[112,5]",
11391,partnersub106_008,79,"[106,5015,50]",
11400,levelup_112_3,64,"[112,8]",
11401,partnersub112_002,79,"[112,3015,10]",
11410,levelup_112_4,64,"[112,10]",
11411,partnersub112_007,82,"[112,5,""think"",[10,0,-1]]",
11415,levelup_112_5,64,"[112,15]",
11412,partnersub112_006,80,[112],
11413,partnersub113_003,80,[113],
11414,partnersub113_001,81,"[[112,113],40032,1]",
11420,levelup_113_1,64,"[113,3]",
11421,partnersub113_004,80,[113],
11430,levelup_113_2,64,"[113,5]",
11431,partnersub112_008,79,"[112,5014,10]",
11440,levelup_113_3,64,"[113,8]",
11441,partnersub113_002,79,"[113,3031,5]",
11450,levelup_113_4,64,"[113,10]",
11451,partnersub113_007,82,"[113,5,""research"",[9,0,10]]",
11455,levelup_113_5,64,"[113,15]",
11452,partnersub113_006,80,[113],
11453,partnersub114_003,80,[114],
