id,icon_way,MissionType,taskNeed,unlockTime,taskReward,num,
10001,item,29,[1],0,"[[2100,2],[1003,5]]",[1],
10002,task,22,[200],0,"[[2100,3],[1001,1]]",[200],
10003,task,17,"[""city"",30]",0,"[[7004,2],[1002,100]]",[30],
10004,task,3,[10],0,"[[1001,2],[1002,200]]",[10],
10005,task,15,"[5016,30]",0,"[[2100,3],[1003,5]]",[30],
10006,item,29,[2],24,"[[2100,2],[1003,5]]",[2],
10007,task,14,[100],24,"[[1001,1],[1002,100]]",[100],
10008,task,23,[10],24,"[[2100,3],[7004,2]]",[10],
10009,item,11,"[3004,30]",24,"[[2100,3],[1002,200]]",[30],
10010,task,24,[5],24,"[[1001,2],[1003,5]]",[5],
10011,item,29,[3],48,"[[2100,2],[1003,5]]",[3],
10012,task,22,[1500],48,"[[2100,3],[1001,2]]",[1500],
10013,task,25,"[0,10]",48,"[[1001,1],[1002,100]]",[10],
10014,item,11,"[3007,50]",48,"[[7004,2],[1003,5]]",[50],
10015,task,3,[50],48,"[[2100,3],[1002,200]]",[50],
10016,item,29,[4],72,"[[2100,2],[1003,5]]",[4],
10017,task,17,"[""city"",200]",72,"[[1001,1],[7004,2]]",[200],
10018,task,19,[30],72,"[[2100,3],[1003,5]]",[30],
10019,task,11,"[3017,50]",72,"[[2100,2],[1001,2]]",[50],
10020,task,3,[80],72,"[[7004,2],[1002,200]]",[80],
10021,item,29,[5],96,"[[2100,3],[1003,5]]",[5],
10022,task,22,[5000],96,"[[2100,5],[1001,2]]",[5000],
10023,task,19,[40],96,"[[1001,2],[1002,500]]",[40],
10024,task,23,[50],96,"[[7004,2],[1003,5]]",[50],
10025,task,24,[10],96,"[[2100,5],[1001,2]]",[10],
