id,type,param,unlock,price,saleNum,
200,2,1,-1,"[1002,100]",1,
201,2,2,-1,"[1002,200]",1,
202,2,3,-1,"[1002,300]",1,
203,2,4,-1,"[1002,400]",1,
204,2,5,-1,"[1002,500]",1,
205,2,6,-1,"[1002,1000]",1,
206,2,7,-1,"[1002,1000]",1,
208,2,9,-1,"[1002,1000]",1,
209,2,148,-1,"[1002,1000]",1,
210,2,10,-1,"[1002,1000]",1,
300,3,71001,4,"[1001,100]",10,
301,3,71002,5,"[1001,100]",10,
302,3,71011,6,"[1002,500]",10,
303,3,71012,7,"[1002,1000]",10,
304,3,71013,8,"[1002,1500]",10,
305,3,71014,9,"[1002,2000]",10,
306,3,71015,10,"[1002,2500]",10,
307,3,71016,11,"[1002,3000]",10,
308,3,71017,12,"[1002,3500]",10,
309,3,71018,13,"[1002,4000]",10,
400,4,75001,-1,[],-1,
401,4,75002,-1,[],-1,
402,4,75003,-1,[],-1,
403,4,75004,-1,[],-1,
404,4,75006,-1,[],-1,
405,4,75007,-1,[],-1,
501,5,30050,15,"[1002,5000]",1,
502,5,30051,20,"[1002,15000]",1,
503,5,30052,23,"[1002,30000]",1,
504,5,30053,30,"[1002,50000]",1,
505,5,30054,17,"[1002,10000]",1,
506,5,30055,27,"[1002,40000]",1,
