id,cardID,activityID,reward
1,"[61001,61002,61003,61004,61005,61006,61007,61008]",14001,"[[1003,100]]"
2,"[61009,61010,61011,61012,61013,61014,61015,61016]",14001,"[[1003,150]]"
3,"[61017,61018,61019,61020,61021,61022,61023,61024]",14001,"[[1003,200]]"
4,"[61025,61026,61027,61028,61029,61030,61031,61032]",14001,"[[1003,300]]"
5,"[61033,61034,61035,61036,61037,61038,61039,61040]",14001,"[[1003,400]]"
6,"[61041,61042,61043,61044,61045,61046,61047,61048]",14001,"[[1003,600]]"
7,"[61049,61050,61051,61052,61053,61054,61055,61056]",14001,"[[1003,800]]"
21,"[61101,61102,61103,61104,61105,61106,61107,61108]",14002,"[[1003,100]]"
22,"[61109,61110,61111,61112,61113,61114,61115,61116]",14002,"[[1003,120]]"
23,"[61117,61118,61119,61120,61121,61122,61123,61124]",14002,"[[1003,150]]"
24,"[61125,61126,61127,61128,61129,61130,61131,61132]",14002,"[[1003,200]]"
25,"[61133,61134,61135,61136,61137,61138,61139,61140]",14002,"[[1003,250]]"
26,"[61141,61142,61143,61144,61145,61146,61147,61148]",14002,"[[1003,300]]"
27,"[61149,61150,61151,61152,61153,61154,61155,61156]",14002,"[[1003,350]]"
28,"[61157,61158,61159,61160,61161,61162,61163,61164]",14002,"[[1003,400]]"
29,"[61165,61166,61167,61168,61169,61170,61171,61172]",14002,"[[1003,500]]"
31,"[61201,61202,61203,61204,61205,61206,61207,61208]",14003,"[[1003,100]]"
32,"[61209,61210,61211,61212,61213,61214,61215,61216]",14003,"[[1003,120]]"
33,"[61217,61218,61219,61220,61221,61222,61223,61224]",14003,"[[1003,150]]"
34,"[61225,61226,61227,61228,61229,61230,61231,61232]",14003,"[[1003,200]]"
35,"[61233,61234,61235,61236,61237,61238,61239,61240]",14003,"[[1003,250]]"
36,"[61241,61242,61243,61244,61245,61246,61247,61248]",14003,"[[1003,300]]"
37,"[61249,61250,61251,61252,61253,61254,61255,61256]",14003,"[[1003,350]]"
38,"[61257,61258,61259,61260,61261,61262,61263,61264]",14003,"[[1003,400]]"
39,"[61265,61266,61267,61268,61269,61270,61271,61272]",14003,"[[1003,500]]"
