id,activityID,cardStar,cardAccumulate,cardBookWeight,
100,14001,1,0,"[[1,9999],[4,1]]",
101,14001,1,1,"[[1,9999],[4,1]]",
102,14001,1,2,"[[1,9999],[4,1]]",
103,14001,1,4,"[[1,50],[2,40],[3,10],[4,1]]",
104,14001,1,7,"[[1,50],[2,40],[3,10],[4,1]]",
105,14001,1,11,"[[1,50],[2,40],[3,10],[4,1]]",
106,14001,1,16,"[[1,50],[2,40],[3,10],[4,1]]",
107,14001,1,21,"[[1,50],[2,40],[3,10],[4,1]]",
108,14001,1,27,"[[1,50],[2,40],[3,10],[4,1]]",
109,14001,1,33,"[[1,50],[2,40],[3,10],[4,1]]",
110,14001,1,41,"[[1,50],[2,40],[3,10],[4,1]]",
111,14001,1,49,"[[1,50],[2,40],[3,10],[4,1]]",
112,14001,1,59,"[[1,50],[2,40],[3,10],[4,1]]",
113,14001,1,69,"[[1,50],[2,30],[3,10],[4,10]]",
114,14001,1,84,"[[1,50],[2,30],[3,10],[4,10]]",
200,14001,2,0,"[[1,50],[2,46],[3,1],[4,1],[5,1],[6,1]]",
201,14001,2,1,"[[1,50],[2,46],[3,1],[4,1],[5,1],[6,1]]",
202,14001,2,3,"[[1,50],[2,46],[3,1],[4,1],[5,1],[6,1]]",
203,14001,2,6,"[[1,50],[2,46],[3,1],[4,1],[5,1],[6,1]]",
204,14001,2,9,"[[1,50],[2,46],[3,1],[4,1],[5,1],[6,1]]",
205,14001,2,14,"[[1,50],[2,46],[3,1],[4,1],[5,1],[6,1]]",
206,14001,2,19,"[[1,10],[2,10],[3,10],[4,10],[5,10],[6,10]]",
207,14001,2,27,"[[1,10],[2,10],[3,10],[4,10],[5,10],[6,10]]",
208,14001,2,35,"[[1,10],[2,10],[3,10],[4,10],[5,10],[6,10]]",
209,14001,2,43,"[[1,10],[2,10],[3,10],[4,10],[5,10],[6,10]]",
210,14001,2,51,"[[1,10],[2,10],[3,10],[4,10],[5,10],[6,10]]",
211,14001,2,59,"[[1,10],[2,10],[3,10],[4,10],[5,10],[6,10]]",
212,14001,2,69,"[[1,10],[2,10],[3,10],[4,10],[5,10],[6,10]]",
300,14001,3,0,"[[2,100],[3,100],[4,1],[5,1],[6,1],[7,1]]",
301,14001,3,1,"[[2,100],[3,100],[4,1],[5,1],[6,1],[7,1]]",
302,14001,3,2,"[[2,100],[3,100],[4,1],[5,1],[6,1],[7,1]]",
303,14001,3,5,"[[2,100],[3,100],[4,1],[5,1],[6,1],[7,1]]",
304,14001,3,8,"[[2,100],[3,100],[4,1],[5,1],[6,1],[7,1]]",
305,14001,3,12,"[[2,100],[3,100],[4,1],[5,1],[6,1],[7,1]]",
306,14001,3,17,"[[2,10],[3,10],[4,10],[5,10],[6,10],[7,1]]",
307,14001,3,23,"[[2,10],[3,10],[4,10],[5,10],[6,10],[7,1]]",
308,14001,3,30,"[[2,10],[3,10],[4,10],[5,10],[6,10],[7,10]]",
309,14001,3,37,"[[2,10],[3,10],[4,10],[5,10],[6,10],[7,10]]",
400,14001,4,0,"[[3,80],[4,10],[5,10],[6,1],[7,1]]",
401,14001,4,1,"[[3,50],[4,40],[5,10],[6,1],[7,1]]",
402,14001,4,2,"[[3,50],[4,40],[5,10],[6,10],[7,10]]",
403,14001,4,4,"[[3,10],[4,10],[5,10],[6,10],[7,10]]",
404,14001,4,7,"[[3,10],[4,10],[5,10],[6,10],[7,10]]",
405,14001,4,11,"[[3,10],[4,10],[5,10],[6,10],[7,10]]",
406,14001,4,15,"[[3,10],[4,10],[5,10],[6,10],[7,10]]",
407,14001,4,21,"[[3,10],[4,10],[5,10],[6,10],[7,10]]",
408,14001,4,29,"[[3,10],[4,10],[5,10],[6,10],[7,10]]",
500,14001,5,0,"[[4,70],[5,10],[6,10],[7,10]]",
501,14001,5,1,"[[4,40],[5,40],[6,10],[7,10]]",
502,14001,5,2,"[[4,10],[5,70],[6,10],[7,10]]",
503,14001,5,3,"[[4,10],[5,10],[6,10],[7,10]]",
504,14001,5,4,"[[4,10],[5,10],[6,10],[7,10]]",
505,14001,5,6,"[[4,10],[5,10],[6,10],[7,10]]",
506,14001,5,8,"[[4,10],[5,10],[6,10],[7,10]]",
507,14001,5,11,"[[4,10],[5,10],[6,10],[7,10]]",
508,14001,5,17,"[[4,10],[5,10],[6,10],[7,10]]",
1100,14002,1,0,"[[21,9999],[24,1]]",
1101,14002,1,1,"[[21,9999],[22,1]]",
