id,attribute,floor,nextID,dragonEnergy,consume,time,reward,weightReward1,weightReward2,unlockfloor,sceneID,dragonSlot,threestarsreward,threesweightReward1,threesweightReward2
1,2,0,0,1,"[1002,800]",10,"[[81001,3,4],[2002,2,3],[2003,2,3]]",[],[],0,1,3,"[[81001,4,6],[2002,3,5],[2003,3,5],[91001,1,1]]",[],[]
2,3,0,0,5,"[1002,800]",10,"[[81002,3,4],[2004,4,6]]",[],[],0,2,3,"[[81002,4,6],[2004,6,9],[91002,1,1]]",[],[]
3,4,0,0,5,"[1002,800]",10,"[[81003,3,4],[2005,4,6]]",[],[],0,3,3,"[[81003,4,6],[2005,6,9],[91003,1,1]]",[],[]
4,1,0,0,5,"[1002,800]",10,"[[81004,3,4],[2001,4,6]]",[],[],0,4,3,"[[81004,4,6],[2001,6,9],[91004,1,1]]",[],[]
5,2,0,0,10,"[1002,1200]",10,"[[81010,3,4],[2002,3,5],[2003,3,5]]",[],[],0,5,3,"[[81010,4,6],[2002,4,7],[2003,4,7],[91005,1,1]]",[],[]
6,3,0,0,10,"[1002,1200]",10,"[[81005,3,4],[2004,8,10]]",[],[],0,6,3,"[[81005,4,6],[2004,10,13],[91006,1,1]]",[],[]
7,4,0,0,10,"[1002,1200]",10,"[[81008,3,4],[2005,8,10]]",[],[],0,7,3,"[[81008,4,6],[2005,10,13],[91011,1,1]]",[],[]
8,1,0,0,10,"[1002,1200]",10,"[[81009,3,4],[2001,8,10]]",[],[],0,8,3,"[[81009,4,6],[2001,10,13],[91012,1,1]]",[],[]
9,2,0,0,20,"[1002,1400]",10,"[[81007,3,4],[2002,5,6],[2003,5,6]]",[],[],0,9,3,"[[81007,4,6],[2002,7,9],[2003,7,9],[91001,1,2]]",[],[]
10,3,0,0,20,"[1002,1400]",10,"[[81006,3,4],[2004,10,12]]",[],[],0,10,3,"[[81006,4,6],[2004,12,15],[91002,1,2]]",[],[]
11,4,0,0,20,"[1002,1400]",10,"[[81012,3,4],[2005,10,12]]",[],[],0,11,3,"[[81012,4,6],[2005,12,15],[91003,1,2]]",[],[]
12,1,0,0,20,"[1002,1400]",10,"[[81013,3,4],[2001,10,12]]",[],[],0,12,3,"[[81013,4,6],[2001,12,15],[91004,1,2]]",[],[]
13,2,0,0,40,"[1002,1600]",10,"[[81014,3,4],[2002,7,9],[2003,7,9]]",[],[],0,13,3,"[[81014,4,6],[2002,9,12],[2003,9,12],[91005,1,2]]",[],[]
14,3,0,0,40,"[1002,1600]",10,"[[81015,3,4],[2004,14,17]]",[],[],0,14,3,"[[81015,4,6],[2004,18,22],[91006,1,2]]",[],[]
15,4,0,0,40,"[1002,1600]",10,"[[81016,3,4],[2005,14,17]]",[],[],0,15,3,"[[81016,4,6],[2005,18,22],[91011,1,2]]",[],[]
16,1,0,0,40,"[1002,1600]",10,"[[81017,3,4],[2001,14,17]]",[],[],0,16,3,"[[81017,4,6],[2001,18,22],[91012,1,2]]",[],[]
17,2,0,0,40,"[1002,1800]",10,"[[81018,3,4],[2002,8,10],[2003,8,10]]",[],[],0,17,3,"[[81018,4,6],[2002,10,13],[2003,10,13],[91001,2,2]]",[],[]
18,3,0,0,40,"[1002,1800]",10,"[[81019,3,4],[2004,16,20]]",[],[],0,18,3,"[[81019,4,6],[2004,20,24],[91002,2,2]]",[],[]
19,4,0,0,60,"[1002,1800]",10,"[[81020,3,4],[2005,16,20]]",[],[],0,19,3,"[[81020,4,6],[2005,20,24],[91003,2,2]]",[],[]
