id,activityID,group,consumeEnergy,attenuationValue,reward,sequence,giftIcon,
1,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,15]","[[1003,10]]",1,,
2,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,40]","[[1003,30]]",2,,
3,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,80]","[[1003,50]]",3,,
4,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,50]","[[15000,5]]",4,,
5,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,70]","[[1003,40]]",5,,
6,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,100]","[[1003,60]]",6,,
7,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,120]","[[1001,20]]",7,,
8,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,60]","[[30000,5]]",8,,
9,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,80]","[[1003,60]]",9,,
10,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,120]","[[1003,80]]",10,,
11,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,120]","[[1001,20]]",11,,
12,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,240]","[[11001,1]]",12,,
13,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,500]","[[1003,200]]",13,,
14,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,300]","[[11001,1]]",14,,
15,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,300]","[[1003,150]]",15,,
16,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,240]","[[1001,30]]",16,,
17,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,400]","[[1003,200]]",17,,
18,13001,"[1,2,3,4,5,6,7,8,9]","[5,6303]","[6303,700]","[[1003,600]]",18,,
19,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,40]","[[1003,30]]",1,,
20,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",2,,
21,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,2]]",3,,
22,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,60]]",4,,
23,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[11001,1]]",5,,
24,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",6,,
25,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[11001,1]]",7,,
26,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",8,,
27,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[1003,150]]",9,,
28,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[42000,5]]",10,,
29,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",11,,
30,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,60]]",12,,
31,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[11001,1]]",13,,
32,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1001,30]]",14,,
33,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,60]]",15,,
34,13002,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,600]]",16,,
35,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,1]]",1,,
36,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",2,,
37,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",3,,
38,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[1003,20]]",4,,
39,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",5,,
40,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[11001,1]]",6,,
41,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[42000,2]]",7,,
42,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1003,100]]",8,,
43,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1001,15]]",9,,
44,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[11001,1]]",10,,
45,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",11,,
46,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1001,20]]",12,,
47,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",13,,
48,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,500]]",14,,
49,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1001,15]]",15,,
50,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1002,3000]]",16,,
51,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[11001,1]]",17,,
52,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,400]","[[1003,300]]",18,,
53,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1002,3000]]",19,,
54,13003,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,500]","[[1003,800]]",20,,
55,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,15]","[[42000,1]]",1,,
56,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1003,10]]",2,,
57,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",3,,
58,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[11001,1]]",4,,
59,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",5,,
60,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[1003,50]]",6,,
61,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[42000,2]]",7,,
62,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,180]","[[1001,30]]",8,,
63,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",9,,
64,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[11001,2]]",10,,
65,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[42000,2]]",11,,
66,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1001,30]]",12,,
67,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,500]]",13,,
68,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1002,2000]]",14,,
69,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1001,40]]",15,,
70,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1002,2000]]",16,,
71,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[11001,2]]",17,,
72,13004,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,400]","[[1003,800]]",18,,
73,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,12]","[[42000,1]]",1,,
74,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1003,20]]",2,,
75,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1001,5]]",3,,
76,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[42000,2]]",4,,
77,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[1003,20]]",5,,
78,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",6,,
79,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1002,3000]]",7,,
80,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,1]]",8,,
81,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[1003,50]]",9,,
82,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,160]","[[11001,1]]",10,,
83,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1003,100]]",11,,
84,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1003,120]]",12,,
85,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1002,10000]]",13,,
86,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1001,25]]",14,,
87,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,70]]",15,,
88,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1003,100]]",16,,
89,13005,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[1003,500]]",17,,
90,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,10]","[[42000,1]]",1,,
91,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1003,20]]",2,,
92,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,40]","[[1001,5]]",3,,
93,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[42000,2]]",4,,
94,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,50]]",5,,
95,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,50]]",6,,
96,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,70]","[[42000,2]]",7,,
97,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1002,8000]]",8,,
98,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[1003,50]]",9,,
99,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[11001,1]]",10,,
100,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,100]]",11,,
101,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[11001,1]]",12,,
102,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1002,10000]]",13,,
103,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1001,30]]",14,,
