id,batchNum,dayNum,typeNum,itemIds
1001,1,1,1,"[[1002,200],[1003,10],[2006,3]]"
1002,1,2,1,"[[1002,200],[1003,15],[15000,2]]"
1003,1,3,1,"[[1002,250],[1003,10],[1001,2]]"
1004,1,4,1,"[[1002,250],[1003,15],[2003,10]]"
1005,1,5,1,"[[1002,400],[1003,20],[1001,3]]"
1006,1,6,1,"[[1002,300],[1003,15],[2007,3]]"
1007,1,7,1,"[[1002,300],[1003,20],[16000,2]]"
1008,1,8,1,"[[1002,350],[1003,15],[2002,10]]"
1009,1,9,1,"[[1002,350],[1003,20],[7004,2]]"
1010,1,10,1,"[[1002,500],[1003,25],[11001,1]]"
1011,1,11,1,"[[1002,400],[1003,20],[2008,3]]"
1012,1,12,1,"[[1002,400],[1003,25],[30000,2]]"
1013,1,13,1,"[[1002,450],[1003,20],[2005,10]]"
1014,1,14,1,"[[1002,450],[1003,25],[1001,2]]"
1015,1,15,1,"[[1002,600],[1003,30],[42000,1]]"
1016,1,16,1,"[[1002,500],[1003,25],[2008,3]]"
1017,1,17,1,"[[1002,500],[1003,30],[16000,2]]"
1018,1,18,1,"[[1002,550],[1003,25],[7005,2]]"
1019,1,19,1,"[[1002,550],[1003,30],[1001,2]]"
1020,1,20,2,"[[91007,1],[91008,1],[91007,1]]"
1021,2,1,1,"[[1002,300],[1003,15],[2007,3]]"
1022,2,2,1,"[[1002,300],[1003,20],[15000,2]]"
1023,2,3,1,"[[1002,350],[1003,15],[7005,2]]"
1024,2,4,1,"[[1002,350],[1003,20],[1004,2]]"
1025,2,5,1,"[[1002,500],[1003,25],[1001,5]]"
1026,2,6,1,"[[1002,400],[1003,20],[2008,3]]"
1027,2,7,1,"[[1002,400],[1003,25],[16000,2]]"
1028,2,8,1,"[[1002,450],[1003,20],[1001,2]]"
1029,2,9,1,"[[1002,450],[1003,25],[1001,2]]"
1030,2,10,1,"[[1002,600],[1003,30],[42000,1]]"
1031,2,11,1,"[[1002,500],[1003,25],[2007,3]]"
1032,2,12,1,"[[1002,500],[1003,30],[30000,2]]"
1033,2,13,1,"[[1002,550],[1003,25],[7005,2]]"
1034,2,14,1,"[[1002,550],[1003,30],[1001,2]]"
1035,2,15,1,"[[1002,700],[1003,35],[1004,5]]"
1036,2,16,1,"[[1002,600],[1003,30],[2008,3]]"
1037,2,17,1,"[[1002,600],[1003,35],[16000,2]]"
1038,2,18,1,"[[1002,650],[1003,30],[1001,2]]"
1039,2,19,1,"[[1002,650],[1003,35],[1001,2]]"
1040,2,20,2,"[[91007,1],[91008,1],[91007,1]]"
1041,3,1,1,"[[1002,400],[1003,20],[2007,3]]"
1042,3,2,1,"[[1002,400],[1003,25],[30000,2]]"
1043,3,3,1,"[[1002,450],[1003,20],[1001,3]]"
1044,3,4,1,"[[1002,450],[1003,25],[1004,2]]"
1045,3,5,1,"[[1002,600],[1003,30],[42000,1]]"
1046,3,6,1,"[[1002,500],[1003,25],[2008,3]]"
1047,3,7,1,"[[1002,500],[1003,30],[15000,2]]"
1048,3,8,1,"[[1002,550],[1003,25],[2005,15]]"
1049,3,9,1,"[[1002,550],[1003,30],[1001,2]]"
1050,3,10,1,"[[1002,700],[1003,35],[1004,5]]"
1051,3,11,1,"[[1002,600],[1003,30],[2007,3]]"
1052,3,12,1,"[[1002,600],[1003,35],[16000,2]]"
1053,3,13,1,"[[1002,650],[1003,30],[1001,2]]"
1054,3,14,1,"[[1002,650],[1003,35],[2003,15]]"
1055,3,15,1,"[[1002,800],[1003,40],[11001,1]]"
1056,3,16,1,"[[1002,700],[1003,35],[2008,3]]"
1057,3,17,1,"[[1002,700],[1003,40],[30000,2]]"
1058,3,18,1,"[[1002,750],[1003,35],[1004,2]]"
1059,3,19,1,"[[1002,750],[1003,40],[1001,2]]"
1060,3,20,2,"[[91007,1],[91008,1],[91007,1]]"
