id,shopType,price,itemIds,giftID,
1001,1,50,"[[1002,1000]]",,
1002,1,100,"[[1002,2100]]",,
1003,1,250,"[[1002,5500]]",,
1004,1,500,"[[1002,11500]]",,
1005,1,1000,"[[1002,24000]]",,
1006,1,2500,"[[1002,62500]]",,
2001,2,25,"[[1003,100]]",,
2002,2,60,"[[1003,250]]",,
2003,2,90,"[[1003,500]]",,
2004,2,135,"[[1003,800]]",,
2005,2,25,"[[1006,100]]",,
2006,2,60,"[[1006,250]]",,
2007,2,90,"[[1006,500]]",,
2008,2,135,"[[1006,800]]",,
3001,3,30,"[[1002,400],[13001,3],[15000,3],[16000,3]]",,
3002,3,50,"[[1002,600],[2007,5],[2008,5],[22000,5]]",,
3003,3,150,"[[1002,2400],[11001,1],[13001,10],[15000,10],[16000,10]]",,
3004,3,300,"[[1002,5000],[11001,3],[13001,20],[15000,20],[16000,20]]",,
4001,4,30,"[[11001,1]]",,
4002,4,150,"[[11001,5]]",,
4003,4,400,"[[11001,15]]",,
5022,5,50,"[[4769,1]]",,
5023,5,225,"[[4769,5]]",,
5024,5,600,"[[4769,15]]",,
5025,5,50,"[[4803,1]]",,
5026,5,225,"[[4803,5]]",,
5027,5,600,"[[4803,15]]",,
5031,5,50,"[[4974,1]]",,
5032,5,225,"[[4974,5]]",,
5033,5,600,"[[4974,15]]",,
5034,5,50,"[[90020,1]]",,
5035,5,225,"[[90020,5]]",,
5036,5,600,"[[90020,15]]",,
5037,5,50,"[[90021,1]]",,
5038,5,225,"[[90021,5]]",,
5039,5,600,"[[90021,15]]",,
5040,5,50,"[[90080,1]]",,
5041,5,225,"[[90080,5]]",,
5042,5,600,"[[90080,15]]",,
5043,5,50,"[[90135,160]]",,
5044,5,225,"[[90135,800]]",,
5045,5,600,"[[90135,2400]]",,
5046,5,65,"[[90333,1]]",,
5047,5,280,"[[90333,5]]",,
5048,5,750,"[[90333,15]]",,
5049,5,50,"[[90272,160]]",,
5050,5,225,"[[90272,800]]",,
5051,5,600,"[[90272,2400]]",,
5007,5,50,"[[4457,1]]",,
5008,5,225,"[[4457,5]]",,
5009,5,600,"[[4457,15]]",,
5055,5,65,"[[90430,1]]",,
5056,5,280,"[[90430,5]]",,
5057,5,750,"[[90430,15]]",,
5016,5,50,"[[4607,1]]",,
5017,5,225,"[[4607,5]]",,
5018,5,600,"[[4607,15]]",,
5061,5,65,"[[90489,1]]",,
5062,5,280,"[[90489,5]]",,
5063,5,750,"[[90489,15]]",,
5052,5,65,"[[90374,1]]",,
5053,5,280,"[[90374,5]]",,
5054,5,750,"[[90374,15]]",,
5058,5,65,"[[90631,1]]",,
5059,5,280,"[[90631,5]]",,
5070,5,65,"[[90556,1]]",,
5071,5,280,"[[90556,5]]",,
5072,5,750,"[[90556,15]]",,
5073,5,50,"[[90557,1]]",,
5074,5,225,"[[90557,5]]",,
5075,5,600,"[[90557,15]]",,
5076,5,65,"[[2000542,1]]",,
5077,5,280,"[[2000542,5]]",,
5078,5,750,"[[2000542,15]]",,
5060,5,750,"[[90631,15]]",,
5082,5,50,"[[90800,160]]",,
5083,5,225,"[[90800,800]]",,
5084,5,600,"[[90800,2400]]",,
5085,5,50,"[[2000024,160]]",,
5086,5,225,"[[2000024,800]]",,
5087,5,600,"[[2000024,2400]]",,
5064,5,50,"[[90728,160]]",,
5065,5,225,"[[90728,800]]",,
5066,5,600,"[[90728,2400]]",,
5067,5,65,"[[90780,1]]",,
5068,5,280,"[[90780,5]]",,
5069,5,750,"[[90780,15]]",,
5079,5,65,"[[90933,1]]",,
5080,5,280,"[[90933,5]]",,
5081,5,750,"[[90933,15]]",,
