id,MissionType,taskNeed,nestTaskNeed,point,unlockLevel,unlockTask,
1,3,[3],"[8,15]","[80,150,300]",10,,
4,41,[1],,[30],10,,
5,54,[1],[3],"[50,100]",10,,
6,92,"[136,10]","[25,40,62]","[150,400,750,1000]",10,,
7,93,"[136,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
8,92,"[125,10]","[20,38]","[150,500,1000]",10,,
9,93,"[125,70]","[140,320,550,660]","[200,400,800,1200,1500]",10,,
10,92,"[139,10]","[20,44]","[150,500,1000]",10,,
11,93,"[139,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
12,92,"[126,10]","[20,42]","[150,500,1000]",10,,
13,93,"[126,70]","[230,410,660,880]","[200,400,800,1200,1500]",10,,
14,92,"[138,10]","[30,45,67]","[150,400,750,1000]",10,,
15,93,"[138,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
16,92,"[127,10]","[20,41]","[150,500,1000]",10,,
17,93,"[127,70]","[140,320,550,660]","[200,400,800,1200,1500]",10,,
18,96,"[1,10]","[20,33]","[150,500,1000]",10,,
19,96,"[2,10]","[20,30,46]","[150,400,750,1000]",10,,
20,92,"[140,10]","[25,40,65]","[150,400,750,1000]",10,,
21,93,"[140,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
22,92,"[133,10]","[20,44]","[150,500,1000]",10,,
23,93,"[133,150]","[750,1850,2400,3800]","[200,400,800,1200,1500]",10,,
24,92,"[141,10]","[25,40,66]","[150,400,750,1000]",10,,
25,93,"[141,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
26,92,"[130,10]","[20,38]","[150,500,1000]",10,,
27,93,"[130,150]","[750,1850,2400,3800]","[200,400,800,1200,1500]",10,,
28,92,"[142,10]","[25,40,67]","[150,400,750,1000]",10,,
29,93,"[142,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
30,92,"[132,10]","[20,44]","[150,500,1000]",10,,
31,93,"[132,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
32,92,"[144,10]","[30,50,85]","[150,400,750,1000]",10,,
33,93,"[144,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
34,92,"[135,10]","[25,52]","[150,500,1000]",10,,
35,93,"[135,150]","[750,1850,2400,4500]","[200,400,800,1200,1500]",10,,
36,92,"[143,10]","[25,40,64]","[150,400,750,1000]",10,,
37,93,"[143,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
38,92,"[148,2]","[5,10]","[150,500,1000]",10,,
39,93,"[148,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
40,92,"[145,10]","[25,40,65]","[150,400,750,1000]",10,,
41,93,"[145,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
42,92,"[146,10]","[30,50,83]","[150,400,750,1000]",10,,
43,93,"[146,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
44,92,"[137,10]","[25,40,66]","[150,400,750,1000]",10,,
45,93,"[137,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
46,92,"[147,10]","[30,50,91]","[150,400,750,1000]",10,,
47,93,"[147,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
48,92,"[149,10]","[30,45,67]","[150,400,750,1000]",10,,
49,93,"[149,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
50,92,"[150,10]","[30,45,66]","[150,400,750,1000]",10,,
51,93,"[150,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
52,92,"[151,10]","[30,45,66]","[150,400,750,1000]",10,,
53,93,"[151,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,
